Blues After Hours,Blues Six Pack,Pinetop Perkins,452.2ø
Arrepentios Pecadores,Back To The Future,Willie Rosario,271.3ø
Do Not Enter,Relics (180g Ltd Edition),DMZ,141.0ø
Ich sitz den ganzen Tag bei den Docks (Sitting On The Dock Of The Bay) (Remastered),Lindenbergs Rock-Revue,Udo Lindenberg & Das Panik-Orchester,219.5ø
Dime,A Man And His Music,Willie Colon|Ruben Blades,417.7ø
We're In Control ,L.A. Explosion,The Last,169.0ø
She Don't Know Why I'm Here ,L.A. Explosion,The Last,205.7ø
She Don't Know Why I'm Here,L.A. Explosion,The Last,209.2ø
L.A. Explosion ,L.A. Explosion,The Last,145.6ø
Hitler's Brother ,L.A. Explosion,The Last,168.5ø
Bombing Of London,L.A. Explosion,The Last,140.1ø
Be Bop A Lula,L.A. Explosion,The Last,238.9ø
The Blues,Duke's Big Four,Duke Ellington Quartet,324.5ø
