Big Bill Blues,The Great Big Bill Broonzy,Big Bill Broonzy,179.7ø
Way Down That Lonesome Road,Lonnie Johnson Vol. 4 (1928 - 1929),Lonnie Johnson,190.0ø
Life Saver Blues,Goin' Mad Blues Vol. 4,Lonnie Johnson,184.9ø
Careless Love,The Very Best Of,Lonnie Johnson,180.8ø
Blue Ghost Blues,Lonnie Johnson Vol. 1 1937 - 1940,Lonnie Johnson,157.0ø
Me And My Gin,I Ain't Gonna Play No Second Fiddle Volume 4,Bessie Smith,162.8ø
Mother's Children Have A Hard Time,Dark Was The Night  (Mojo Workin'- Blues For The Next Generation),Blind Willie Johnson,203.5ø
It's Nobody's Fault But Mine,The Half Ain't Never Been Told - Early American Rural Religious Music Vol. 2,Blind Willie Johnson,191.8ø
If I Had My Way I'd Tear The Building Down,The Complete Blind Willie Johnson,Blind Willie Johnson,190.3ø
Nobody's Dirty Business,Diggin' Deeper Volume 3,Mississippi John Hurt,171.4ø
Three Women Blues,The Early Years (1927-1933),Blind Willie McTell,162.2ø
Statesboro Blues,The Best Of Blind Willie McTell,Blind Willie McTell,152.9ø
Loving Talking Blues,Statesboro Blues - When The Sun Goes Down Series,Blind Willie McTell,158.7ø
Dark Night Blues,Blues Masterpieces vol.4,Blind Willie McTell,175.0ø
See That My Grave Is Kept Clean,Citrus Blues,Blind Lemon Jefferson,166.1ø
Prison Cell Blues,Blind Lemon Jefferson Vol. 3 1928,Blind Lemon Jefferson,167.5ø
How Long How Long,The Complete Classic Sides Remastered: Chicago 1928 Disc C,Blind Lemon Jefferson,167.4ø
Rock Island Blues,Kassie Jones,Furry Lewis,164.9ø
Mean Old Bed Bug Blues,Kassie Jones,Furry Lewis,161.2ø
Kassie Jones (Part 2),Kassie Jones,Furry Lewis,180.5ø
Kassie Jones (Part 1),Kassie Jones,Furry Lewis,183.4ø
Judge Harsh Blues  (Alternate take),Kassie Jones,Furry Lewis,182.8ø
Good Looking Girl Blues,Kassie Jones,Furry Lewis,168.9ø
Everybody's Blues,Kassie Jones,Furry Lewis,171.4ø
Cannonball Blues,Kassie Jones,Furry Lewis,183.2ø
