Dread & The Fugitive Mind,Warchest,Megadeth,262.1ø
Yes I Will,Dust to Glory,Michael Franti,241.8ø
Sometimes,Last Holiday (OST),Michael Franti & Superhead,247.4ø
Ghost Town,Independents Day ID08,The Prodigy,301.8ø
Till I Loved You (Duet with Don Johnson),Duets,Barbra Streisand;Don Johnson,256.6ø
The Music of the Night (Duet with Michael Crawford),Duets,Barbra Streisand;Michael Crawford,335.7ø
Make No Mistake_ He's Mine (Duet with Kim Carnes),Duets,Barbra Streisand;Kim Carnes,249.5ø
Get Happy/Happy Days Are Here Again (Duet with Judy Garland),Duets,Barbra Streisand;Judy Garland,140.1ø
Ding-Dong! The Witch Is Dead (Duet with Harold Arlen),Duets,Barbra Streisand;Harold Arlen,114.5ø
Todeskessel Kurland,Panzer Division,Marduk,151.7ø
Paint It Black,Obedience,Marduk,192.5ø
Don't Turn Your Back On Fear,Paris Kills,The 69 Eyes,224.8ø
White Trash Christmas (album version),White Trash Christmas,Bob Rivers,165.4ø
What If Eminem Did Jingle Bells? (album version),White Trash Christmas,Bob Rivers,186.1ø
The Little Hooters Girl (album version),White Trash Christmas,Bob Rivers,112.8ø
Shoppin' Around For A Christmas Tree (album version),White Trash Christmas,Bob Rivers,111.0ø
Osama Got Run Over By A Reindeer (album version),White Trash Christmas,Bob Rivers,103.3ø
No So Silent Night (album version),White Trash Christmas,Bob Rivers,113.8ø
Merry Christmas Allah (album version),White Trash Christmas,Bob Rivers,161.6ø
Me And Mrs. Claus (album version),White Trash Christmas,Bob Rivers,140.1ø
I'll Be Stoned For Christmas (album version),White Trash Christmas,Bob Rivers,147.3ø
Have Yourself An Ozzy Little Christmas (album version),White Trash Christmas,Bob Rivers,109.5ø
Be Claus I Got High (album version),White Trash Christmas,Bob Rivers,207.0ø
Aquaclaus (album version),White Trash Christmas,Bob Rivers,167.5ø
Jenny and the Summer Day,Country Was,The Avett Brothers,255.4ø
Earth Ad,Obedience,Marduk,108.3ø
Deathride,Panzer Division,Marduk,195.5ø
Money,The String Quartet Tribute To Pink Floyd,Vitamin String Quartet,283.2ø
O Sal Da Terra,Ouro De Minas,Ivete Sangalo | Roupa Nova,248.6ø
