The Swimming Song,The Squid And The Whale,Loudon Wainwright III,149.1ø
What Game Shall We Play Today,Crystal Silence,Chick Corea_ Gary Burton,222.1ø
Senor Mouse,Crystal Silence,Chick Corea_ Gary Burton,381.3ø
Desert Air,Crystal Silence,Chick Corea_ Gary Burton,386.4ø
Crystal Silence,Crystal Silence,Chick Corea_ Gary Burton,544.8ø
Children's Song,Crystal Silence,Chick Corea_ Gary Burton,131.3ø
Let's Build A World Together,George Jones and Tammy Wynette - 16 Biggest Hits,George Jones;Tammy Wynette,173.5ø
If Loving You Starts Hurting Me,Love Songs,George Jones;Tammy Wynette,175.9ø
(We're Not) The Jet Set,George Jones and Tammy Wynette - 16 Biggest Hits,George Jones;Tammy Wynette,145.4ø
I'm Your Pal,Crystal Silence,Chick Corea_ Gary Burton,242.6ø
Falling Grace,Crystal Silence,Chick Corea_ Gary Burton,162.4ø
Arise_ Her Eyes,Crystal Silence,Chick Corea_ Gary Burton,308.4ø
Rapsodia Di Radius,La Grande Casa,Formula 3,324.0ø
La Grande Casa,La Grande Casa,Formula 3,330.6ø
Cara Giovanna,La Grande Casa,Formula 3,302.0ø
Bambina Sbagliata,La Grande Casa,Formula 3,284.4ø
We Grasp The Naked Meat,We Never Lost Control,Nine Days Wonder,553.9ø
The Great Game,We Never Lost Control,Nine Days Wonder,206.9ø
Fisherman's Dream,We Never Lost Control,Nine Days Wonder,230.0ø
Armaranda,We Never Lost Control,Nine Days Wonder,203.3ø
Angels Due To Arrive,We Never Lost Control,Nine Days Wonder,268.5ø
Andromeda Nomads,We Never Lost Control,Nine Days Wonder,330.6ø
Wedding Song,Summer Games,Jukka Tolonen,288.2ø
Thinking Of You In The Moonshine,Summer Games,Jukka Tolonen,384.5ø
Summer Games,Summer Games,Jukka Tolonen,321.7ø
See You (Missing My Crazy Baby),Summer Games,Jukka Tolonen,217.1ø
Impressions Of India,Summer Games,Jukka Tolonen,324.8ø
A Warm Trip With Taija,Summer Games,Jukka Tolonen,522.9ø
Good Grief Christina,Son Of My Father,Chicory Tip,182.1ø
On The Old Plantation,Classic Country Remastered: Charlotte_ NC - Rock Hills_ SC 1937_ 1938 (CD B),The Blue Sky Boys,172.0ø
Nightmare #71,So Long Ago The Garden,Larry Norman,381.0ø
