Save Me Claude,Culture For Pigeon,Tracy + The Plastics,124.9ø
Tess,With All My Heart,Harvey Mason,290.4ø
After This Night,Too Much Love,Harlan T. Bobo,241.2ø
Mano brava,Milonga Vieja Milonga,Orquesta Anibal Troilo (Singer:Francisco Fiorentino),143.5ø
Sinner Man,The Collection,Valerie Simpson,193.3ø
Keep It Coming,The Collection,Valerie Simpson,209.5ø
I Believe I'm Gonna Take This Ride,The Collection,Valerie Simpson,181.6ø
Genius II,The Collection,Valerie Simpson,206.3ø
Genius I,The Collection,Valerie Simpson,271.1ø
Fix It Alright,The Collection,Valerie Simpson,258.8ø
Drink The Wine,The Collection,Valerie Simpson,233.6ø
Could Have Been Sweeter,The Collection,Valerie Simpson,198.5ø
Benjie,The Collection,Valerie Simpson,185.5ø
Counting Stitches,Tension Pins,The Red Thread,216.7ø
I sing of a maiden,Voices of Angles - Christmas Favorites from the American Boychoir,The American Boychoir,185.0ø
Fabric,Historic Site Of Scenic Beauty #1,The Wireless Stores,175.7ø
