Reminiscent (Album Version),Dressed Up Like Nebraska,Josh Rouse,272.4ø
Rumbanacoa,Serie Inmortales - La Cumbanchera,Celia Cruz,148.4ø
Torture,Dead Again,Mercyful Fate,302.9ø
The Night,Dead Again,Mercyful Fate,351.3ø
The Lady Who Cries,Dead Again,Mercyful Fate,257.9ø
Sucking Your Blood,Dead Again,Mercyful Fate,261.5ø
Since Forever,Dead Again,Mercyful Fate,279.7ø
Mandrake,Dead Again,Mercyful Fate,366.2ø
Fear,Dead Again,Mercyful Fate,256.2ø
Crossroads,Dead Again,Mercyful Fate,340.1ø
Banshee,Dead Again,Mercyful Fate,286.5ø
The House Song,The Three EP's,The Beta Band,433.8ø
Push It Out,The Three EP's,The Beta Band,322.7ø
Needles In My Eyes,The Three EP's,The Beta Band,272.2ø
It's Over,The Three EP's,The Beta Band,230.1ø
Inner Meet Me,The Three EP's,The Beta Band,379.0ø
Pornoshop,Aqua Mosh,Plastilina Mosh,210.8ø
Ode To Mauricio Garces,Aqua Mosh,Plastilina Mosh,253.6ø
Encendedor,Aqua Mosh,Plastilina Mosh,156.8ø
Bungaloo Punta Cometa,Aqua Mosh,Plastilina Mosh,238.4ø
Aquamosh,Aqua Mosh,Plastilina Mosh,236.6ø
Afroman,Tasty + B Sides,Plastilina Mosh,218.9ø
Hiemali Tempore,Am goldenen Rhein,In Extremo,293.6ø
Who Is Laughing,Reggae Max,Sizzla,269.1ø
Saturated,Rain Showers,Sizzla,242.6ø
Women,Together as One,Lucky Dube,263.7ø
Truth in The World,Together as One,Lucky Dube,232.3ø
Rastas,Together as One,Lucky Dube,358.8ø
Jah Save Us,Together as One,Lucky Dube,230.8ø
Feel Irie,South Africa's Top 100 Songs,Lucky Dube,358.8ø
Eyes Of the Beholder,Together as One,Lucky Dube,227.0ø
Children in the Streets,Together as One,Lucky Dube,230.7ø
This is not America,Nicht von dieser Welt,Xavier Naidoo,219.3ø
Seid ihr mit mir?,Nicht von dieser Welt,Xavier Naidoo,246.9ø
Sag es laut,Nicht von dieser Welt,Xavier Naidoo,165.9ø
Nicht von dieser Welt,Live,Xavier Naidoo,383.9ø
Freisein (Nachtschicht am Meer),Nicht von dieser Welt,Xavier Naidoo,320.2ø
20.000 Meilen,Live,Xavier Naidoo,262.2ø
Tropic of Conversation,Now and Then,Van Der Graaf Generator,437.6ø
The Epilogue,Now and Then,Van Der Graaf Generator,248.5ø
Spooks,Now and Then,Van Der Graaf Generator,312.6ø
Saigon Roulette,Now and Then,Van Der Graaf Generator,280.6ø
Gentlemen Prefer Blues,Now and Then,Van Der Graaf Generator,178.8ø
When The Rainbow Comes,Armageddon - The Album,Shawn Colvin,261.2ø
The Christ Child's Lullaby,Holiday Songs And Lullabies,Shawn Colvin,139.0ø
Seal Lullaby,Holiday Songs And Lullabies,Shawn Colvin,124.7ø
Rocking,Holiday Songs And Lullabies,Shawn Colvin,152.8ø
Now The Day Is Over,Holiday Songs And Lullabies,Shawn Colvin,107.3ø
Love Came Down At Christmas,Holiday Songs And Lullabies,Shawn Colvin,184.3ø
Little Road To Bethlehem,Holiday Songs And Lullabies,Shawn Colvin,171.7ø
In The Bleak Mid-Winter,Holiday Songs And Lullabies,Shawn Colvin,244.3ø
Evening Is A Little Boy / The Night Will Never Stay,Holiday Songs And Lullabies,Shawn Colvin,188.7ø
Even Here We Are,These Four Walls,Shawn Colvin,164.8ø
Close Your Eyes,Holiday Songs And Lullabies,Shawn Colvin,98.8ø
All The Pretty Li'l Horses,Holiday Songs And Lullabies,Shawn Colvin,103.2ø
Fiesta,The Way Ahead,Archie Shepp,597.4ø
Jim,Like Someone In Love,Dinah Shore,173.8ø
My Religion,All I Have Is Love Anthology 1968 to 1995,Gregory Isaacs,183.6ø
Love Light,The Sensational Extra Classics,Gregory Isaacs,154.2ø
White Worms,Whisper Supremacy,Cryptopsy,221.3ø
Serpents Coil,Whisper Supremacy,Cryptopsy,198.1ø
Loathe,Whisper Supremacy,Cryptopsy,293.2ø
Flame To The Surface,Whisper Supremacy,Cryptopsy,184.3ø
Faceless Unknown,Whisper Supremacy,Cryptopsy,199.1ø
Emaciate,Whisper Supremacy,Cryptopsy,300.6ø
Depths You've Fallen,Whisper Supremacy,Cryptopsy,237.8ø
Cold Hate Warm Blood,Whisper Supremacy,Cryptopsy,233.5ø
Pistolero,Pistolero Remixes,Juno Reactor,386.8ø
Vine,Over The James,Avail,103.4ø
Suspicious Minds,Over The James,Avail,176.3ø
Scuffle Town,Over The James,Avail,78.6ø
Sanctuary 13,Over The James,Avail,144.9ø
Nickel Bridge,Over The James,Avail,134.8ø
Fall Apart,Over The James,Avail,112.6ø
August,Over The James,Avail,152.7ø
Zulfikar II,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,246.4ø
The Rose Garden Of Mystery,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,157.6ø
Renunciation,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,269.6ø
Mera Pyar Shalimar,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,294.6ø
Book T: Waves Of Blood,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,149.3ø
Book T: Orbital Ballroom In The Hall Of Resurrection,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,134.9ø
Book T: Broken Glass Hearse,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,148.2ø
Beyond The Mountain Qaf,Hurqalya: 2nd Grand Constitution and Bylaws,Secret Chiefs 3,358.3ø
