White Christmas,A Jazzy Wonderland,Tony Bennett (Featuring Dexter Gordon on Saxophone),184.7ø
The Christmas Song (Chestnuts Roasting On An Open Fire),Snowfall - The Tony Bennett Christmas Album,Tony Bennett,156.7ø
I'll Be Home For Christmas,Snowfall - The Tony Bennett Christmas Album,Tony Bennett,124.3ø
You're So Fine (1990 Digital Remaster),Sailor,Steve Miller Band,171.0ø
Pushed Me To It,Children Of The Future,Steve Miller Band,38.9ø
My Friend (1990 Digital Remaster),Sailor,Steve Miller Band,208.7ø
Lucky Man (1990 Digital Remaster),Sailor,Steve Miller Band,185.9ø
Junior Saw It Happen,Children Of The Future,Steve Miller Band,149.1ø
In My First Mind,Children Of The Future,Steve Miller Band,455.3ø
Dear Mary (1991 Digital Remaster),Sailor,Steve Miller Band,214.4ø
Baby's Callin' Me Home,Box Set,Steve Miller Band,196.2ø
Wicked Annabella,The Village Green Preservation Society,The Kinks,161.2ø
Polly,The Village Green Preservation Society,The Kinks,169.3ø
People Take Pictures Of Each Other,The Village Green Preservation Society,The Kinks,139.4ø
Monica,The Village Green Preservation Society,The Kinks,135.3ø
Johnny Thunder,The Village Green Preservation Society,The Kinks,153.9ø
Big Sky,The Village Green Preservation Society,The Kinks,170.7ø
Animal Farm,The Village Green Preservation Society,The Kinks,179.4ø
I Heard It Through The Grapevine,Marvin Gaye In Concert,Marvin Gaye,263.0ø
The House At Pooneil Corners,Original Album Classics,Jefferson Airplane,349.9ø
Star Track,Live At The Fillmore East,Jefferson Airplane,457.1ø
Share A Little Joke,Ignition,Jefferson Airplane,187.3ø
Ribump Ba Bap Dum Dum,Jefferson Airplane Loves You,Jefferson Airplane,91.7ø
Greasy Heart,Live At The Fillmore East,Jefferson Airplane,247.0ø
Chushingura,The Worst Of Jefferson Airplane,Jefferson Airplane,78.2ø
Winter Wonderland,Snowfall - The Tony Bennett Christmas Album,Tony Bennett; Arranged & conducted by Robert Farnon,134.5ø
Santa Claus Is Comin' To Town,Martha Stewart Living Music: Jazz For The Holidays,Tony Bennett,157.5ø
My Favorite Things,Tony Bennett's Greatests Hits Of The 60's,Tony Bennett,196.1ø
Christmasland,Snowfall - The Tony Bennett Christmas Album,Tony Bennett,143.5ø
I Found A True Love (LP Version),The Midnight Mover,Wilson Pickett,144.6ø
Ballerina (LP Version),Astral Weeks,Van Morrison,423.3ø
The Folks,The Graduate,Simon & Garfunkel,148.0ø
Scarborough Fair/Canticle (Interlude),The Graduate,Simon & Garfunkel,102.0ø
On The Strip,The Graduate,Simon & Garfunkel,120.0ø
Old Friends,The Best Of Simon & Garfunkel,Simon & Garfunkel,237.1ø
Mrs. Robinson,The Collection,Simon & Garfunkel,242.6ø
Fakin' It,The Best Of Simon & Garfunkel,Simon & Garfunkel,192.7ø
Bookends Theme,Bookends/Sounds of Silence,Simon & Garfunkel,32.9ø
At The Zoo,Bookends/Sounds of Silence,Simon & Garfunkel,142.1ø
America,Old Friends Live On Stage,Simon & Garfunkel,293.4ø
Thelonious,Monks Mood,Thelonious Monk,178.3ø
Save The Life Of My Child,The Columbia Studio Recordings (1964-1970),Simon & Garfunkel,168.7ø
A Hazy Shade Of Winter,Tales From New York - The Very Best Of Simon & Garfunkel,Simon & Garfunkel,138.0ø
Lady Godiva's Operation,Rock & Roll - An Introduction To The Velvet Underground,The Velvet Underground,296.1ø
I Heard Her Call My Name,The Very Best Of The Velvet Underground,The Velvet Underground,276.7ø
Here She Comes Now,White Light / White Heat,The Velvet Underground,122.1ø
White Light/White Heat,Heroin Hit Pac,The Velvet Underground,166.0ø
The Dawntreader,Travelogue,Joni Mitchell,338.4ø
Children Of The Future,Children Of The Future,Steve Miller Band,179.7ø
With A Little Help From My Friends,With A Little Help From My Friends,Joe Cocker,312.2ø
Something's Coming On,With A Little Help From My Friends,Joe Cocker,135.3ø
Time of the Season,Time of the Season,The Zombies,189.9ø
This Will Be Our Year,The Original Studio Recordings,The Zombies,105.0ø
I Want Her She Wants Me,Odessey and Oracle,The Zombies,172.1ø
Hung Up On a Dream,The Original Studio Recordings,The Zombies,177.6ø
Friends of Mine,The Original Studio Recordings,The Zombies,136.4ø
Changes,Odessey & Oracle 40th Anniversary Concert Live,The Zombies,222.9ø
Care Of Cell 44,Odessey & Oracle 40th Anniversary Concert Live,The Zombies,245.6ø
Butcher's Tale (Western Front 1914),The Original Studio Recordings,The Zombies,168.7ø
Brief Candles,Odessey & Oracle 40th Anniversary Concert Live,The Zombies,220.8ø
Beechwood Park,The Original Studio Recordings,The Zombies,162.7ø
A Rose for Emily,The Original Studio Recordings,The Zombies,135.2ø
It's A Super (Dupa) Life,New Masters,Cat Stevens,171.9ø
Image of Hell,New Masters,Cat Stevens,188.4ø
Here Comes My Wife,New Masters,Cat Stevens,182.5ø
She's Alright,Hoochie Coochie Man: Complete Chess Masters_ Volume 2 - 1952-1958,Muddy Waters,148.3ø
Mannish Boy,HOOCHIE COOCHIE MAN.,Muddy Waters,317.5ø
My Own Blues,Urban Blues,John Lee Hooker,153.3ø
You've Got The Power,Children Of The Future,Steve Miller Band,53.1ø
Steppin' Stone,Children Of The Future,Steve Miller Band,189.6ø
Song For Our Ancestors,Box Set,Steve Miller Band,132.3ø
Roll With It,Children Of The Future,Steve Miller Band,150.0ø
Overdrive (1990 Digital Remaster),Sailor,Steve Miller Band,232.1ø
Mercury Blues,Box Set,Steve Miller Band,220.6ø
Living In The U.S.A. (1991 Digital Remaster),Sailor,Steve Miller Band,242.5ø
Key To The Highway,Children Of The Future,Steve Miller Band,378.0ø
Fanny Mae,Children Of The Future,Steve Miller Band,188.3ø
Dime-A-Dance Romance (1991 Digital Remaster),Sailor,Steve Miller Band,205.0ø
Let's Get An Understanding  [LP Version],The Midnight Mover,Wilson Pickett,131.9ø
Deborah  [LP Version],The Midnight Mover,Wilson Pickett,189.1ø
Shine On Brightly,One Eye To The Future,Procol Harum,244.0ø
Black Cat Bone,Best Of ... Live,Johnny Winter,287.0ø
Remember_ I Been Good To You [LP Version],The Midnight Mover,Wilson Pickett,180.5ø
I'm A Midnight Mover (LP Version),The Midnight Mover,Wilson Pickett,146.1ø
