Homecoming,Seeds Of Time,Dave Holland_ Steve Coleman_ Julian Priester_ Marvin Smitty Smith_ Kenny Wheeler,364.5ø
We Will Together,The Essential,Eurogliders,349.9ø
So Tough,The Essential,Eurogliders,192.6ø
Can't Wait To See You,The Essential,Eurogliders,252.1ø
Absolutely,The Essential,Eurogliders,277.8ø
Two Step Mamou,Louisiana 2 - Live From Mountain Stage,Wayne Toups,207.7ø
Well Well Well,Hypno Beat Live,The Woodentops,138.3ø
Steady Steady,Move Me,The Woodentops,369.0ø
Special Friend,Giant,The Woodentops,251.2ø
Move Me,Move Me,The Woodentops,206.9ø
It Will Come,It Will Come,The Woodentops,188.2ø
Get It On,Giant,The Woodentops,200.1ø
Do It Anyway,Move Me,The Woodentops,156.3ø
Cold Inside,Well Well Well,The Woodentops,400.2ø
Farley Knows House,Farley Jackmaster Funk,Farley 'Jackmaster' Funk,268.0ø
Farley Farley,Farley Jackmaster Funk,Farley 'Jackmaster' Funk,302.8ø
Clap'n The Pella,Farley Jackmaster Funk,Farley 'Jackmaster' Funk,149.6ø
When the bat bites,Tales of Terror,STORMWITCH,242.5ø
Trust In The Fire,Live In Budapest,STORMWITCH,255.1ø
Point Of No Return,Giant Metal Meeting,STORMWITCH,239.4ø
Night Stalker,Tales of Terror,STORMWITCH,220.4ø
Arabian Nights,Tales of Terror,STORMWITCH,320.5ø
Amasque of the Red Death,Tales of Terror,STORMWITCH,294.5ø
Talisman,Running In Real Time,Passport,453.1ø
Slap Shot,Running In Real Time,Passport,347.0ø
Ruunning In Real Time,Running In Real Time,Passport,223.9ø
Mr. Mystery,Running In Real Time,Passport,256.0ø
Joy Riding,Running In Real Time,Passport,400.3ø
Auryn,Running In Real Time,Passport,337.6ø
At Large,Running In Real Time,Passport,287.9ø
You Just Can't Ride The Boxcars Anymore,State Of Our Union,The Long Ryders,180.2ø
Wdia,State Of Our Union,The Long Ryders,224.1ø
State Of My Union,Three Minute Warnings:  The Long Ryders Live in New York City,The Long Ryders,325.7ø
Southside Of The Story,State Of Our Union,The Long Ryders,167.8ø
Mason-Dixon Line,State Of Our Union,The Long Ryders,264.2ø
Looking For Lewis & Clark,Three Minute Warnings:  The Long Ryders Live in New York City,The Long Ryders,318.3ø
Lights of Downtown,State of Our Reunion,The Long Ryders,178.4ø
Christmas In New Zealand,State Of Our Union,The Long Ryders,271.4ø
Capturing the Flag,State of Our Reunion,The Long Ryders,260.1ø
Une Autre Nuit,Jeux Interdits,Partenaire Particulier,240.4ø
Tiphaine,Jeux Interdits,Partenaire Particulier,291.0ø
Seul Ce Soir,Jeux Interdits,Partenaire Particulier,264.3ø
Partenaire Particulier,Jeux Interdits,Partenaire Particulier,247.6ø
Le Regard Fier,Jeux Interdits,Partenaire Particulier,274.9ø
Je N Oublierai Jamais,Jeux Interdits,Partenaire Particulier,203.3ø
Elle N Aimait Pas Les Garcons,Jeux Interdits,Partenaire Particulier,272.3ø
Elle Est Partie,Jeux Interdits,Partenaire Particulier,306.0ø
Things Aren't Always What They Seem,Meetings With Menmachines,Amon Duul,265.4ø
The Song,Meetings With Menmachines,Amon Duul,253.2ø
The Old One,Meetings With Menmachines,Amon Duul,305.2ø
Pioneer,Meetings With Menmachines,Amon Duul,258.1ø
Marcus Leid,Airs On A Shoestring,Amon Duul,583.7ø
Burundi Drummer's Nightmare,Meetings With Menmachines,Amon Duul,518.1ø
Funky Little Beat,Essential Workout Mix: 80's Electro,Connie,311.7ø
Nashville,Almost Persuaded,David Houston,199.4ø
What Will It Take (To Keep You From Jesus) (Scandalon Album Version),Scandalon,Michael Card,227.7ø
The Nazarene (Scandalon Album Version),Scandalon,Michael Card,164.9ø
The Lamb Is A Lion  (Scandalon Album Version),Scandalon,Michael Card,176.7ø
Scandalon (Scandalon Album Version),Scandalon,Michael Card,237.2ø
Scandalon,80's Ultimate Collection,Michael Card,234.8ø
Jesus Let Us Come To  Know You (Scandalon Album Version),Scandalon,Michael Card,118.0ø
God's Own Fool (Scandalon Album Version),Scandalon,Michael Card,197.5ø
God's Own Fool,Life_ The,Michael Card,193.0ø
Forgiving Eyes (Scandalon Album Version.),Scandalon,Michael Card,246.0ø
Redeemed (Album Version),Let My People Go,The Winans,297.0ø
Perfect Love (Album Version),Let My People Go,The Winans,278.9ø
Let My People Go,Dimitri From Paris presents: Nightdubbin',The Winans,398.7ø
Praying Mantis,Most of the Girls Like To Dance But Only Some Of the Boys Like To,Don Dixon,246.1ø
Waiting,The Breakfast Club,E.G. Daily,279.0ø
Just for You,Tearing Down the Walls,E.G. Daily,132.9ø
True To Me,Back In Line,The Prime Movers,243.7ø
Wheel of Fortune,Roots of Rock and Soul 3,The Cardinals,174.5ø
Shouldn't I Know,R & B And Soul Roots Vol. 02,The Cardinals,187.4ø
She No Ready,George Phang: Power House Selector's Choice Vol. 2,Little John,202.1ø
Hey Lady,George Phang: Power House Selector's Choice Vol. 2,Little John,206.5ø
Bummy Bummy,George Phang: Power House Selector's Choice Vol. 1,Little John,209.8ø
Rawhide,Night of a Thousand Candles,The Men They Couldn't Hang,139.4ø
Ironmasters,Night of a Thousand Candles,The Men They Couldn't Hang,251.1ø
Under Mi Sleng Teng,Total Recall Vol. 4,Wayne Smith,196.8ø
V2,Manic Pop Thrill,That Petrol Emotion,232.2ø
Two Fine Days (And a Thunderstorm),Extractions,Dif Juz,148.6ø
Twin And Earth,Extractions,Dif Juz,269.2ø
The Last Day,Extractions,Dif Juz,240.7ø
Silver Passage,Extractions,Dif Juz,235.0ø
Marooned,Extractions,Dif Juz,242.4ø
Love Insane,Extractions,Dif Juz,191.3ø
Echo Wreck,Extractions,Dif Juz,277.0ø
Crosswinds,Extractions,Dif Juz,463.2ø
A Starting Point,Extractions,Dif Juz,219.2ø
Ways To Be Wicked,20th Century Masters: The Millennium Collection: The Best Of Lone Justice,Lone Justice,209.9ø
Forbidden,Hipsway,Hipsway,307.5ø
Laivat,Laivat,Rauli Badding Somerjoki,226.0ø
Ilta-aurinko,Laivat,Rauli Badding Somerjoki,162.3ø
Vivo O Muerto,Capturados Vivos,La Frontera,191.9ø
La Ley De La Horca,La Frontera,La Frontera,232.3ø
La Frontera,Capturados Vivos,La Frontera,221.5ø
El Valle De Las Lagrimas,La Frontera,La Frontera,155.2ø
El Precio Del Placer,La Frontera,La Frontera,240.8ø
Work Song,Freq Revisited,Robert Calvert,234.6ø
The Greenfly and the Rose (Bonus Track),Freq,Robert Calvert,219.5ø
Talk 5,Freq Revisited,Robert Calvert,56.6ø
Talk 4,Freq,Robert Calvert,51.0ø
Talk 3,Freq,Robert Calvert,45.7ø
Talk 2,Freq,Robert Calvert,154.6ø
Talk 1,Freq,Robert Calvert,90.5ø
Standing on the Picket Line,Freq,Robert Calvert,195.1ø
Ned Ludd,Freq Revisited,Robert Calvert,278.9ø
Ned Lud,Freq,Robert Calvert,276.9ø
Lord of the Hornets (Bonus Track),Freq,Robert Calvert,231.7ø
All the Machines are Quiet,Freq,Robert Calvert,327.8ø
What You Been Missin',Restless,Starpoint,312.6ø
Till The End Of Time,Restless,Starpoint,309.3ø
See The Light,Restless,Starpoint,273.4ø
Restless,Restless,Starpoint,231.8ø
Object Of My Desire,Restless,Starpoint,306.4ø
Emotions,Restless,Starpoint,273.2ø
Don't Take Your Love Away,Restless,Starpoint,257.5ø
Corporate Disneyland,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,72.5ø
Sommarlek,ABC,Anna Book,223.7ø
Killsnack,ABC,Anna Book,233.7ø
John,ABC,Anna Book,190.2ø
Ge mig en chans,ABC,Anna Book,243.8ø
Galen i dig,ABC,Anna Book,218.8ø
Boomerang,ABC,Anna Book,241.3ø
Vol Del Bld,Wieleicht,S.Y.P.H.,130.8ø
Unser Zimmer,Wieleicht,S.Y.P.H.,303.1ø
Und So Geht Es,Wieleicht,S.Y.P.H.,294.1ø
Traumraum,Wieleicht,S.Y.P.H.,235.5ø
Tausend Nackte Neger,Wieleicht,S.Y.P.H.,271.8ø
Tag Taeglich,Wieleicht,S.Y.P.H.,305.0ø
Shy_ Shy_ Shy,Wieleicht,S.Y.P.H.,120.8ø
Raus Aus Dem Elternhaus,Wieleicht,S.Y.P.H.,121.1ø
Pamela Kehrt Zurueck,Wieleicht,S.Y.P.H.,195.8ø
Pamela,Wieleicht,S.Y.P.H.,176.7ø
Nur Ein Tropfen,Wieleicht,S.Y.P.H.,155.5ø
Meine Frau,Wieleicht,S.Y.P.H.,129.9ø
Lenz Ist Da,Wieleicht,S.Y.P.H.,259.1ø
Karl,Wieleicht,S.Y.P.H.,140.8ø
Frueh Morgens,Wieleicht,S.Y.P.H.,179.6ø
Edel / Ekel,Wieleicht,S.Y.P.H.,98.1ø
Der Letzte Held,Wieleicht,S.Y.P.H.,271.2ø
Der Junge Mit Der Sehnsucht,Wieleicht,S.Y.P.H.,395.0ø
Il Mio Angelo,Fiordaliso,Fiordaliso,213.2ø
Immer ohne mich,Live plus wahrscheinlich das beste Album aller Zeiten,Rodgau Monotones,258.5ø
Hallo ich bin Hermann,Live plus wahrscheinlich das beste Album aller Zeiten,Rodgau Monotones,410.4ø
Just Be You,Anywhere You Go,David Pack,255.0ø
I Just Can't Let Go,Anywhere You Go,David Pack,292.8ø
Then He Touched Me,Country Lover,Jean Shepard,162.1ø
Thank you john,Feudalist tarts - no sex,Alex Chilton,195.5ø
Stuff,Top 30,Alex Chilton,306.5ø
Paradise,Top 30,Alex Chilton,146.0ø
Lost my job,Feudalist tarts - no sex,Alex Chilton,188.3ø
Breakdown,Dj Revolution presents Class Of 85,T La Rock,150.9ø
Los Planes De Los Amantes,El Maldito Viento,La Union,251.3ø
El Tiempo En Un Espejo,El Maldito Viento,La Union,308.7ø
El Maldito Viento,El Maldito Viento,La Union,231.9ø
Altos Y Frondosos,Coleccion Audiovisual 1984 - 2004,La Union,237.6ø
A Solas,El Maldito Viento,La Union,168.3ø
