Chicken Fried,2010 Grammy Nominees,Zac Brown Band,214.2ø
World Class Freak,Dre's 2nd Drugstore,Dr. Dre,238.9ø
World Class,Dr. Dre Presents Mega Big Gangsta Rap,Dr. Dre,298.7ø
Turn Off The Lights,2007,Dr. Dre,344.6ø
Surgery,Dr. Dre Presents Mega Big Gangsta Rap,Dr. Dre,280.4ø
Must Be The Music,Live And Die In L.A._ vol. 4,Dr. Dre,302.8ø
Housecalls,Dr. Dre Presents Mega Big Gangsta Rap,Dr. Dre,302.7ø
Rain Fall Down,A Bigger Bang,The Rolling Stones,293.8ø
Days Go By (Acoustic Version),Days Go By,Keith Urban,220.8ø
Trashed And Scattered (Clean Album Version),City Of Evil,Avenged Sevenfold,351.9ø
The Wicked End (Album Version),City Of Evil,Avenged Sevenfold,430.2ø
Strength Of The World (Album Version),City Of Evil,Avenged Sevenfold,554.8ø
Sidewinder (Album Version),City Of Evil,Avenged Sevenfold,421.6ø
M.I.A. (Album Version),City Of Evil,Avenged Sevenfold,526.4ø
Blinded In Chains (Album Version),City Of Evil,Avenged Sevenfold,394.5ø
Betrayed (Album Version),City Of Evil,Avenged Sevenfold,406.5ø
Sons Of Plunder (Album Version),Ten Thousand Fists,Disturbed,228.0ø
Sacred Lie (Album Version),Ten Thousand Fists,Disturbed,185.7ø
Pain Redefined (Album Version),Ten Thousand Fists,Disturbed,247.1ø
Overburdened (Album Version),Ten Thousand Fists,Disturbed,357.3ø
Land Of Confusion (Album Version),Ten Thousand Fists,Disturbed,289.3ø
Just Stop (Album Version),Ten Thousand Fists,Disturbed,223.5ø
I'm Alive (Album Version),Ten Thousand Fists,Disturbed,282.0ø
Guarded (Album Version),Guarded,Disturbed,200.6ø
Forgiven (Album Version),Ten Thousand Fists,Disturbed,252.1ø
Deify (Album Version),Ten Thousand Fists,Disturbed,256.6ø
Decadence (Album Version),Ten Thousand Fists,Disturbed,204.8ø
Avarice (Album Version),Ten Thousand Fists,Disturbed,176.8ø
Bat Country (Album Version),City Of Evil,Avenged Sevenfold,312.1ø
The Fantasy,A Beautiful Lie + 30 Seconds To Mars,30 Seconds To Mars,269.0ø
Savior,A Beautiful Lie,30 Seconds To Mars,204.5ø
R-Evolve,A Beautiful Lie + 30 Seconds To Mars,30 Seconds To Mars,238.2ø
Hunter,A Beautiful Lie,30 Seconds To Mars,234.7ø
From Yesterday,A Beautiful Lie,30 Seconds To Mars,248.0ø
A Modern Myth,A Beautiful Lie,30 Seconds To Mars,180.2ø
Sad Peter Pan,Rarities & B-Sides,The Smashing Pumpkins and Red Red Meat,308.9ø
Perfect (Elektro Breakbeat Mix),Rarities & B-Sides,The Smashing Pumpkins,363.5ø
You Stay With Me (Album Version),Fireflies,Faith Hill,263.0ø
Wish For You (Album Version),Fireflies,Faith Hill,208.4ø
We've Got Nothing But Love To Prove (Album Version),Fireflies,Faith Hill,275.0ø
The Lucky One (Album Version),Fireflies,Faith Hill,216.4ø
Sunshine And Summertime (Album Version),Fireflies,Faith Hill,206.5ø
Paris (Album Version),Fireflies,Faith Hill,320.6ø
Like We Never Loved At All (Album Version),Fireflies,Faith Hill,262.0ø
If You Ask (Album Version),Fireflies,Faith Hill,255.5ø
I Want You (Album Version),Fireflies,Faith Hill,246.1ø
I Ain't Gonna Take It Anymore (Album Version),Fireflies,Faith Hill,239.2ø
Fireflies (Album Version),Fireflies,Faith Hill,268.3ø
Dearly Beloved (Album Version),Fireflies,Faith Hill,142.6ø
Push (Album Version),Confessions On A Dance Floor,Madonna,212.9ø
Hung Up (SDP Extended Vocal),Hung Up,Madonna,476.6ø
Forbidden Love (Album Version),Confessions On A Dance Floor,Madonna,262.3ø
She Is,How To Save A Life,The Fray,236.5ø
Over My Head (Cable Car),Over My Head (Cable Car),The Fray,232.9ø
Look After You,Look After You,The Fray,447.6ø
Little House,How To Save A Life,The Fray,150.4ø
How To Save A Life,Acoustic In Nashville - Bootleg No. 2,The Fray,269.9ø
Heaven Forbid,How To Save A Life,The Fray,240.0ø
Fall Away,How To Save A Life,The Fray,263.8ø
Dead Wrong,How To Save A Life,The Fray,201.7ø
All At Once,How To Save A Life,The Fray,227.6ø
Like It Or Not (Album Version),Confessions On A Dance Floor,Madonna,275.6ø
Hung Up (Tracy Young's Get Up And Dance Groove Edit),Hung Up,Madonna,255.1ø
Hung Up (Album Version),Confessions On A Dance Floor,Madonna,337.6ø
The Denial Twist (Album Version),Get Behind Me Satan,The White Stripes,155.8ø
Screwdriver (Live),My Doorbell,The White Stripes,342.6ø
My Doorbell (Album Version),Get Behind Me Satan,The White Stripes,241.9ø
My Doorbell,My Doorbell,The White Stripes,239.6ø
I'm Lonely [But I Ain't That Lonely Yet] (Album Version),Get Behind Me Satan,The White Stripes,259.6ø
Blue Orchid,Blue Orchid,The White Stripes,160.3ø
As Ugly As I Seem (Album Version),Get Behind Me Satan,The White Stripes,250.0ø
