I Love You Baby,Doggin' My Heart Around,Sonny Terry,142.2ø
Kilroy Won't Be Back,Rhythm & Blues,Eddie Boyd,176.1ø
Marylin,Eisenherz,Stahlhammer,258.7ø
Krieg ist eine Droge,Eisenherz,Stahlhammer,312.5ø
Kein Priester,Eisenherz,Stahlhammer,239.1ø
Grabesnacht,Eisenherz,Stahlhammer,47.7ø
Eisenherz,Eisenherz,Stahlhammer,266.9ø
Bis in alle Ewigkeit,Eisenherz,Stahlhammer,360.2ø
Grim Prospects,Don't F**k With Us,Schizoid,253.1ø
Food For Thought,All Things Are Connected,Schizoid,92.4ø
Amputate,All Things Are Connected,Schizoid,235.7ø
All Things Are Connected,All Things Are Connected,Schizoid,165.0ø
Going Round In Circles,Live 1978,Alternative TV,75.9ø
Warning,Blasterpiece Theatre,December Wolves,45.3ø
Solid Gold Beating,Blasterpiece Theatre,December Wolves,205.7ø
Sharing Needles,Blasterpiece Theatre,December Wolves,264.5ø
Publican Aquarian Freebase,Blasterpiece Theatre,December Wolves,368.4ø
Porn Again Christian,Blasterpiece Theatre,December Wolves,166.1ø
Kolobos,Blasterpiece Theatre,December Wolves,247.4ø
Do Not Entry,Blasterpiece Theatre,December Wolves,269.8ø
Disclaimer,Blasterpiece Theatre,December Wolves,103.9ø
Desperately Seeking Satan,Blasterpiece Theatre,December Wolves,364.8ø
April Fools Day,Blasterpiece Theatre,December Wolves,211.5ø
That's What Love Is Made Of,Classic Masters,The Sylvers,197.0ø
Free Style,Classic Masters,The Sylvers,179.6ø
The Look Of Love,Music Hall,Dominique Dalcan,161.1ø
Stay Forever,Hot Spot,Tutto Matto,354.5ø
My Little Star,Hot Spot,Tutto Matto,288.9ø
Last Minute Of Funk,Tummy Touch 10,Tutto Matto,317.6ø
Inseguimento,Hot Spot,Tutto Matto,246.8ø
I Love You More - LMF 3,Hot Spot,Tutto Matto,425.4ø
Hot Spot,Hot Spot,Tutto Matto,202.4ø
Changes In Piano,Hot Spot,Tutto Matto,244.8ø
What Can I Do,What Can I Do,Donnie Elbert,182.1ø
You Are The One Lalala,I'll Come Back And Love You Forever,Morten Abel,225.9ø
Stay Crazy,I'll Come Back And Love You Forever,Morten Abel,307.3ø
Sortie,L'ombre Sur La Mesure,La Rumeur,46.3ø
Premier Matin De Novembre,L'ombre Sur La Mesure,La Rumeur,190.6ø
On Frappera,L'ombre Sur La Mesure,La Rumeur,195.1ø
Moha,L'ombre Sur La Mesure,La Rumeur,213.8ø
Les Petites Annonces Du Carnage,L'ombre Sur La Mesure,La Rumeur,201.1ø
Les Coulisses De L'angoisse,L'ombre Sur La Mesure,La Rumeur,197.4ø
Le Coffre Fort Ne Suivra Pas Le Corbillard,L'ombre Sur La Mesure,La Rumeur,250.6ø
Je Connais Tes Cauchemards,L'ombre Sur La Mesure,La Rumeur,247.9ø
365 Cicatrices,L'ombre Sur La Mesure,La Rumeur,108.8ø
Spectrum,Obscure Jazz-sounds Vol.1,Barrio Jazz Gang,335.8ø
Big Mama's Door,Big Mama'S Door,Alvin Youngblood Hart,233.4ø
Congo Deep,Abstract Afro Journey - Mixed By Ron Trent,Mateo & Matos,234.8ø
Slo,Electric Babyland / Lullabies,Rafael Toral,314.5ø
Rdm,Electric Babyland / Lullabies,Rafael Toral,218.7ø
My Head On Your Shoulders Feels Like Home,Electric Babyland / Lullabies,Rafael Toral,71.9ø
Little Stars,Electric Babyland / Lullabies,Rafael Toral,115.0ø
Dne,Electric Babyland / Lullabies,Rafael Toral,591.8ø
C,Early Works,Rafael Toral,236.3ø
B2,Early Works,Rafael Toral,173.7ø
B1,Early Works,Rafael Toral,234.6ø
A VIII,Early Works,Rafael Toral,203.5ø
A,Early Works,Rafael Toral,250.7ø
Vitamin,Specifics,Midwest Product,307.7ø
Still Love In The Midwest,Specifics,Midwest Product,307.5ø
Pigeons,Specifics,Midwest Product,298.1ø
Lethal Cop (kurt Russell),Specifics,Midwest Product,309.3ø
Clicks And Crackers,Specifics,Midwest Product,296.0ø
Beardman In The City,Specifics,Midwest Product,253.0ø
Alternator,Specifics,Midwest Product,319.6ø
A Genuine Display,Specifics,Midwest Product,209.6ø
The First Noel,The Reindeer Room: A Christmas Chillout,Inverse Cinematics,360.0ø
Tonight's The Night,Classic Masters,T-Connection,226.2ø
Party Night,Classic Masters,T-Connection,305.3ø
Love Odyssey (Love Shines Forever),Something For The Weekend,T-Connection,315.0ø
Groove City,Classic Masters,T-Connection,325.7ø
Girl Watching,Classic Masters,T-Connection,291.8ø
Everything Is Cool,Something For The Weekend,T-Connection,265.9ø
A Little More Love,Classic Masters,T-Connection,287.3ø
Rumble Fish,Rumble Fish,Tone Depth,432.8ø
Miss camiseta mojada,Ajuste de cuentas,Quique Gonzalez,230.5ø
La ciudad del viento,Ajuste de cuentas,Quique Gonzalez,267.8ø
Yesterday In Parliament,Bittersweet,Clifford T. Ward,143.7ø
Thinking Of Something To DO,The Ways Of Love,Clifford T. Ward,160.6ø
There's No Such Thing,Hidden Treasures,Clifford T. Ward,152.0ø
Taking the Long Way Round,Change of Heart,Clifford T. Ward,205.4ø
Sidetracked,Life Too_ Has Surface Noise: The Complete Dandelion Records Singles Collection 1969-1972,Clifford T Ward,202.1ø
Naughty Boy,Bittersweet,Clifford T. Ward,129.4ø
Love In The Song,Hidden Treasures,Clifford T. Ward,170.8ø
Learning My Part,Hidden Treasures,Clifford T. Ward,161.4ø
Jenny,Hidden Treasures,Clifford T. Ward,148.2ø
Jayne from Andromeda Spiral,Change of Heart,Clifford T. Ward,355.6ø
It's A Nice Day,The Ways Of Love,Clifford T. Ward,134.3ø
Escalator,Bittersweet,Clifford T. Ward,292.6ø
Attraction,Hidden Treasures,Clifford T. Ward,176.9ø
All That Glitters Is Not Gold,Hidden Treasures,Clifford T. Ward,128.8ø
The Little Girl and the Dreadful Snake,Out Standing in Their Field: The New Lost City Ramblers_ Vol . 2_ 1963-1973,The New Lost City Ramblers,212.3ø
Turkish Bazar (Samuel L Sessions Remix),Turkish Bazar,Emmanuel Top,381.7ø
Turkish Bazar (Reloop Remix),Turkish Bazar,Emmanuel Top,475.9ø
Turkish Bazar (Radio Edit),Turkish Bazar,Emmanuel Top,249.3ø
Turkish Bazar (Original Club Mix),Turkish Bazar,Emmanuel Top,394.0ø
Acid Phase (Original Radio Mix),Acid Phase,Emmanuel Top,215.4ø
Acid Phase (Kai Tracid Remix),Acid Phase,Emmanuel Top,397.4ø
Acid Phase (Elektrochemie LK Remix),Acid Phase,Emmanuel Top,522.3ø
Silver Froth,James Lumb's Sonic Diary Singles,Electric Skychurch,342.2ø
New York Girls,Gangs Of New York,Finbar Furey,243.5ø
mr. weatherman,Dreaming Up The Perfect Pop,Call And Response,185.5ø
Tounga,Timbuktu,Issa Bagayogo,202.9ø
Toroya,Timbuktu,Issa Bagayogo,217.7ø
Timbuktu,Timbuktu,Issa Bagayogo,348.6ø
Tamagnoko,Timbuktu,Issa Bagayogo,256.3ø
Sisi,Timbuktu,Issa Bagayogo,270.6ø
Saye Mogo Bana,Timbuktu,Issa Bagayogo,315.3ø
Nogo,Timbuktu,Issa Bagayogo,331.8ø
Gnele,Timbuktu,Issa Bagayogo,231.4ø
Dambalou,Timbuktu,Issa Bagayogo,293.2ø
Dama,Timbuktu,Issa Bagayogo,305.0ø
Banani,Timbuktu,Issa Bagayogo,293.7ø
Wir Werden Immer Mehr,Geri Reig Und Normalette Surprise,Der Plan,174.0ø
Wameru  (LP Version),Daktari,Shelly Manne,177.5ø
Toto (LP Version),Daktari,Shelly Manne,168.1ø
Stay With Me (LP Version),Daktari,Shelly Manne,167.5ø
Rhino Trot (LP Version),Daktari,Shelly Manne,110.2ø
Judy Judy (LP Version),Daktari,Shelly Manne,157.7ø
Ivan   (LP Version),Daktari,Shelly Manne,148.4ø
Galloping Giraffes (LP Version),Daktari,Shelly Manne,191.8ø
Elephantime (LP Version),Daktari,Shelly Manne,141.8ø
Daktari  (LP Version),Daktari,Shelly Manne,134.5ø
Clarence (LP Version),Daktari,Shelly Manne,139.5ø
Africa (LP Version),Daktari,Shelly Manne,191.3ø
Your Coldest Smile,Into The Ice,Paralysed Age,315.6ø
Self Control,Into The Ice,Paralysed Age,277.2ø
Ocean,Into The Ice,Paralysed Age,370.7ø
My Sweetest Return,Into The Ice,Paralysed Age,287.6ø
Into the Ice,Into The Ice,Paralysed Age,368.6ø
Get Faster_ Reach Devil,Into The Ice,Paralysed Age,299.1ø
Dawn of Life,Into The Ice,Paralysed Age,340.9ø
Darkened Skies,Into The Ice,Paralysed Age,259.0ø
Berenice,Vier Factor #1,Paralysed Age,211.7ø
Tantric Lover,Tantric Lover,The Crazy World Of Arthur Brown,288.3ø
Swimfish,Tantric Lover,The Crazy World Of Arthur Brown,206.2ø
Healing Sound,Tantric Lover,The Crazy World Of Arthur Brown,397.7ø
Gabriel,Tantric Lover,The Crazy World Of Arthur Brown,365.4ø
Circle Dance,Tantric Lover,The Crazy World Of Arthur Brown,274.8ø
All the Bells,Tantric Lover,The Crazy World Of Arthur Brown,207.0ø
Outlaws and Dreamers,Gaughan Live! At the Trades Club,Dick Gaughan,343.2ø
Erin Go Bragh,Gaughan Live! At the Trades Club,Dick Gaughan,246.0ø
Total Experience,Prince Of Paranoia,Safi Connection,476.9ø
Prince Of Paranoia,Prince Of Paranoia,Safi Connection,505.4ø
Kaimera,Prince Of Paranoia,Safi Connection,499.8ø
Impact,Prince Of Paranoia,Safi Connection,485.4ø
