Hard to Say I'm Sorry,My One and Only Love,Fausto Papetti,242.7ø
Suzy Body,Fragole Infinite,Alberto Fortis,168.4ø
Liquido Breve Per Bibo,Fragole Infinite,Alberto Fortis,256.4ø
L'Uomo Grande,Fragole Infinite,Alberto Fortis,170.4ø
Due File,Fragole Infinite,Alberto Fortis,218.8ø
Dimmi Di No,Fragole Infinite,Alberto Fortis,201.4ø
Let's Break The Law,Live And Loud,Anti-Nowhere League,180.6ø
Yellow cab to midnight,Why don't you just rock,Restless,197.7ø
Later,Why don't you just rock,Restless,111.4ø
Last chance baby,Why don't you just rock,Restless,125.8ø
It's a scam,The early years 1981-83,Restless,144.5ø
High time #2,Why don't you just rock,Restless,162.8ø
High time,The early years 1981-83,Restless,232.0ø
Face in my gin,Why don't you just rock,Restless,229.6ø
Blackcat,Why don't you just rock,Restless,157.3ø
White Line,"Then ""live",Allan Holdsworth,578.5ø
The Things You See (When You Haven't Got Your Gun),The things you see,Allan Holdsworth,272.4ø
Temporary Fault,I.O.U.,Allan Holdsworth,197.6ø
Out from Under,I.O.U.,Allan Holdsworth,214.3ø
Letters of Marque,I.O.U.,Allan Holdsworth,422.3ø
Checking Out,I.O.U.,Allan Holdsworth,219.3ø
She's a Drone,Negative Capability...Check it Out!,Urinals,39.4ø
You Are (LP Version),The Message,Grandmaster Flash & The Furious Five,290.2ø
The Message,The Best Of Grandmaster Flash & Sugar Hill,Grandmaster Flash & The Furious Five,181.8ø
The Adventures Of Grandmaster Flash On The Wheels Of Steel,The Best Of Grandmaster Flash & Sugar Hill,Grandmaster Flash & The Furious Five,428.3ø
She's Fresh (LP Version),The Message,Grandmaster Flash & The Furious Five,297.0ø
Scorpio (LP Version),The Message,Grandmaster Flash & The Furious Five,290.1ø
Scorpio,The Best Of Grandmaster Flash & Sugar Hill,Grandmaster Flash & The Furious Five,142.9ø
It's A Shame (Mt. Airy Groove) (LP Version),The Message,Grandmaster Flash & The Furious Five,297.8ø
Dreamin' (LP Version),The Message,Grandmaster Flash & The Furious Five,346.3ø
If It Takes Me All Night,The Nolans Superhits,The Nolans,199.0ø
God Knows,The Best Of,The Nolans,218.2ø
Every Little Thing,The Best Of,The Nolans,272.9ø
Every Home Should Have One,Altogether,The Nolans,218.7ø
Don't Love Me Too Hard,I'm In The Mood For Dancing,The Nolans,236.5ø
Don't Let It Go By,Portrait,The Nolans,178.0ø
Crashing Down,Altogether,The Nolans,204.9ø
Chemistry,I'm In The Mood For Dancing,The Nolans,203.5ø
Hazarder,The Platinum Collection,Lisac Josipa,221.9ø
Rakkauden talossa,Punainen planeetta,Tuomari Nurmio,193.0ø
Punainen planeetta,Punainen planeetta,Tuomari Nurmio,151.9ø
On aika soittaa sinfonia,Punainen planeetta,Tuomari Nurmio,190.7ø
LAAKSOSSA,Lemmenloruja,Tuomari Nurmio,247.6ø
Herttua puhuu,Punainen planeetta,Tuomari Nurmio,216.9ø
I Ain't Got Nobody,New York 1935-1937_ Vol. A,Cab Calloway And His Orchestra,184.6ø
Russian Roulette,Killer Lords,Lords Of The New Church,225.8ø
Question Of Temperature,Question Of Temperature,Lords Of The New Church,175.8ø
Portobello,Portobello,Lords Of The New Church,179.3ø
Open Your Eyes,Killer Lords,Lords Of The New Church,207.8ø
New Church,Killer Lords,Lords Of The New Church,211.6ø
Livin' On Livin',Livin' On Livin,Lords Of The New Church,204.7ø
Li'l Boys Play With Dolls,Li'l Boys Play With Dolls,Lords Of The New Church,221.2ø
Holy War,Holy War,Lords Of The New Church,263.1ø
Eat Your Heart Out,Eat Your Heart Out,Lords Of The New Church,154.6ø
Apocalypso,Apocalypso,Lords Of The New Church,189.2ø
You Gotta Get It While You Can,Sleepwalk,Larry Carlton,297.4ø
Upper Kern,Sleepwalk,Larry Carlton,453.5ø
Song for Katie,Sleepwalk,Larry Carlton,229.3ø
Sleepwalk,Sleepwalk,Larry Carlton,275.2ø
Frenchman's Flat,Sleepwalk,Larry Carlton,274.4ø
Blues Bird,Sleepwalk,Larry Carlton,272.1ø
10:00 P.M.,Sleepwalk,Larry Carlton,308.0ø
Mile pop jordanov,The Ultimate Collection,Leb I Sol,276.5ø
Lokomobila,The Ultimate Collection,Leb I Sol,177.6ø
Let u mestu,The Ultimate Collection,Leb I Sol,211.4ø
Hiroshima,Live,Puhdys,268.8ø
Diep In Mijn Hart,Live Concert,Andre Hazes,313.6ø
The Dreamer,The Very Best of Tom Rush: No Regrets 1962-1999,Tom Rush,415.7ø
Who Could Resist That Face (Apocalypso Version) (Digitally Remastered 99),All Four One,The Motels,250.6ø
Tragic Surf (Digitally Remastered 99),All Four One,The Motels,210.3ø
Take The L (Digitally Remastered 99),All Four One,The Motels,221.5ø
So L.A. (Digitally Remastered 99),All Four One,The Motels,215.1ø
