O My Father,20 Favourite Uplifting Hymns,Mormon Tabernacle Choir,238.8ø
There's No Christmas Without You,Christmas,Kirk Franklin & The Family,254.0ø
She Came Home for Christmas,Elbow Tour,Mew,234.3ø
Mustaa,Romuna,Zen Cafe,185.5ø
Miehet ja naiset,Romuna,Zen Cafe,185.9ø
Lauantai,Romuna,Zen Cafe,156.8ø
Kolmen viikon taivas,Romuna,Zen Cafe,183.9ø
Kissa kuumalla katolla,Romuna,Zen Cafe,209.8ø
Falling To The Floor,Anthology,Ocean Colour Scene,235.8ø
Netherworld (Kid Loops Remix),The Sound Of Superstition Vol. 6,L.S.G.,520.9ø
Cubic 3,The Sound Of Superstition Vol.5,L.S.G.,401.9ø
Eit Skot Te,LIVe LAGA,Hellbillies,199.7ø
Bra Den Eg Har,LIVe LAGA,Hellbillies,216.3ø
Strikebreakers,For a Free Humanity: For Anarchy,Noam Chomsky,87.9ø
Crime Pays,For a Free Humanity: For Anarchy,Noam Chomsky,179.3ø
Red Tape,Off The Wall - Ten Years of Wall of Sound,Agent Provocateur,191.5ø
Induce,Induce,Joe Vasconcellos,245.2ø
Get Up (Everybody),Floorfillers Classics,Byron Stingily,197.4ø
What's Up God?,Sophisticated,Sieges Even,368.7ø
What If?,Sophisticated,Sieges Even,320.0ø
Trainsong,Sophisticated,Sieges Even,276.7ø
Scratches In The Rind,Sophisticated,Sieges Even,357.8ø
Rise And Shine,Sophisticated,Sieges Even,325.4ø
Love Is As Warm As Tears,Sophisticated,Sieges Even,436.5ø
Different Pace,Sophisticated,Sieges Even,330.9ø
Modinha,Antonio Carlos Jobim em Minas ao Vivo Piano e Voz,Antonio Carlos Jobim,136.2ø
I Guess I'm Just Another Girl in Love,He's All I've Got,Love Unlimited,303.6ø
He's All I've Got,He's All I've Got,Love Unlimited,441.1ø
Gotta Be Where You Are,Love is Back,Love Unlimited,254.1ø
How Long Has This Been Going On?,Movie Team ( Singing Movie Stars CD1),Audrey Hepburn,269.2ø
Say... If You Feel Alright,The Best Of Crystal Waters,Crystal Waters,236.2ø
Momma Told Me,Because I Said So (OST),Crystal Waters,376.0ø
Love I Found,The Best Of Crystal Waters,Crystal Waters,356.0ø
Just A Freak,The Best Of Crystal Waters,Crystal Waters,251.4ø
Lucky For You,Red,Espen Lind,281.3ø
Nada es para siempre (Forever Radio Edit),Lo Mejor de Fabiana Cantilo,Fabiana Cantilo,271.4ø
The Match,The Match,Joey Tempest,215.0ø
