Bless You,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,179.8ø
Who You Got To Love (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,158.1ø
When I'm Dead And Gone,Top Of The Pops - Seventies,McGuinness Flint,218.9ø
Mister_ Mister (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,123.6ø
Let It Ride (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,170.7ø
Lazy Afternoon (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,233.1ø
International (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,199.5ø
I'm Letting You Know (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,204.7ø
Dream Darling Dream (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,104.4ø
Brother Pysche (2009 Digital Remaster),McGuinness Flint,McGuinness Flint,307.0ø
Bodang Buck (1996 Digital Remaster),McGuinness Flint,McGuinness Flint,183.9ø
It's My Delight,Beverley's Records - The Collection,The Melodians,192.1ø
Sweet Gingerbread Man,With Love_ Bobby,Bobby Sherman,170.9ø
Show Me,With Love_ Bobby,Bobby Sherman,149.6ø
Oklahoma City Times,With Love_ Bobby,Bobby Sherman,131.3ø
Message To My Brother,With Love_ Bobby,Bobby Sherman,154.4ø
I'll Never Let You Go,With Love_ Bobby,Bobby Sherman,151.5ø
I Think I'm Gonna Rain,With Love_ Bobby,Bobby Sherman,158.3ø
Good For Each Other,All-Time Greatest Hits,Bobby Sherman,157.8ø
Queen Of Scots,Strangely Strange But Oddly Normal - An Island Records Anthology 2009/Compilation,Amazing Blondel,101.7ø
Walk Away Renee,Formula 3,Formula 3,268.7ø
Sole Giallo_ Sole Nero,Dies Irae,Formula 3,430.1ø
Se Non E' Amore Cos'E',Dies Irae,Formula 3,310.9ø
Questo Folle Sentimento,Dies Irae,Formula 3,65.4ø
Perche'...Perche' Ti Amo,Dies Irae,Formula 3,366.4ø
Non E' Francesca,Dies Irae,Formula 3,217.7ø
Dies Irae,Dies Irae,Formula 3,459.0ø
I'm on My Own Again,Livetime,Bintangs,161.3ø
Hound is on the Run,Livetime,Bintangs,330.1ø
Agnes Grey,Genuine Bull,Bintangs,326.4ø
Wrath Of Daisey (LP Version),Open,Blues Image,91.2ø
Take Me (LP Version),Open,Blues Image,455.3ø
Running The Water (LP Version),Open,Blues Image,157.5ø
Pay My Dues (Single/LP Version),Open,Blues Image,229.4ø
Love Is The Answer (LP Version),Open,Blues Image,154.9ø
LaBamba (LP Version),Open,Blues Image,145.9ø
Fugue U (LP Version),Open,Blues Image,50.2ø
Consuelate (LP Version),Open,Blues Image,75.0ø
