Non Siamo Soli,e2,Eros Ramazzotti & Ricky Martin,222.2ø
Storms Never Last,The Essential Waylon Jennings,Waylon Jennings & Jessi Colter,185.1ø
After You've Gone,Juke Box Saturday Night - Original Big Band Hits From the Swing Era,Red Nichols,168.1ø
Get Ready,A Cellarful Of Motown Volume 3,San Remo Golden Strings,166.4ø
Sus misterios,Noticias de Mi Alma,Raly Barrionuevo,261.4ø
Noticias de mi alma,Noticias de Mi Alma,Raly Barrionuevo,229.5ø
Las coplas del campo,Noticias de Mi Alma,Raly Barrionuevo,135.0ø
La gente del campo,Noticias de Mi Alma,Raly Barrionuevo,167.0ø
Juan Labrador,Noticias de Mi Alma,Raly Barrionuevo,189.6ø
Herida azul,Noticias de Mi Alma,Raly Barrionuevo,267.1ø
Esta historia,Noticias de Mi Alma,Raly Barrionuevo,221.0ø
Donde alguien me espera,Noticias de Mi Alma,Raly Barrionuevo,133.1ø
Chacarera de la espada,Noticias de Mi Alma,Raly Barrionuevo,202.5ø
A la libertad,Noticias de Mi Alma,Raly Barrionuevo,162.6ø
Maa jossa kaikki on toisin,Ipanapa 1,Tommy Lindgren,378.7ø
(You're) Having My Baby,Original Hits - Seventies,Paul Anka And Odia Coates,149.3ø
Goin' Away Blues,I Can't Be Satisfied: Early American Blues Singers Vol. 1 - Country,Lottie Kimbrough,160.9ø
Time and Tide,Perception,Gwilym Simcock,568.7ø
Sneaky,Perception,Gwilym Simcock,372.2ø
My One and Only Love (Live),Perception,Gwilym Simcock,505.6ø
Message,Perception,Gwilym Simcock,479.3ø
And Then She Was Gone,Perception,Gwilym Simcock,356.1ø
Almost Moment,Perception,Gwilym Simcock,235.2ø
Affinity,Perception,Gwilym Simcock,412.1ø
A Typical Affair,Perception,Gwilym Simcock,495.6ø
You're My Heaven,Can You Hear the Myracle Brah?,Myracle Brah,186.1ø
You're Full Of Strangers,Can You Hear the Myracle Brah?,Myracle Brah,172.9ø
Walking On Water,Can You Hear the Myracle Brah?,Myracle Brah,219.8ø
Tran Sister,Can You Hear the Myracle Brah?,Myracle Brah,115.7ø
The Night Belongs To You,Can You Hear the Myracle Brah?,Myracle Brah,142.0ø
Run The Voices,Can You Hear the Myracle Brah?,Myracle Brah,380.7ø
No More Words,Can You Hear the Myracle Brah?,Myracle Brah,127.0ø
Hurry Now,Can You Hear the Myracle Brah?,Myracle Brah,169.1ø
Goodbye World,Can You Hear the Myracle Brah?,Myracle Brah,117.0ø
Big Mistake,Can You Hear the Myracle Brah?,Myracle Brah,247.3ø
Big Kids Wanna Rock,Can You Hear the Myracle Brah?,Myracle Brah,156.3ø
Angeleen,Can You Hear the Myracle Brah?,Myracle Brah,216.0ø
A Traveling Song,Can You Hear the Myracle Brah?,Myracle Brah,179.4ø
Prose Officially,Over Time,Pep Love and Jay Biz,247.4ø
Cut That Weak Shit (Remix),Buckwild - Rare Studio Masters,Lace Da Booms,202.9ø
Waltz For Phineas,Curveball,Geoff Keezer,524.7ø
The Jackleg Patrol,Curveball,Geoff Keezer,463.0ø
Never Never Land,Curveball,Geoff Keezer,523.1ø
Just Around The Corner,Curveball,Geoff Keezer,298.5ø
Golden Earrings,Curveball,Geoff Keezer,443.2ø
Curveball,Curveball,Geoff Keezer,410.4ø
Brainstorming,Curveball,Geoff Keezer,456.2ø
Bem Aos Olhos Da Lua,Juliano Cezar,Juliano Cezar,232.3ø
Heatwave,The Virus Has Been Spread: A Tribute To Atari Teenage Riot,Phallus Uber Alles,150.1ø
Twist A Rock,King Jammy's Selectors Choice Vol.2,Major Worries,183.6ø
Chip,The Truth Unveils,Explainer,255.4ø
Overture (Godbles Medley),Rockestra,Erwin Gutawa,374.1ø
Kasih Tak Sampai,Rockestra,Erwin Gutawa,139.2ø
Bendera,Rockestra,Erwin Gutawa,115.9ø
What Is Hip,Be Hip,Mothers Little Helpers,217.2ø
Waiting For So Long,Be Hip,Mothers Little Helpers,170.1ø
Try To Be Hip,Be Hip,Mothers Little Helpers,269.5ø
To Be Free,Be Hip,Mothers Little Helpers,206.4ø
Satellite No.2,Be Hip,Mothers Little Helpers,234.6ø
Rock Song,Be Hip,Mothers Little Helpers,196.0ø
Inside,Be Hip,Mothers Little Helpers,108.3ø
Change My Mind,Be Hip,Mothers Little Helpers,333.0ø
Falling Stars (Canis & De Santos Mix),50 Techno Trance Anthems Vol.1,Pulso Da Vida,489.8ø
I Just Can't Get New Orleans Off My Mind,Goin' Home_ A Tribute To Fats Domino,Irma Thomas And Marcia Ball,209.0ø
Stranger In A Strange Land,Sing Me A Rainbow: A Trident Anthology 1965-1967 Part 2,Blackburn & Snow,147.6ø
Hello Out There,20 Greatest Hits,Carl Belew,134.6ø
Rusted Cars,Valle De La Muerte,Speedbuggy USA,107.8ø
