Take The A Train,Treasury Shows Vol. 1,Duke Ellington And His Orchestra,52.9ø
Village Soul,Studio One Rockers,Lennie Hibbert,180.9ø
Real Hot,100% Dynamite,Lennie Hibbert,147.3ø
Wutu-Banale,Tasavallan presidentti,Tasavallan Presidentti,396.4ø
Woman of the world,Tasavallan presidentti,Tasavallan Presidentti,171.3ø
Who's free,Tasavallan presidentti,Tasavallan Presidentti,206.5ø
Thinking back,Tasavallan presidentti,Tasavallan Presidentti,180.4ø
Roll over yourself,Tasavallan presidentti,Tasavallan Presidentti,145.1ø
Obsolete machine,Tasavallan presidentti,Tasavallan Presidentti,232.6ø
Introduction - You'll be back for more,Tasavallan presidentti,Tasavallan Presidentti,373.1ø
I'M GOING HOME ONCE AGAIN,Tasavallan Presidentti,Tasavallan Presidentti,244.2ø
I LOVE YOU TEDDY BEAR,Tasavallan Presidentti,Tasavallan Presidentti,173.3ø
Drivin through,Tasavallan presidentti,Tasavallan Presidentti,269.1ø
Drinking,Tasavallan presidentti,Tasavallan Presidentti,193.0ø
Crazy thing nr 1,Tasavallan presidentti,Tasavallan Presidentti,43.1ø
Ancient mariner,Tasavallan presidentti,Tasavallan Presidentti,204.5ø
Midnight Cowboy,All-Time Great Movie Themes,Ferrante & Teicher,199.3ø
The Galloping Latin,The Blues; That's Me!,Illinois Jacquet,329.1ø
'Round Midnight,The Blues; That's Me!,Illinois Jacquet,412.3ø
