Sun Music,Glastonbury Fayre Festival,Skin Alley,289.3ø
Su Una Rupe,Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,312.1ø
Sogni Di Cristallo,Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,393.2ø
Nulla,Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,61.9ø
Nel Mio Quartiere,Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,231.9ø
L'Ombra,Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,220.2ø
Il Mondo Cade (Su Di Me),Per... Un Mondo Di Cristallo,Raccomandata Ricevuta Ritorno,407.4ø
Thrilling,Scolopendra,Gli Alluminogeni,485.3ø
Scolopendra,Scolopendra,Gli Alluminogeni,223.6ø
Pianeta,Scolopendra,Gli Alluminogeni,412.4ø
La Stella Di Atades,Scolopendra,Gli Alluminogeni,277.0ø
La Natura E L'Universo,Scolopendra,Gli Alluminogeni,474.4ø
Cosmo,Scolopendra,Gli Alluminogeni,213.5ø
