Tootin' Through The Roof,Treasury Shows Vol. 6,Duke Ellington And His Orchestra,259.1ø
I Will Take You Home,Natural Born Killers,Russel Means,138.7ø
A Happy Home in Kathmandu,The Opening Of Doors,Will Ackerman,254.3ø
Sam'di chez l'amiral,Le Monde de Pierrot,Pierre Perret,166.5ø
Mon Pierrot,Le Monde de Pierrot,Pierre Perret,169.4ø
Marina,Le Monde de Pierrot,Pierre Perret,241.3ø
Les proverbes,Le Monde de Pierrot,Pierre Perret,184.2ø
Les jolies colonies de vacances,Le Monde de Pierrot,Pierre Perret,228.2ø
Le poulet,Le Monde de Pierrot,Pierre Perret,90.5ø
La rue Perce Oreille,Le Monde de Pierrot,Pierre Perret,182.2ø
La grande ourse,Le Monde de Pierrot,Pierre Perret,217.7ø
L'idole des femmes,Le Monde de Pierrot,Pierre Perret,143.5ø
Docteur,Le Monde de Pierrot,Pierre Perret,153.9ø
