Love At First Sight,Love At First Sight,Kylie Minogue,238.6ø
Next Door To The Blues,Her Best - The Chess 50th Anniversary Collection,Etta James,166.7ø
The Liar,No Rest for the Wicked,Ozzy Osbourne,269.4ø
Tattooed Dancer,No Rest for the Wicked,Ozzy Osbourne,233.4ø
Miracle Man,Just Say Ozzy,Ozzy Osbourne,242.0ø
Fire In The Sky,No Rest For The Wicked,Ozzy Osbourne,384.4ø
Demon Alcohol,No Rest for the Wicked,Ozzy Osbourne,267.6ø
Crazy Babies,The Ozzman Cometh,Ozzy Osbourne,254.3ø
Bloodbath In Paradise,No Rest For The Wicked,Ozzy Osbourne,302.0ø
Kentucky Rain,Best Of Elvis Presley,Elvis Presley,193.1ø
Stardust,The Great American Songbook,Louis Armstrong & His Orchestra,213.7ø
I Got Rhythm,St. Louis Blues,Louis Armstrong,216.5ø
Death Is Not The End,Down In The Groove,Bob Dylan,311.7ø
Trilogy: a) The Wonder,Daydream Nation,Sonic Youth,255.7ø
Totally Trashed,Daydream Nation,Sonic Youth,117.1ø
Total Trash,Daydream Nation,Sonic Youth,453.4ø
The Sprawl,Daydream Nation,Sonic Youth,462.6ø
Teen Age Riot,Screaming Fields Of Sonic Love,Sonic Youth,417.8ø
Silver Rocket,Daydream Nation,Sonic Youth,259.0ø
Rain King,Daydream Nation,Sonic Youth,279.3ø
Kissability,Daydream Nation,Sonic Youth,188.0ø
Hey Joni,Daydream Nation,Sonic Youth,263.1ø
Eric's Trip,Daydream Nation,Sonic Youth,147.3ø
Eliminator Jr.,Daydream Nation,Sonic Youth,150.0ø
Candle,Screaming Fields Of Sonic Love,Sonic Youth,299.1ø
'Cross The Breeze,Daydream Nation,Sonic Youth,354.2ø
Ben's Song,Touch,Sarah McLachlan,294.0ø
Texas Flood,Soul To Soul/ Texas Flood/ Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble,320.7ø
Weather Bird,Best of 40's and 50's_ Vol. 76,Louis Armstrong,163.7ø
Love Walked In,Priceless Jazz: Sampler 4,Louis Armstrong,149.8ø
Heebie Jeebies,Best of 40's and 50's_ Vol. 39,Louis Armstrong,177.8ø
Prince Of Tides,Hot Water,Jimmy Buffett,334.4ø
Homemade Music,Hot Water,Jimmy Buffett,215.0ø
Spill The blood,Jackass Number Two (OST),Slayer,288.8ø
South Of Heaven,Live  Decade Of Aggression,Slayer,265.2ø
Read Between The Lies,South Of Heaven,Slayer,200.2ø
Mandatory Suicide,Live  Decade Of Aggression,Slayer,240.9ø
Ghosts Of War,South Of Heaven,Slayer,233.5ø
Dissident Aggressor,South Of Heaven,Slayer,155.2ø
Cleanse The Soul,South Of Heaven,Slayer,182.0ø
Work Hard (East End Remix),DMBX2 (Part 1),Depeche Mode,419.8ø
Now This Is Fun (Extended Version),DMBX1,Depeche Mode,282.5ø
Stay Away,The Seventh One,Toto,331.3ø
Home Of The Brave,The Essential,Toto,405.7ø
You Took The Words Right Out Of My Mouth,Storytellers,Meat Loaf,290.0ø
You're Still There (Read All About It Album Version),Read All About It,Newsboys,183.7ø
Read All About It (Read All About It Album Version),Read All About It,Newsboys,283.4ø
Listen For The Shout (Read All About It Album Version),Read All About It,Newsboys,198.0ø
Lighthouse (Read All About It Album Version),Read All About It,Newsboys,194.6ø
