A Human Certainty,Paganicons,Saccharine Trust,310.1ø
Aim In Life,The Singles Collection,The Bluebells,182.6ø
Zur Alten Dschunke,Die Letzte Rache (+Bonus),Der Plan,52.7ø
Showdown,Die Letzte Rache (+Bonus),Der Plan,66.0ø
Schauet Her!,Die Letzte Rache (+Bonus),Der Plan,34.3ø
Oder Nicht?,Die Letzte Rache (+Bonus),Der Plan,38.3ø
Miletti 1,Die Letzte Rache (+Bonus),Der Plan,35.0ø
Ich Bin Es,Die Letzte Rache (+Bonus),Der Plan,52.7ø
Donnerwetter!,Die Letzte Rache (+Bonus),Der Plan,67.6ø
Die Unterirdische Fabrik,Die Letzte Rache (+Bonus),Der Plan,51.5ø
Die Grotte Der Olme,Die Letzte Rache (+Bonus),Der Plan,58.0ø
Der Todesmonolog,Die Letzte Rache (+Bonus),Der Plan,212.2ø
Der Chor Der Gefangenen,Die Letzte Rache (+Bonus),Der Plan,80.2ø
Der Chor Der Ausgebrochenen,Die Letzte Rache (+Bonus),Der Plan,56.2ø
Der Assistenten-Song,Die Letzte Rache (+Bonus),Der Plan,42.3ø
Denn Alles War Nur Ein Trick,Die Letzte Rache (+Bonus),Der Plan,43.2ø
Das Ende,Die Letzte Rache (+Bonus),Der Plan,88.8ø
Aufbruch,Die Letzte Rache (+Bonus),Der Plan,48.5ø
Arktischer Dialog,Die Letzte Rache (+Bonus),Der Plan,82.7ø
Am Strand,Die Letzte Rache (+Bonus),Der Plan,49.4ø
Am Grab des Sohnes,Die Letzte Rache (+Bonus),Der Plan,69.3ø
10/5/60,Three Minute Warnings:  The Long Ryders Live in New York City,The Long Ryders,317.5ø
Too Much Too Young,Too Much Too Young,The Specials,365.3ø
Mr. Nobody,Tortured Tunes - Live,Major Accident,233.5ø
The Voice of the Child,Signature Series:  Michael Card,Michael Card,180.1ø
Now That I've Held Him in My Arms,The Early Works,Michael Card,205.9ø
Love Crucified Arose,The Early Works,Michael Card,179.1ø
Livin' We Must Die,Legacy,Michael Card,264.1ø
God Will Provide a Lamb,Legacy,Michael Card,177.8ø
Roll River Jordan,Give Me Power,The Itals,211.2ø
Physical Pollution,Give Me Power,The Itals,195.8ø
Me Waan Justice,Give Me Power,The Itals,252.4ø
Material Gain,Give Me Power,The Itals,238.6ø
Love Affair,Give Me Power,The Itals,189.8ø
Kill Crime,Give Me Power,The Itals,209.2ø
Jah Calling,Give Me Power,The Itals,215.6ø
In Deh,Give Me Power,The Itals,194.1ø
Give Me Power,Give Me Power,The Itals,260.4ø
Wayfarer,Wayfarer,Jan Garbarek_ Bill Frisell_ Eberhard Weber_ Michael DiPasqua,574.8ø
Spor,Wayfarer,Jan Garbarek_ Bill Frisell_ Eberhard Weber_ Michael DiPasqua,473.1ø
Singsong,Wayfarer,Jan Garbarek_ Bill Frisell_ Eberhard Weber_ Michael DiPasqua,256.4ø
Gesture,Wayfarer,Jan Garbarek_ Bill Frisell_ Eberhard Weber_ Michael DiPasqua,527.0ø
Young Tribes Of England,A Touch Of Class,The Ejected,114.4ø
What Happened In Brighton,A Touch Of Class,The Ejected,114.5ø
What Am I Gonna Do? (Oi LP Version),A Touch Of Class,The Ejected,111.7ø
The Sky's In Love,A Touch Of Class,The Ejected,100.9ø
Russians,Spirit Of Rebellion,The Ejected,149.9ø
Mr Muggins,A Touch Of Class,The Ejected,156.5ø
Man Of War,A Touch Of Class,The Ejected,146.1ø
Karnal Dub,A Touch Of Class,The Ejected,404.4ø
In The City,Spirit Of Rebellion,The Ejected,215.5ø
I'm Gonna Get A Gun,The Best Of The Ejected,The Ejected,109.3ø
Gang Warfare,A Touch Of Class,The Ejected,90.8ø
Football Song,A Touch Of Class,The Ejected,168.9ø
Fifteen,A Touch Of Class,The Ejected,99.5ø
England Ain't Dead,A Touch Of Class,The Ejected,148.5ø
East End Kids,A Touch Of Class,The Ejected,89.8ø
Dressed To Kill,A Touch Of Class,The Ejected,118.6ø
Carnival,A Touch Of Class,The Ejected,345.7ø
24 Years,Spirit Of Rebellion,The Ejected,126.4ø
Trio [An Improvisation],Steps Ahead,Steps Ahead,452.8ø
Skyward Bound,Steps Ahead,Steps Ahead,244.4ø
Northern Cross,Steps Ahead,Steps Ahead,350.2ø
Loxodrome,Steps Ahead,Steps Ahead,326.0ø
Islands,Steps Ahead,Steps Ahead,384.7ø
Both Sides Of The Coin,Steps Ahead,Steps Ahead,371.3ø
No Tengo Dinero,70's_ 80's_ 90's Party Collection Vol. 2,Righeira,204.7ø
You Are My Friend (Album Version),Emergency Third Rail Power Trip,The Rain Parade,185.9ø
What's She Done To Your Mind (Album Version),Emergency Third Rail Power Trip,The Rain Parade,176.6ø
This Can't Be Today (Album Version),Emergency Third Rail Power Trip,The Rain Parade,276.6ø
This Can't Be Today,Beyond The Sunset,Rain Parade,254.6ø
Saturday's Asylum (Album Version),Emergency Third Rail Power Trip,The Rain Parade,226.0ø
Prisoners (Album Version),Emergency Third Rail Power Trip,The Rain Parade,232.1ø
No Easy Way Down (Album Version),Emergency Third Rail Power Trip,The Rain Parade,416.2ø
Look Both Ways (Album Version),Emergency Third Rail Power Trip,The Rain Parade,190.8ø
Look At Merri (Album Version),Emergency Third Rail Power Trip,The Rain Parade,394.4ø
Kaleidoscope (Album Version),Emergency Third Rail Power Trip,The Rain Parade,335.8ø
I Look Around (Album Version),Emergency Third Rail Power Trip,The Rain Parade,187.1ø
Carolyn's Song (Album Version),Emergency Third Rail Power Trip,The Rain Parade,245.1ø
Broken Horse (Album Version),Emergency Third Rail Power Trip,The Rain Parade,222.6ø
Blue (Album Version),Emergency Third Rail Power Trip,The Rain Parade,175.6ø
1 Hour 1/2 Ago (Album Version),Emergency Third Rail Power Trip,The Rain Parade,254.7ø
Strapped In,Falling - The Best Of,Decry,69.8ø
Sorority Girls,Complete Decry 82-86,Decry,162.2ø
