Bawitdaba,2000 Grammy Nominees--Pop,Kid Rock,265.9ø
'Til I Can Make It On My Own,Tribute To Tradition,Martina McBride,190.4ø
Woman Of Dark Desires,Here'S No Peace,Marduk,268.4ø
Anno Domini 1476,Nightwing,Marduk,130.5ø
When A Man Is Wrong (Album Version),Human Being,Seal,258.6ø
Still Love Remains (Album Version),Human Being,Seal,354.8ø
State Of Grace (Album Version),Human Being,Seal,299.3ø
Princess (Album Version),Human Being,Seal,117.1ø
No Easy Way (Album Version),Human Being,Seal,288.0ø
Just Like You Said (Album Version),Human Being,Seal,254.9ø
Human Beings Reprise (Album Version),Human Being,Seal,201.1ø
Wit' Yo' Bad Self,Tim's Bio,Timbaland & Magoo,249.3ø
What Cha Know About This,Tim's Bio,Timbaland & Magoo,271.2ø
To My,Tim's Bio,Timbaland & Magoo,224.5ø
Talking On The Phone,Tim's Bio,Timbaland & Magoo,304.9ø
Put 'Em On,Tim's Bio,Timbaland & Magoo,279.8ø
Lobster & Scrimp,Tim's Bio,Timbaland & Magoo,293.8ø
John Blaze,Tim's Bio,Timbaland & Magoo,240.0ø
Bringin' It,Tim's Bio,Timbaland & Magoo,195.8ø
Birthday,Tim's Bio,Timbaland & Magoo,280.9ø
Latest Craze (Album Version),Human Being,Seal,267.8ø
Light Your World,The Very Best of Newsong,Newsong,306.6ø
Mutual Friend,Where Quantity Is Job No.1,Propagandhi,45.8ø
Hallie Does Hebron,Where Quantity Is Job No.1,Propagandhi,211.2ø
Fine Day,Where Quantity Is Job No.1,Propagandhi,173.5ø
Degrassi Junior High Drop-Outs,Where Quantity Is Job No.1,Propagandhi,96.9ø
Scott Farcas Takes It On The Chin,Hello Rockview,Less Than Jake,154.5ø
All My Best Friends Are Metalheads,Hello Rockview,Less Than Jake,211.5ø
Scooby Doo,Dress to Kill,Eddie Izzard,147.7ø
Puberty,Dress to Kill,Eddie Izzard,367.2ø
President Kennedy,Dress to Kill,Eddie Izzard,231.9ø
Male Tomboy,Dress to Kill,Eddie Izzard,385.8ø
European Union,Dress to Kill,Eddie Izzard,131.8ø
Slay The Nazarene,Warschau,Marduk,217.8ø
Of Hells Fire,Nightwing,Marduk,321.5ø
Nightwing,Nightwing,Marduk,453.6ø
Dreams Of Blood And Iron,Nightwing,Marduk,379.7ø
