One Piece At A Time,Playlist: The Very Best Of Johnny Cash,Johnny Cash,240.4ø
Memory Motel (1994 Digital Remaster),Black And Blue,The Rolling Stones,429.3ø
Tri-Dandin,Dhammapada,John Mayer,330.1ø
Sannyasin,Dhammapada,John Mayer,38.3ø
Chakka,Dhammapada,John Mayer,108.3ø
Memory Motel,Black And Blue,The Rolling Stones,426.7ø
Hot Stuff,Love You Live,The Rolling Stones,274.2ø
She Makes Me (Feel Alright),Look Into The Future,Journey,191.2ø
Bitter They Are_ Harder They Fall,Moody Blue,Elvis Presley,197.7ø
Tie Your Mother Down,Queen Rocks,Queen,225.0ø
Teo Torriatte (Let Us Cling Together) (1993 Digital Remaster),A Day At The Races,Queen,352.5ø
On A Saturday Nite,Look Into The Future,Journey,238.8ø
