Sve Ove Godine,NAJVECI KONCERT U GRADU,Indexi,223.5ø
Stand Back,The Gregg Allman Tour,Gregg Allman,214.6ø
Oncoming Traffic,The Gregg Allman Tour,Gregg Allman,358.2ø
Dreams,The Gregg Allman Tour,Gregg Allman,451.2ø
Double Cross,The Gregg Allman Tour,Gregg Allman,283.1ø
Share A Little Love In Your Heart,In Heat,Love Unlimited,353.1ø
Oh I Should Say_ It's Such A Beautiful Day,In Heat,Love Unlimited,210.7ø
Move Me No Mountain,In Heat,Love Unlimited,235.3ø
I Needed Love - You Were There,In Heat,Love Unlimited,227.7ø
I Love You So_ Never Gonna Let You Go,In Heat,Love Unlimited,200.3ø
I Belong To You,Unlimited,Love Unlimited,216.7ø
