Albert's Shuffle,Super Session,Mike Bloomfield & Al Kooper,413.8ø
Ungawa,Ali Baba,Louie Ramirez,189.2ø
It's Not What You Say,Ali Baba,Louie Ramirez,174.1ø
Chachita,Ali Baba,Louie Ramirez,227.7ø
Yambu,Ali Baba,Louie Ramirez,263.9ø
What Can I do,Ali Baba,Louie Ramirez,195.8ø
I Dig Rhythm,Ali Baba,Louie Ramirez,231.5ø
El Titere,Ali Baba,Louie Ramirez,157.9ø
Cooking With Ali,Ali Baba,Louie Ramirez,247.5ø
Ali Baba,Ali Baba,Louie Ramirez,253.3ø
Don't Change Your Love,The First Family of Soul: The Best of The Five Stairsteps,The Five Stairsteps & Cubie,168.5ø
