Four O'Clock Blues,Gotham Record Sessions,Sonny Terry,186.3ø
Peaceful,Like a Seed,Kenny Rankin,188.8ø
A Lover's Concerto,Top Of The Pops - Love,The Toys,157.5ø
The Visit (She Was Here),Red Rubber Ball (A Collection),The Cyrkle,140.6ø
Please Don't Ever Leave Me,Red Rubber Ball (A Collection),The Cyrkle,120.5ø
Our Love Affair's In Question,Red Rubber Ball (A Collection),The Cyrkle,145.0ø
I Wish You Could Be Here,Red Rubber Ball (A Collection),The Cyrkle,171.3ø
Sweet Inspiration,In The Right Place,The Sweet Inspirations,254.5ø
Oh! What A Fool I've Been (LP Version),The Sweet Inspirations,The Sweet Inspirations,158.2ø
Here I Am (Take Me) (LP Version),The Sweet Inspirations,The Sweet Inspirations,185.9ø
Don't Let Me Lose This Dream (LP Version),The Sweet Inspirations,The Sweet Inspirations,143.2ø
Blues Stay Away From Me (LP Version),The Sweet Inspirations,The Sweet Inspirations,205.0ø
Wild Child  (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,193.0ø
Walk On By  (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,161.0ø
Takin' All I Can Get,Rev Up Best Of Mitch Ryder & Detroit Wheels,Mitch Ryder & The Detroit Wheels,201.0ø
Slow Fizz (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,206.5ø
Shakedown (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,170.0ø
I'd Rather Go To Jail,Rev Up Best Of Mitch Ryder & Detroit Wheels,Mitch Ryder & The Detroit Wheels,189.4ø
I Never Had It Better (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,326.0ø
I Never Had It Better,Rev Up Best Of Mitch Ryder & Detroit Wheels,Mitch Ryder & The Detroit Wheels,245.7ø
I Can't Hide It (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,157.0ø
A Face In The Crowd (LP Version),Sock It To Me!,Mitch Ryder & The Detroit Wheels,173.0ø
Handbags And Gladrags,The Voice [Original Recording Remastered],Chris Farlowe,292.7ø
Single Girl,25 More Rock 'N' Roll Tearjerkers,Sandy Posey,162.0ø
Caravan,Music For Mad Men - Swingin' Jazz,Gordon Jenkins,133.4ø
Battle Royal,Music For Mad Men - Swingin' Jazz,Gordon Jenkins,162.9ø
Let The Heartaches Begin,Let The Heartaches Begin,Long John Baldry,192.8ø
Sweet Home Chicago,Next Time You See Me,Junior Parker,150.4ø
Western Union,60's Rock Bands - Wild Thing,The Five Americans,141.1ø
Vacuum Cleaner,The Psychedelic Scene,Tintern Abbey,184.5ø
You Got Me Hurtin' All Over,Tamla Motown Connoisseurs 2,Barbara Randolph,153.9ø
I Got A Feeling,The Very Best Of Barbara Randolph,Barbara Randolph,433.1ø
The Sound Of Music (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,83.2ø
The Intro And The Outro (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,183.5ø
The Intro And The Outro,The Bonzo Dog Band - The Intro,The Bonzo Dog Doo Dah Band,181.9ø
The Equestrian Statue (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,164.7ø
Piggy Bank Love (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,182.9ø
On Her Doorstep Last Night (2007 Digital Remaster),Gorilla,The Bonzo Dog Band,129.5ø
Music For The Head Ballet (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,104.4ø
Mickey's Son And Daughter,Cornology,The Bonzo Dog Doo Dah Band,162.2ø
Jollity Farm (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,147.5ø
Jollity Farm,The Bestiality Of Bonzo Dog Band,The Bonzo Dog Doo Dah Band,149.1ø
Jazz_ Delicious Hot_ Disgusting Cold (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,189.3ø
I'm Gonna Bring A Watermelon To My Girl Tonight (2007 Digital Remaster),Gorilla,The Bonzo Dog Band,121.6ø
I'm Bored (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,185.4ø
Death Cab For Cutie (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,174.2ø
Cool Britannia (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,57.4ø
Button Up Your Overcoat (2007 Digital Remaster),Gorilla,The Bonzo Dog Band,173.7ø
Big Shot,Cornology,The Bonzo Dog Doo Dah Band,207.5ø
Alley Oop (2007 Digital Remaster),Gorilla,The Bonzo Dog Band,149.3ø
(I Left My Heart) In San Francisco (2007 Digital Remaster),Gorilla,The Bonzo Dog Doo Dah Band,62.0ø
Tema De Abertura (Garota De Ipanema),"Trilha Sonora Do Filme ""Garota De Ipanema",Orquestra,207.1ø
