You Were Made For Me,The Very Best Of,Freddie & The Dreamers,139.5ø
Goin' Out Of My Head,25 Greatest Hits,Little Anthony & The Imperials,148.1ø
The Jeep Is Jumpin',Everybody Knows,Johnny Hodges,162.7ø
A Flower Is A Lovesome Thing,Everybody Knows,Johnny Hodges,184.2ø
One Of Those Songs,One Of Those Songs,Jimmy Durante,177.3ø
Daddy (Your Mama Is Lonesome For You),One Of Those Songs,Jimmy Durante,106.4ø
Bill Bailey (Won't You Please Come Home),One Of Those Songs,Jimmy Durante,155.6ø
Mad,Dave Dudley - His Very Best,Dave Dudley,158.8ø
Southern Comfort,Talkin Verve: Shirley Scott,Shirley Scott,344.5ø
Make Someone Happy,Talkin Verve: Shirley Scott,Shirley Scott,386.1ø
What's That I Hear,All The News That's Fit To Sing,Phil Ochs,123.1ø
The Thresher (LP Version),All The News That's Fit To Sing,Phil Ochs,172.0ø
The Bells (LP Version),All The News That's Fit To Sing,Phil Ochs,189.0ø
Talking Vietnam Blues (LP Version),All The News That's Fit To Sing,Phil Ochs,216.3ø
Talking Cuban Crisis (LP Version),All The News That's Fit To Sing,Phil Ochs,163.1ø
Lou Marsh (LP Version),All The News That's Fit To Sing,Phil Ochs,247.0ø
Celia (LP Version),All The News That's Fit To Sing,Phil Ochs,191.9ø
Bullets Of Mexico (Unreleased LP Version),All The News That's Fit To Sing,Phil Ochs,167.3ø
Ballad Of William Worthy (LP Version),All The News That's Fit To Sing,Phil Ochs,131.0ø
The Coon Hunt,The Guitar And Banjo Of Reverend Gary Davis,Rev. Gary Davis,210.2ø
Please Baby,The Guitar And Banjo Of Reverend Gary Davis,Rev. Gary Davis,195.6ø
Mister Jim (Walkin' Dog Blues),The Guitar And Banjo Of Reverend Gary Davis,Rev. Gary Davis,253.2ø
Maple Leaf Rag,The Guitar And Banjo Of Reverend Gary Davis,Rev. Gary Davis,175.8ø
September In The Rain,Vintage Mantovani,Mantovani,195.4ø
As Time Goes By,The Magic Of Mantovani,Mantovani & His Orchestra | Mantovani,215.5ø
Stairway To The Stars,Hartman For Lovers,Johnny Hartman,184.0ø
Sleepin' Bee,I Just Dropped By To Say Hello,Johnny Hartman,132.4ø
Our Time,I Just Dropped By To Say Hello,Johnny Hartman,177.3ø
Kiss & Run,I Just Dropped By To Say Hello,Johnny Hartman,212.6ø
If I'm Lucky,I Just Dropped By To Say Hello,Johnny Hartman,170.4ø
I Just Dropped By To Say Hello,Hartman For Lovers,Johnny Hartman,243.1ø
How Sweet It Is To Be In Love,I Just Dropped By To Say Hello,Johnny Hartman,140.7ø
Don't You Know I Care (Or Don't You Care I Know),I Just Dropped By To Say Hello,Johnny Hartman,250.9ø
Don't Call It Love,I Just Dropped By To Say Hello,Johnny Hartman,125.7ø
Charade,I Just Dropped By To Say Hello,Johnny Hartman,157.6ø
Sleigh Ride,It's Christmas,Leroy Anderson & His Orchestra,170.7ø
Serenata,Blue Tango,Leroy Anderson,204.6ø
Jazz Pizzicato,The Typewriter,Leroy Anderson,106.4ø
Fiddle-Faddle,Blue Tango,Leroy Anderson,191.7ø
Blue Tango,The Fabulous Fifties Vol 4,Leroy Anderson & His'pops Concerts' Orchestra,179.0ø
Belle Of The Ball,The Typewriter,Leroy Anderson,152.5ø
Don't Blame Me,The Essential Collection,Frank Ifield,135.2ø
Come A Little Bit Closer,Come A Little Bit Closer,Jay & The Americans,166.7ø
They Remind Me Of You,EMI Legends Rock 'n' Roll Seris - The Definitive Collection,Billy J Kramer & The Dakotas,142.2ø
Little Children,EMI Legends Rock 'n' Roll Seris - The Definitive Collection,Billy J Kramer & The Dakotas,165.7ø
From A Window,The Best Of Billy J Kramer,Billy J Kramer & The Dakotas,119.2ø
House Of The Rising Sun,On Air,Dave Van Ronk,505.8ø
God Bless The Child,On Air,Dave Van Ronk,403.9ø
Yesterday's Gone,A Summer Song / Yesterday's Gone,Chad & Jeremy,152.5ø
Willow Weep For Me,Sing For You,Chad & Jeremy,151.5ø
Too Soon My Love,If She Was Mine,Chad & Jeremy,146.9ø
The Truth Often Hurts The Heart,Too Soon My Love,Chad & Jeremy,168.8ø
Now And Forever,If You've Got A Heart,Chad & Jeremy,106.7ø
Like I Love You Today,Too Soon My Love,Chad & Jeremy,159.0ø
If She Was Mine,Yesterday's Gone,Chad & Jeremy,122.1ø
Donna_ Donna,Yesterday's Gone,Chad & Jeremy,179.0ø
Dirty Old Town,Sing For You,Chad & Jeremy,183.8ø
A Summer Song,I Love The 60's - 1964,Chad & Jeremy,153.8ø
Diane,Christmas & Love In The Holidays,The Bachelors,156.7ø
