Cough/Cool,Collection 2,The Misfits,136.6ø
Faget,Korn,Korn,351.3ø
Ball Tongue,Korn,Korn,269.4ø
Thisisme,thisisme then: the best of common,Common,295.0ø
Book Of Life,thisisme then: the best of common,Common,306.9ø
Young Nation,Age Ain't Nothing But A Number,Aaliyah,279.7ø
Throw Your Hands Up,Age Ain't Nothing But A Number,Aaliyah,213.0ø
The Thing I Like,Age Ain't Nothing But A Number,Aaliyah,203.4ø
Street Thing,Age Ain't Nothing But A Number,Aaliyah,298.6ø
Old School,Age Ain't Nothing But A Number,Aaliyah,195.0ø
No One Knows How To Love Me Quite Like You Do,Age Ain't Nothing But A Number,Aaliyah,247.5ø
Intro,Age Ain't Nothing But A Number,Aaliyah,78.6ø
I'm So Into You,Age Ain't Nothing But A Number,Aaliyah,204.4ø
I'm Down,Age Ain't Nothing But A Number,Aaliyah,196.0ø
Down With The Clique,Age Ain't Nothing But A Number,Aaliyah,204.3ø
Back & Forth,Age Ain't Nothing But A Number,Aaliyah,223.8ø
Age Ain't Nothing But A Number,20 R&B GEMS,Aaliyah,254.1ø
I Dedicate [Part II],Brandy,Brandy,55.4ø
I Dedicate [Part I],Brandy,Brandy,89.1ø
Brokenhearted,Legacy,Brandy | Wanya Morris,269.9ø
Sunny Day,Brandy,Brandy,269.7ø
Movin' On,Brandy,Brandy,267.7ø
I'm Yours,Brandy,Brandy,242.2ø
I Dedicate [Part III],Brandy,Brandy,61.9ø
Give Me You,Brandy,Brandy,266.0ø
As Long As You're Here,Brandy,Brandy,285.7ø
Always On My Mind,Brandy,Brandy,246.3ø
