The Idea,Dirk Wears White Sox (Remastered),Adam & The Ants,205.5ø
Johnny,En Sang Fra Vest,Jan Eggum,154.4ø
Jeg Lover Deg,En Natt Forbi,Jan Eggum,310.0ø
En Sang Fra Vest,En Natt Forbi,Jan Eggum,302.9ø
En Natt Forbi,30/ 30 [2 Cd],Jan Eggum,204.9ø
Damen I Hvitt,En Sang Fra Vest,Jan Eggum,193.3ø
Sunrise,Collection,Joe Sample,322.6ø
TV (1999 Digital Remaster),En Dags Pause,Jahn Teigen,214.5ø
To Mennesker Alene (1999 Digital Remaster),En Dags Pause,Jahn Teigen,230.4ø
Lengter Hjem (1999 Digital Remaster),En Dags Pause,Jahn Teigen,133.5ø
En Dags Pause (1991 Digital Remaster),En Dags Pause,Jahn Teigen,134.5ø
Radio,Hit Story,Dolly Dots,190.2ø
(They Are) Rollerskating,Hit Story,Dolly Dots,194.1ø
(Tell It All About) Boys,Hit Story,Dolly Dots,190.3ø
Young Girl,Chen Bai Jiang Ji Nian Quan Ji Vol. 1 : Chu Lian,Danny Chan,213.9ø
Holiday,Chen Bai Jiang Ji Nian Quan Ji Vol. 1 : Chu Lian,Danny Chan,266.7ø
Just When I Needed You Most,Kings & Queens Of Country,Randy Van Warmer,213.4ø
Scratching On My Screen,Keb Darge And Cut Chemist Present - Lost And Found: Rockabilly_ Jump and Blues,Ric Cartey,151.9ø
Almost Black Part 1,Off White,James White And The Blacks,199.3ø
(Tropical) Heat Wave,Off White,James White And The Blacks,234.8ø
Perdido,Forever My Love,Bert Kaempfert And His Orchestra,172.2ø
You Can't Be Too Strong,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,197.6ø
Saturday Nite Is Dead,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,197.8ø
Mercury Poisoning,The Vertigo Singles Collection,Graham Parker & The Rumour,189.1ø
Love Gets You Twisted,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,180.0ø
Discovering Japan,The Vertigo Singles Collection,Graham Parker & The Rumour,205.5ø
We R,Hibernation,Chrisma,228.5ø
So You Don't,Hibernation,Chrisma,255.4ø
Rush '79,Hibernation,Chrisma,268.3ø
Lover,Many Kisses E Altri Successi,Chrisma,204.4ø
Hibernated Nazi,Hibernation,Chrisma,229.7ø
Gott Gott Electron,Hibernation,Chrisma,234.2ø
Calling,Hibernation,Chrisma,293.5ø
Aurora B,Hibernation,Chrisma,307.2ø
