Forever Love,Moments & Memories: The Best Of Reba,Reba McEntire,232.3ø
You've Got Me Crying Again,Pretty Baby,Dean Martin,171.7ø
Sleepy Time Gal,This Time I'm Swingin'/Pretty Baby,Dean Martin,155.9ø
Once In A While,This Time I'm Swingin'/Pretty Baby,Dean Martin,172.9ø
Oh Marie!,100 Hits Legends - Dean Martin,Dean Martin,143.1ø
Nevertheless (I'm In Love With You),This Time I'm Swingin'/Pretty Baby,Dean Martin,169.9ø
This Is My Promise,Playlist Plus,The Temptations,439.8ø
Take Me In Your Arms,Phoenix Rising,The Temptations,238.1ø
Stay,Playlist Plus,The Temptations,285.9ø
My Love,Phoenix Rising,The Temptations,260.3ø
How Could He Hurt You,Phoenix Rising,The Temptations,292.3ø
The Words Don't Fit The Picture,Words Don't Fit The Picture,Willie Nelson,169.1ø
The Maker,Teatro,Willie Nelson,308.7ø
The Last Thing I Needed First Thing This Morning,Willie Nelson - 16 Biggest Hits,Willie Nelson,260.5ø
London,Words Don't Fit The Picture,Willie Nelson,177.3ø
Laying My Burdens Down,Laying My Burdens Down,Willie Nelson,158.2ø
If You Could See What's Going Through My Mind,RCA Country Legends,Willie Nelson,175.4ø
The Tricche Tracche (The Tree-Kay Trah-Kay),The Best Of The Rat Pack,Dean Martin,128.8ø
On An Evening In Roma (Sott'er Celo De Roma),Capitol Collectors Series,Dean Martin,164.6ø
The Apologist ( LP Version ),Up,R.E.M.,269.3ø
Sad Professor (Live In Studio Version),Daysleeper,R.E.M.,241.4ø
Lotus ( LP Version ),Up,R.E.M.,273.9ø
When We Live Again,Laying My Burdens Down,Willie Nelson,135.5ø
That's All,My Own Peculiar Way,Willie Nelson,148.4ø
One In A Row,Countryman,Willie Nelson,213.2ø
Blackjack County Chain,Platinum & Gold Collection,Willie Nelson,120.3ø
Time,Live In San Francisco,Joe Satriani,490.0ø
Raspberry Jam Delta-V,CRYSTAL PLANET,Joe Satriani,321.9ø
Lights Of Heaven,Original Album Classics,Joe Satriani,263.9ø
House Full Of Bullets,Live In San Francisco,Joe Satriani,415.5ø
A Train Of Angels,CRYSTAL PLANET,Joe Satriani,222.6ø
With Jupiter In Mind,Original Album Classics,Joe Satriani,346.9ø
Trundrumbalind,Original Album Classics,Joe Satriani,313.5ø
Love Thing,The Electric Joe Satriani: An Anthology,Joe Satriani,229.6ø
The Preacher Won't Have To Lie,Some Things I Know,Lee Ann Womack,260.9ø
The Man Who Made My Mama Cry,Some Things I Know,Lee Ann Womack,244.7ø
If You're Ever Down In Dallas,Some Things I Know,Lee Ann Womack,153.3ø
A Little Past Little Rock,Some Things I Know,Lee Ann Womack,256.4ø
(Now You See Me) Now You Don't,Some Things I Know,Lee Ann Womack,158.9ø
When Jesus Comes Calling For Me,The Collection,Dolly Parton,166.2ø
Blue Valley Songbird,The Collection,Dolly Parton,257.9ø
Rain Down,Remedy,David Crowder*Band,324.5ø
The Salt In My Tears,The Collection,Dolly Parton,229.8ø
I Still Lost You,The Collection,Dolly Parton,213.5ø
Years Go By,Destiny,STRATOVARIUS,314.4ø
Playing With Fire,Destiny,STRATOVARIUS,253.8ø
Cold Winter Nights,Intermission,STRATOVARIUS,314.0ø
Anthem Of The World,Destiny,STRATOVARIUS,571.7ø
White Chocolate Space Egg,Whitechocolatespaceegg,Liz Phair,275.6ø
What Makes You Happy,Whitechocolatespaceegg,Liz Phair,216.8ø
Uncle Alvarez,Whitechocolatespaceegg,Liz Phair,232.7ø
Shitloads Of Money (Explicit),Whitechocolatespaceegg,Liz Phair,220.0ø
Ride,Whitechocolatespaceegg,Liz Phair,184.1ø
Polyester Bride,Whitechocolatespaceegg,Liz Phair,245.5ø
Perfect World,Whitechocolatespaceegg,Liz Phair,135.4ø
Only Son,Whitechocolatespaceegg,Liz Phair,309.0ø
Love Is Nothing,Whitechocolatespaceegg,Liz Phair,136.8ø
Johnny Feelgood (Explicit),Whitechocolatespaceegg,Liz Phair,202.3ø
Headache,Whitechocolatespaceegg,Liz Phair,173.2ø
Go On Ahead,Whitechocolatespaceegg,Liz Phair,173.4ø
Girls' Room,Whitechocolatespaceegg,Liz Phair,106.8ø
Fantasize,Whitechocolatespaceegg,Liz Phair,115.8ø
Big Tall Man,Whitechocolatespaceegg,Liz Phair,229.5ø
Baby Got Going,Whitechocolatespaceegg,Liz Phair,122.9ø
Towards dead end,Hatebreeder,Children Of Bodom,293.9ø
The Nail,Something Wild,Children Of Bodom,377.4ø
Red Light In My Eyes Part 1,Something Wild,Children Of Bodom,268.3ø
Dopis z Borodina,25 Nejvetsich hitu,Kamelot,230.6ø
The Virginborn,Destroyer / Incipit satan,GORGOROTH,495.1ø
Slottet i det fjerne,Destroyer,GORGOROTH,221.1ø
Open The Gates,Destroyer / Incipit satan,GORGOROTH,329.5ø
Destroyer,Destroyer,GORGOROTH,229.4ø
Blodoffer,Destroyer / Incipit satan,GORGOROTH,199.4ø
Year To The Day (Album Version),Van Halen III,Van Halen,514.5ø
Once (Album Version),Van Halen III,Van Halen,462.7ø
Dirty Water Dog (Album Version),Van Halen III,Van Halen,327.3ø
When It Hurts So Bad,The Miseducation Of,Lauryn Hill,342.3ø
To Zion,The Miseducation of Lauryn Hill,Lauryn Hill Featuring Carlos Santana,369.3ø
The Miseducation Of Lauryn Hill,The Miseducation of Lauryn Hill,Lauryn Hill,235.5ø
Tell Him,The Miseducation Of,Lauryn Hill,280.8ø
Superstar,The Miseducation Of,Lauryn Hill,297.2ø
Nothing Even Matters,The Miseducation of Lauryn Hill,Lauryn Hill Featuring D'Angelo,350.5ø
Lost Ones,The Miseducation of Lauryn Hill,Lauryn Hill,333.9ø
Intro,MTV Unplugged No. 2.0,Lauryn Hill,150.6ø
I Used To Love Him,The Miseducation of Lauryn Hill,Lauryn Hill Featuring Mary J. Blige,339.9ø
Forgive Them Father,The Miseducation of Lauryn Hill,Lauryn Hill,315.3ø
Final Hour,The Miseducation of Lauryn Hill,Lauryn Hill,256.0ø
Ex-Factor,The Miseducation of Lauryn Hill,Lauryn Hill,326.5ø
Everything Is Everything,The Miseducation Of,Lauryn Hill,293.3ø
Can't Take My Eyes Off Of You,The Miseducation of Lauryn Hill,Lauryn Hill,221.5ø
Without You (Album Version),Van Halen III,Van Halen,390.1ø
Primary (Instrumental)(Album Version),Van Halen III,Van Halen,87.0ø
One I Want (Album Version),Van Halen III,Van Halen,330.8ø
Neworld (Instrumental)(Album Version),Van Halen III,Van Halen,105.6ø
Josephina (Album Version),Van Halen III,Van Halen,342.4ø
How Many Say I (Album Version),Van Halen III,Van Halen,364.0ø
From Afar (Album Version),Van Halen III,Van Halen,324.2ø
