Please Don't Bend,Black And Dekker,Desmond Dekker,198.1ø
Valentine Heart,Ancient Heart,Tanita Tikaram,246.3ø
Haunted Nights,Duke Ellington At The Cotton Club,Duke Ellington & His Orchestra,195.2ø
Kun joulu on,Kuusessa ollaan,Juice Leskinen Slam,84.4ø
Kulkuset,Kuusessa ollaan,Juice Leskinen Slam,199.4ø
Joulu yksin,Kuusessa ollaan,Juice Leskinen Slam,312.5ø
Gloria (in excelsis deo),Kuusessa ollaan,Juice Leskinen Slam,165.0ø
En etsi valtaa_ loistoa,Kuusessa ollaan,Juice Leskinen Slam,143.9ø
We Believe In Love,Hit Story,Dolly Dots,214.7ø
Dreammachine,Hit Story,Dolly Dots,247.5ø
Olen kaunis,Stoori vuodet 78-82,Pelle Miljoona Oy,166.6ø
Juokse villi lapsi,Stoori vuodet 78-82,Pelle Miljoona Oy,273.7ø
Zlatni papagaj,Elektricni orgazam- New wave,Elektricni orgazam,202.0ø
Vi,Elektricni orgazam- New wave,Elektricni orgazam,166.3ø
Krokodili dolaze,The Ultimate Collection,Elektricni orgazam,187.3ø
