Desperate Dan,The Greatest Hits,Lieutenant Pigeon,169.1ø
A Meditation Mass Part 4,A Meditation Mass,Yatha Sidhra,436.9ø
A Meditation Mass Part 2,A Meditation Mass,Yatha Sidhra,179.7ø
Trip Wire,Blow Up Presents Exclusive Blend Volume 2,N. Ingman,173.5ø
Down Home,Bite Harder: The Music De Wolfe Studio Sampler_ Vol. 2,Nick Ingman,179.4ø
Who Is He And What Is He To You,True Funk [3 CD Set],Creative Source,210.6ø
Willpower (Album Version),Sweet Charlie Babe,Jackie Moore,176.5ø
Willpower,Precious_ Precious [Digital 45],Jackie Moore,175.3ø
Time (Album Version),Sweet Charlie Babe,Jackie Moore,208.9ø
Sweet Charlie Babe (Album Version),Sweet Charlie Babe,Jackie Moore,157.0ø
Something in a Look (Album Version),Sweet Charlie Babe,Jackie Moore,190.4ø
Precious_ Precious (Album Version),Sweet Charlie Babe,Jackie Moore,205.0ø
If (Album Version),Sweet Charlie Babe,Jackie Moore,212.0ø
Darling Baby (Darling Baby),Sweet Charlie Babe,Jackie Moore,160.9ø
Cover Me (Album Version),Sweet Charlie Babe,Jackie Moore,163.6ø
Cover Me,Time / Cover Me [Digital 45],Jackie Moore,164.1ø
Clean Up Your Own Yard (Album Version),Sweet Charlie Babe,Jackie Moore,257.3ø
Both Ends Against the Middle (Album Version),Sweet Charlie Babe,Jackie Moore,152.0ø
Your Memories Comin' On,Satin Sheets,Jeanne Pruett,156.0ø
What My Thoughts Do All The Time,Satin Sheets,Jeanne Pruett,160.1ø
Walking Piece Of Heaven,Satin Sheets,Jeanne Pruett,123.1ø
Satin Sheets,True Country,Jeanne Pruett,194.8ø
I Forgot More (Than You'll Ever Know About Him),Satin Sheets,Jeanne Pruett,146.9ø
Hold To My Unchanging Love,Satin Sheets,Jeanne Pruett,107.8ø
Darling,Satin Sheets,Jeanne Pruett,134.9ø
Break My Mind,Satin Sheets,Jeanne Pruett,126.0ø
Wait A Lifetime (LP Version),Bite Down Hard,Jo Jo Gunne,209.0ø
Turn The Boy Loose (LP Version),Jumpin' The Gunne,Jo Jo Gunne,268.5ø
To The Island (LP Version),Jumpin' The Gunne,Jo Jo Gunne,228.6ø
Take Me Down Easy (LP Version),Bite Down Hard,Jo Jo Gunne,323.8ø
Special Situations (LP Version),Bite Down Hard,Jo Jo Gunne,285.4ø
Roll Over Me (LP Version),Bite Down Hard,Jo Jo Gunne,208.5ø
Rock Around The Symbol (LP Version),Bite Down Hard,Jo Jo Gunne,144.0ø
Rhoda (LP Version),Bite Down Hard,Jo Jo Gunne,285.0ø
Red Meat (LP Version),Jumpin' The Gunne,Jo Jo Gunne,207.3ø
Ready Freddy (LP Version),Bite Down Hard,Jo Jo Gunne,241.4ø
