Lasken mun katseen,Pommi 3 - Perhealbumi,GBRL,206.6ø
When I Look Into My Eyes (Album Version),An Absence of Empathy,Frameshift,312.7ø
What Kind of Animal (Album Version),An Absence of Empathy,Frameshift,356.9ø
This Is Gonna Hurt (Album Version),An Absence of Empathy,Frameshift,274.5ø
Push The Button (Album Version),An Absence of Empathy,Frameshift,369.7ø
Outcast (Album Version),An Absence of Empathy,Frameshift,332.2ø
Miseducation (Album Version),An Absence of Empathy,Frameshift,341.6ø
Just One More (Album Version),An Absence of Empathy,Frameshift,349.5ø
In An Empty Room (Album Version),An Absence of Empathy,Frameshift,351.7ø
I Killed You (Album Version),An Absence of Empathy,Frameshift,541.3ø
Human Grain (Album Version),An Absence of Empathy,Frameshift,281.1ø
How Long Can I Resist (Album Version),An Absence of Empathy,Frameshift,365.3ø
Blade (Album Version),An Absence of Empathy,Frameshift,563.0ø
Bavaroise,Le meilleur,Malavoi,248.0ø
Contas novas,Electro Lounge Journey - Vol 1,Panaphonic,324.0ø
Twinkle Wrinkle,En Aldeles Forferdelig Sykdom,Spunk,280.8ø
Sans,En Aldeles Forferdelig Sykdom,Spunk,176.5ø
Marbles,En Aldeles Forferdelig Sykdom,Spunk,139.2ø
Lunleik,En Aldeles Forferdelig Sykdom,Spunk,391.0ø
Kameleon,En Aldeles Forferdelig Sykdom,Spunk,509.2ø
Dead Man Watching,En Aldeles Forferdelig Sykdom,Spunk,326.7ø
Un fiume amaro,Come ti vorrei&,Iva Zanicchi,325.0ø
Without Us?,Trouble In Rio,TEN MADISON,397.1ø
Walker,Trouble In Rio,TEN MADISON,430.5ø
Tsunami,Trouble In Rio,TEN MADISON,343.5ø
Trouble In Rio,Trouble In Rio,TEN MADISON,442.0ø
The Inner Space,Trouble In Rio,TEN MADISON,389.3ø
The Dark Chamber,Trouble In Rio,TEN MADISON,385.9ø
Something Out There,Trouble In Rio,TEN MADISON,383.8ø
Mashines,Trouble In Rio,TEN MADISON,395.4ø
Bionic,Trouble In Rio,TEN MADISON,393.1ø
Beyond The Fire,Trouble In Rio,TEN MADISON,385.8ø
Dance Of Celebration,Solar World,Simon Cooper,228.2ø
Itsy Bity Pity Love,The Complete Motown Singles_ Volume 1: 1959-1961,Debbie Dean,167.3ø
I Cried All Night,The Complete Motown Singles_ Volume 2: 1962,Debbie Dean,149.9ø
Everybody's Talking About My Baby,The Complete Motown Singles_ Volume 2: 1962,Debbie Dean,142.3ø
Don't Let Him Shop Around,The Complete Motown Singles_ Volume 1: 1959-1961,Debbie Dean,164.6ø
But I'm Afraid,The Complete Motown Singles_ Volume 1: 1959-1961,Debbie Dean,171.3ø
Baby Baby I'm In Love Again,Cellar Full Of Motown Volume 2,Debbie Dean,146.3ø
A New Girl,The Complete Motown Singles_ Volume 1: 1959-1961,Debbie Dean,145.6ø
When You Cry,Country Hits Vol. 4,Hank Penny,160.1ø
Talkin' 'Bout You,Country Hits Vol. 5,Hank Penny,153.2ø
Steel Guitar Stomp,The Wild Side Of Life,Hank Penny,167.4ø
Penny Blows His Top,Texas Swing - Country,Hank Penny,177.1ø
Now Ain't You Glad Dear,Country Hits Vol. 5,Hank Penny,166.8ø
I'm Counting The Days,Country Hits Vol. 5,Hank Penny,157.9ø
Hillbilly Jump,Country Hits Vol. 7,Hank Penny,154.6ø
Get Yourself A Red Head,Country Hits Vol. 6,Hank Penny,161.3ø
Flamin' Mamie,Country_ Honky Tonk and Hillbilly Classic,Hank Penny,159.0ø
Bloodshot Eyes,Bloodshot Eyes,Hank Penny,156.6ø
Big Fat Papa,Country Hits Vol. 7,Hank Penny,176.0ø
The World Of Mushroom Gardens,Snakes In A Hole,Made In Sweden,376.6ø
Snakes in a Hole,Snakes In A Hole,Made In Sweden,278.6ø
Roundabout (Live from Gyllene Cirkeln),Snakes In A Hole,Made In Sweden,376.8ø
Ramses the 3rd (Live from Gyllene Cirkeln),Snakes In A Hole,Made In Sweden,290.0ø
Lay Lady Lay,Snakes In A Hole,Made In Sweden,282.8ø
Give Me Whiskey,Snakes In A Hole,Made In Sweden,262.4ø
Discotheque People,Snakes In A Hole,Made In Sweden,368.0ø
Big Cloud,Snakes In A Hole,Made In Sweden,180.4ø
Clear Space,Lo Compilation Mix By Susumu Yokota,Susumu Yokota & Rothko,295.5ø
Wild Romance,Triumph Of Flesh,Dakar & Grinser,307.4ø
Triumph Of Flesh,Triumph Of Flesh,Dakar & Grinser,263.0ø
Sick At Heart,Triumph Of Flesh,Dakar & Grinser,301.1ø
Queen Of Bang,Triumph Of Flesh,Dakar & Grinser,384.1ø
Making A Slip,Making A Slip,Dakar & Grinser,340.5ø
Dreams_ Drugs_ Nightmares,Triumph Of Flesh,Dakar & Grinser,346.3ø
Come And Get Me,Triumph Of Flesh,Dakar & Grinser,351.9ø
Betting On The Muse,Triumph Of Flesh,Dakar & Grinser,255.8ø
Better Times,Triumph Of Flesh,Dakar & Grinser,255.1ø
25 Reptile,25 Reptile,Dakar & Grinser,377.9ø
Hold Of Me,A Loop Soundtrack - The Best of Loop,Rocky Marsiano,319.7ø
Lux,Lux,Traffic Sound,179.8ø
