Stomped Beat-Up And Whooped,Now Do U Wanta Dance,Graham Central Station,179.0ø
The Crooked Smile,Light Shines Black,Left Hand Solution,227.7ø
Soiled Souls,Light Shines Black,Left Hand Solution,131.7ø
Orient Nights,Light Shines Black,Left Hand Solution,359.8ø
Missionary Man,Light Shines Black,Left Hand Solution,189.6ø
Lucid Dream Desire,Light Shines Black,Left Hand Solution,213.3ø
Light Shines Black,Light Shines Black,Left Hand Solution,210.5ø
Heart Laid Bare,Light Shines Black,Left Hand Solution,241.5ø
A Road To Nowhere,Light Shines Black,Left Hand Solution,213.0ø
Bom Dia,Sarau,XRS Land,242.3ø
Arson,Memories In Richter,Snub,186.0ø
