New Rose,Noise Noise Noise,The Damned,168.8ø
Wondering (2005 Digital Remaster),World Record,Van Der Graaf Generator,408.5ø
Wondering,Real Time,Van Der Graaf Generator,421.1ø
When She Comes (BBC Version) (2005 Digital Remaster),World Record,Van Der Graaf Generator,492.4ø
When She Comes,World Record,Van Der Graaf Generator,483.0ø
My Room (Waiting For Wonderland) (2005 Digital Remaster),Still Life,Van Der Graaf Generator,482.4ø
My Room (Waiting For Wonderland),Still Life,Van Der Graaf Generator,482.2ø
Masks (2005 Digital Remaster),World Record,Van Der Graaf Generator,419.6ø
Masks,World Record,Van Der Graaf Generator,416.4ø
Mother,Gold,Burning Spear,215.8ø
Only A Child Can Love,Funk On Fire - The Mercury Anthology,Ohio Players,252.0ø
Far East Mississippi,Funk On Fire - The Mercury Anthology,Ohio Players,295.1ø
The Goodnight Loving Trail,Songbook Of The American West,Chris LeDoux,215.4ø
Mamas Don't Let Your Babies Grow Up To Be Cowboys,Songbook Of The American West,Chris LeDoux,250.5ø
Go Riding_ Young Cowboy,Songbook Of The American West,Chris LeDoux,257.5ø
A Cowboy Is A Hell Of A Man,Songbook Of The American West,Chris LeDoux,140.7ø
I'm Sorry,Greatest Hits Of The Platters,The Platters,179.3ø
Ebb Tide,The Platters Golden Hits,The Platters,146.7ø
Hollywood Hopeful,A Live One,Loudon Wainwright III,87.5ø
Lucie,Il Faut Savoir,Charles Aznavour,174.8ø
Pumping,Radio Ethiopia,Patti Smith Group,201.8ø
Poppies,Original Album Classics,Patti Smith Group,426.3ø
Pissing In A River,Radio Ethiopia,Patti Smith Group,292.7ø
Distant Fingers,Land (1975-2002),Patti Smith Group,296.6ø
Ask the Angels,Radio Ethiopia,Patti Smith Group,189.7ø
Ain't It Strange,Radio Ethiopia,Patti Smith Group,396.4ø
Abyssinia,Radio Ethiopia,Patti Smith Group,121.7ø
Somebody Who Loves You,Love And Affection - The Best Of,Joan Armatrading,214.6ø
Love And Affection,Classic,Joan Armatrading,268.2ø
Join The Boys,Joan Armatrading,Joan Armatrading,292.5ø
You Got Me On So Bad,Troubadour,J.J. Cale,197.7ø
Travelin' Light,Troubadour,J.J. Cale,171.2ø
The Woman That Got Away,Troubadour,J.J. Cale,173.1ø
Ride Me High,Troubadour,J.J. Cale,215.0ø
I'm A Gypsy Man,Troubadour,J.J. Cale,163.1ø
Hold On,Troubadour,J.J. Cale,119.2ø
Cocaine,Cool - Rock,J.J. Cale,173.2ø
Cherry,Troubadour,J.J. Cale,202.1ø
The Magician,The Anthology,Return To Forever,330.1ø
Sorceress,The Best Of Return To Forever,Return To Forever,455.3ø
Medieval Overture,The Anthology,Return To Forever,316.9ø
Majestic Dance,Romantic Warrior,Return To Forever,300.5ø
My Heroes Have Always Been Cowboys,Wanted! - The Outlaws,Waylon Jennings,170.3ø
Can't You See,Waylon & The Waymore Blues Band - Never Say Die LIVE!,Waylon Jennings,318.9ø
Are You Ready For The Country,The Essential Waylon Jennings,Waylon Jennings,190.8ø
Blinded By The Light,The Best Of Manfred Mann's Earth Band,Manfred Mann's Earth Band,426.6ø
Everything Is On The One,Clones Of Dr. Funkenstein,Parliament,227.6ø
Dr. Funkenstein,Universal Masters Collection,Parliament,343.5ø
Do That Stuff,Live: P Funk Earth Tour,Parliament,316.1ø
The April Fools,Ballads,Earl Klugh,225.0ø
Kiko (2005 Digital Remaster),Living Inside Your Love,Earl Klugh,167.6ø
I Heard It Through The Grapevine (2005 Digital Remaster),Living Inside Your Love,Earl Klugh,447.8ø
Felicia (2005 Digital Remaster),Living Inside Your Love,Earl Klugh,323.8ø
Captain Caribe (2005 Digital Remaster),Living Inside Your Love,Earl Klugh,323.1ø
Another Time_ Another Place (2005 Digital Remaster),Living Inside Your Love,Earl Klugh,401.6ø
You Scared The Lovin' Outta Me - Original,Hardcore Jollies,Funkadelic,380.2ø
If You Got Funk_ You Got Style - Original,Hardcore Jollies,Funkadelic,184.2ø
Hardcore Jollies - Original,Hardcore Jollies,Funkadelic,300.3ø
Adolescent Funk - Original,Hardcore Jollies,Funkadelic,254.5ø
Cueva Del Gato,Gold,Paco De Lucia,342.2ø
Almoraima,Antologia,Paco De Lucia,327.0ø
Thunderfoot,Sudan Village,Seals and Crofts,567.7ø
Goodbye Old Buddies (Album Version),Get Closer,Seals and Crofts,172.5ø
Eighth Of January,Sudan Village,Seals and Crofts,172.9ø
Cause You Love,Sudan Village,Seals and Crofts,229.4ø
Herandu,Black Market,Weather Report,398.5ø
Elegant People,The Best Of Weather Report,Weather Report,303.8ø
Black Market,8:30,Weather Report,588.7ø
Barbary Coast,Black Market,Weather Report,190.9ø
Suite For 20 G (LP Version),Trick Bag,The Meters,272.8ø
Mister Moon (LP Version),Trick Bag,The Meters,242.9ø
I Want To Be Loved By You (LP Version),Trick Bag,The Meters,324.6ø
Honky Tonk Woman (Album Version),Trick Bag,The Meters,196.0ø
Doodle Loop (The World Is A Little Bit Under The Weather),Trick Bag,The Meters,232.7ø
All These Things (LP Version),Trick Bag,The Meters,212.8ø
Young Hearts Run Free,Loving You,Candi Staton,231.7ø
You Bet Your Sweet_ Sweet Love (LP Version),Young Hearts Run Free,Candi Staton,278.8ø
Living For You,Young Hearts Run Free,Candi Staton,285.5ø
I'm Just A Prisoner,Young Hearts Run Free,Candi Staton,192.9ø
Stand By Me (LP Version),Chicken Skin Music,Ry Cooder,224.0ø
Chloe  (LP Version),Chicken Skin Music,Ry Cooder,184.5ø
Always Lift Him Up/Kanaka Wai Wai (LP Version),Chicken Skin Music,Ry Cooder,363.5ø
Vibrations,Vibrations,Roy Ayers Ubiquity,182.0ø
Everybody Loves The Sunshine,Classic Funk - Universal Masters,Roy Ayers Ubiquity,233.1ø
True Confessions,Original Album Classics,Blue Oyster Cult,176.8ø
This Ain't The Summer Of Love,Original Album Classics,Blue Oyster Cult,142.6ø
The Revenge Of Vera Gemini,AGENTS OF FORTUNE,Blue Oyster Cult,230.3ø
Tattoo Vampire,Original Album Classics,Blue Oyster Cult,161.0ø
Sinful Love,Original Album Classics,Blue Oyster Cult,209.9ø
Morning Final,AGENTS OF FORTUNE,Blue Oyster Cult,254.2ø
E.T.I. (Extra Terrestrial Intelligence),Career Of Evil,Blue Oyster Cult,226.0ø
Debbie Denise,AGENTS OF FORTUNE,Blue Oyster Cult,250.2ø
(Don't Fear) The Reaper,World's Best Dad,Blue Oyster Cult,308.4ø
Latina (LP Version),Echoes Of Blue,Freddie Hubbard,285.4ø
