My Silent Love,Trumpet Time,Harry James And His Orchestra,208.4ø
Tight Work,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,231.9ø
Maybe It's Time,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,224.0ø
Hustler,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,264.8ø
Get Loose,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,220.7ø
Get Dat Money,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,232.8ø
D-Low,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,289.4ø
Can't Stand Me,The Legendary Henry Stone Presents: Blac Haze,Blac Haze,271.2ø
Only,Lohio,Ass Ponys,169.0ø
Nothing Starts Today,Lohio,Ass Ponys,170.2ø
Last Night it Snowed,Lohio,Ass Ponys,132.8ø
Kung Fu Reference,Lohio,Ass Ponys,225.5ø
Fire in the Hole,Lohio,Ass Ponys,214.2ø
Dried Up,Lohio,Ass Ponys,244.5ø
Donald Sutherland,Lohio,Ass Ponys,206.0ø
Dollar a Day,Lohio,Ass Ponys,179.3ø
Calendar Days,Lohio,Ass Ponys,222.9ø
Black Dot,Lohio,Ass Ponys,200.3ø
Baby in a Jar,Lohio,Ass Ponys,258.4ø
(Baby) I Love You (Baby),Lohio,Ass Ponys,199.2ø
Willst du mit mir geh'n,Daliah Lavi: Lieder des Lebens,Daliah Lavi,206.4ø
The Mystic Flame,Solar World,Simon Cooper,349.6ø
2nd Movement Part 3,Inside,Steffen Basho-Junghans,264.8ø
2nd Movement Part 1,Inside,Steffen Basho-Junghans,317.7ø
Limelight,Classic Years,Frank Chacksfield,143.2ø
She's About A Mover,Strange Breaks & Mr. Thing II,Roy Head,190.8ø
You Came A Long Way From St. Louis (Live at San Fernando Valley State_ Northridge_ CA_ December 9_ 1961),For Those Who Think Young,Joanie Sommers,136.7ø
Why Shouldn't I (Live at San Fernando Valley State_ Northridge_ CA_ December 9_ 1961),For Those Who Think Young,Joanie Sommers,239.7ø
Since Randy Moved Away (Album Version),Johnny Get Angry,Joanie Sommers,153.7ø
Shake Hands With A Fool (Album Version),Johnny Get Angry,Joanie Sommers,160.9ø
Seems Like Long_ Long Ago (Album Version),Johnny Get Angry,Joanie Sommers,144.8ø
Out Of This World (Album Version),For Those Who Think Young,Joanie Sommers,206.6ø
One Boy (LP Version),Johnny Get Angry,Joanie Sommers,123.8ø
My Ship (Live at San Fernando Valley State_ Northridge_ CA_ December 9_ 1961),For Those Who Think Young,Joanie Sommers,287.6ø
Mean To Me (Album Version),Johnny Get Angry,Joanie Sommers,152.4ø
Little Girl Blue (Album Version),Johnny Get Angry,Joanie Sommers,160.6ø
Johnny Get Angry (LP Version),Johnny Get Angry,Joanie Sommers,156.6ø
I Need Your Love (Album Version),Johnny Get Angry,Joanie Sommers,128.4ø
I Feel Pretty (Live at San Fernando Valley State_ Northridge_ CA_ December 9_ 1961),For Those Who Think Young,Joanie Sommers,161.6ø
I Feel A Song Comin' On (Live at San Fernando Valley State_ Northridge_ CA December 9_ 1961),For Those Who Think Young,Joanie Sommers,157.0ø
I Don't Want To Walk Without You (Album Version),Johnny Get Angry,Joanie Sommers,135.4ø
Hey! Jealous Lover (Album Version),For Those Who Think Young,Joanie Sommers,151.8ø
Hard Hearted Hanna (Album Version),For Those Who Think Young,Joanie Sommers,167.2ø
Everything I've Got Belongs To You (Live at San Fernando Valley State_ Northridge_ CA_ December 9_ 1961),For Those Who Think Young,Joanie Sommers,158.6ø
Blues In The Night (Album Version),For Those Who Think Young,Joanie Sommers,191.8ø
A Nightingale Sang In Berkley Square (LP Version),Johnny Get Angry,Joanie Sommers,204.6ø
A Lot Of Livin' To Do (Album Version),For Those Who Think Young,Joanie Sommers,174.5ø
(Theme From) A Summer Place (Album Version),Johnny Get Angry,Joanie Sommers,144.7ø
'Round Midnight (Album Version),For Those Who Think Young,Joanie Sommers,232.2ø
Cry For Me,1985 Sleng Teng Extravaganza,Pad Anthony,200.2ø
Waiting For Robert Pain,Floodland,Oscar Mulero,377.9ø
Tsunami Rules,Floodland,Oscar Mulero,375.9ø
The Flood,Floodland,Oscar Mulero,368.5ø
Heartbreaker,Rock Ballads - Rock Dreams,Tokyo Blade,274.1ø
Like A Tear,The Psychedelic Scene,World Of Oz,190.1ø
Renacer,Mar,Leo Garcia,235.6ø
Poesia Rock,Mar,Leo Garcia,137.1ø
Muerto,Mar,Leo Garcia,105.8ø
Mar,Mar,Leo Garcia,189.2ø
Humo,Mar,Leo Garcia,137.9ø
El Amor Es Ciego,Mar,Leo Garcia,118.2ø
Eco,Mar,Leo Garcia,185.7ø
Cerca,Mar,Leo Garcia,206.3ø
Amor Al Arte,Mar,Leo Garcia,198.7ø
Alguien,Mar,Leo Garcia,139.9ø
Mahi (Soundz Of B21) (Bally Jagpal Mix),Made In England,B21,271.7ø
Mahi (Soundz Of B21),Made In England,B21,257.4ø
Kuriya Punjab Diya (Pa Mix),Made In England,B21,255.9ø
Kuriya Punjab Diya,Made In England,B21,255.8ø
Darshan,Made In England,B21,303.1ø
B21 Advert,Made In England,B21,186.6ø
Blessed Dub,Blessed Dub,King Tubby & the Aggrovators,217.5ø
Triomphe Des Mouches,Ceux Du Dehors,Univers Zero,336.8ø
House Of Ecstasy,Shooting Gallery,Shooting Gallery,207.7ø
Tekkno Talk,Dynamics + Discipline,Moskwa TV,380.7ø
I Feel So Good,Rememberance,Mei Chi Chiang,251.7ø
Roll On,Riddim Driven: Chiney Gal and Blazing,Delly Ranks,216.8ø
Most Naturally,Jet Star Presents Reality Calling Volume 1,Daweh Congo,235.1ø
Iration,Jet Star Presents Reality Calling Volume 1,Daweh Congo,201.9ø
The Fire Of Love,Rock 'n' Roll And Pop Hits_ The 50s_ Vol. 34,Jody Reynolds,110.0ø
Virgin,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,343.1ø
Soul Overture,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,312.2ø
Road Life,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,264.8ø
Radar Love,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,415.7ø
Locked Up In The Snow,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,212.8ø
I Need Blood,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,359.3ø
Holy Mountain Lights,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,344.9ø
Doctor Cranium,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,210.8ø
Disgrace,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,340.3ø
Crazy Tonight,20 Years Ago A Night Of Rehearsal,King Diamond & Black Rose,292.6ø
Your Own Bar,Cabin in the Woods,Retsin,227.1ø
The Good Lady Obstacle,Cabin in the Woods,Retsin,145.0ø
The Bitter Bar Corner,Cabin in the Woods,Retsin,203.3ø
Tangerine Moon,Cabin in the Woods,Retsin,194.4ø
Southwater,Cabin in the Woods,Retsin,195.2ø
Sepia Shade,Cabin in the Woods,Retsin,230.8ø
