Birdhouse In Your Soul (LP Version),Flood,They Might Be Giants,198.9ø
Panzer Ruin (In The Hands Of Gillespie) (Vocals - Freya Aswynn),Looney Runes,Current 93 & Freya Aswynn,376.5ø
The Riddle,Original Album Classics,Steve Vai,384.9ø
The Audience Is Listening,Live In Tokyo,Steve Vai,539.7ø
The Animal,Live In London,Steve Vai,414.7ø
Sisters,Original Album Classics,Steve Vai,247.8ø
For The Love Of God,Sound Theories Vol. I & II,Steve Vai,575.5ø
Erotic Nightmares,Live In London,Steve Vai,259.4ø
Blue Powder,Live In London,Steve Vai,416.6ø
Answers,Sound Theories Vol. I & II,Steve Vai,344.6ø
BB King Intro,Live At San Quentin,B.B. King,121.6ø
Love Secrets,Passion And Warfare,Steve Vai,218.7ø
I Would Love To,Passion And Warfare,Steve Vai,220.3ø
The Hanging Tree,100 Country Classics,Marty Robbins,172.1ø
Knee Deep In The Blues,A Lifetime Of Song,Marty Robbins,131.2ø
Time After Time (The Savior Is Waiting) (Album Version),So Much 2 Say,Take 6,249.4ø
You're In Love,Wilson Phillips,Wilson Phillips,291.9ø
The Dream is Still Alive,Wilson Phillips,Wilson Phillips,248.8ø
Over And Over,Wilson Phillips,Wilson Phillips,279.4ø
Ooh You're Gold,Wilson Phillips,Wilson Phillips,258.2ø
Next to You (Someday I'll Be),Wilson Phillips,Wilson Phillips,299.3ø
Eyes Like Twins,Wilson Phillips,Wilson Phillips,303.4ø
A Reason to Believe,Wilson Phillips,Wilson Phillips,245.5ø
Perro Callejero,Somos Unos Animales,Extremoduro,179.2ø
Desidia,Somos Unos Animales,Extremoduro,270.9ø
Quemando Tus Recuerdos,Somos Unos Animales,Extremoduro,351.1ø
I Receive Your Love,The Best Of Kirk Whalum,Kirk Whalum,366.4ø
Go Tell It On The Mountain,A Jazzy Wonderland,Kirk Whalum,304.9ø
Desperately,The Best Of Kirk Whalum,Kirk Whalum,395.1ø
This World,Interiors,Rosanne Cash,210.5ø
Real Woman,Interiors,Rosanne Cash,241.2ø
Paralyzed,Interiors,Rosanne Cash,182.6ø
On The Surface,Retrospective,Rosanne Cash,178.5ø
Mirror Image,Interiors,Rosanne Cash,199.2ø
Land Of Nightmares,Interiors,Rosanne Cash,148.2ø
Dance With The Tiger,Interiors,Rosanne Cash,228.3ø
Time And Time Again(Album Version),Fire And Love,Guardian,292.1ø
Where Is My Baby,The Anthology,Aaron Neville,238.3ø
Waiting For A Bus,The Greatest Love,Aaron Neville,184.1ø
The Christmas Song (Chestnuts Roasting On An Open Fire),Aaron Neville's Soulful Christmas,Aaron Neville,260.8ø
My Greatest Gift,The Greatest Love,Aaron Neville,217.2ø
Through The Infinite Halls Of Death,Live,CANDLEMASS,322.1ø
Demon's Gate,Live,CANDLEMASS,290.8ø
Crystal Ball (Live Fryshuset 90_ LP version),Live,CANDLEMASS,330.9ø
