Keep Smiling At Trouble (Trouble's A Bubble),FORTY YEARS: THE ARTISTRY OF TONY BENNETT,Tony Bennett,183.5ø
You're Looking Fine,Face To Face,The Kinks,166.8ø
Village Green,The Village Green Preservation Society,The Kinks,130.8ø
Love Me Till The Sun Shines,Something Else By The Kinks,The Kinks,194.6ø
Death Of A Clown,Something Else By The Kinks,The Kinks,181.8ø
Autumn Almanac,The Singles Collection,The Kinks,190.3ø
Afternoon Tea,Something Else By The Kinks,The Kinks,204.8ø
Act Nice And Gentle,Something Else By The Kinks,The Kinks,157.6ø
I'm Gonna Leave You,Soul Jazz (Jazz Club),Nina Simone | Hal Mooney,137.1ø
He Ain't Comin' Home No More,Compact Jazz - Nina Simone,Nina Simone,192.0ø
White Rabbit,Jefferson Airplane: The Woodstock Experience,Jefferson Airplane,147.2ø
Watch Her Ride,Original Album Classics,Jefferson Airplane,199.2ø
Today,Live At The Fillmore East,Jefferson Airplane,219.5ø
The Last Wall of the Castle,Original Album Classics,Jefferson Airplane,160.9ø
Somebody To Love,Surrealistic Pillow,Jefferson Airplane,174.8ø
She Has Funny Cars,Jefferson Airplane Loves You,Jefferson Airplane,217.1ø
Plastic Fantastic Lover,Sweeping Up the Spotlight - Jefferson Airplane Live at the Fillmore East 1969,Jefferson Airplane,196.4ø
How Do You Feel,Ignition,Jefferson Airplane,211.7ø
Embryonic Journey,Collections,Jefferson Airplane,113.3ø
3/5 Of A Mile In 10 Seconds,The Essential Jefferson Airplane,Jefferson Airplane,286.5ø
Time To Cry,Cry Softly Lonely One,Roy Orbison,161.6ø
The Same Street,Roy Orbison Sings Don Gibson,Roy Orbison,136.2ø
Only Alive,Cry Softly Lonely One,Roy Orbison,128.6ø
Lonesome Number One,Roy Orbison Sings Don Gibson,Roy Orbison,143.0ø
Just Let Me Make Believe,Cry Softly Lonely One,Roy Orbison,146.5ø
Big Hearted Me,Roy Orbison Sings Don Gibson,Roy Orbison,111.7ø
Too Soon To Know,Roy Orbison Sings Don Gibson,Roy Orbison,167.6ø
That's A No No,Cry Softly Lonely One,Roy Orbison,130.3ø
Give Myself A Party,Roy Orbison Sings Don Gibson,Roy Orbison,148.7ø
You Left The Water Running (LP Version),The Wicked Pickett,Wilson Pickett,148.6ø
Ooh Poo Pah Doo (LP Version),The Wicked Pickett,Wilson Pickett,153.4ø
Mojo Mama [LP Version],The Sound of Wilson Pickett,Wilson Pickett,122.0ø
Everybody Needs Somebody To Love (LP Version),The Wicked Pickett,Wilson Pickett,139.9ø
Midnight Special,Blowin' Your Mind!,Van Morrison,169.2ø
Goodbye Baby (Baby Goodbye),Playlist: The Very Best Of Van Morrison,Van Morrison,177.9ø
Brown Eyed Girl,Letter From Vietnam Vol. 7,Van Morrison,183.4ø
Rock My Plimsoul,The Best Of Jeff Beck,Jeff Beck,254.5ø
Hi Ho Silver Lining,The Best Of Jeff Beck,Jeff Beck,175.3ø
Jackson,The Legend Of Johnny Cash,Johnny Cash | June Carter,166.0ø
The 59th Street Bridge Song,Greatest Hits,Simon & Garfunkel,110.3ø
Venus In Furs,The Bootleg Series Vol.1 - The Quine Tapes,The Velvet Underground,317.4ø
There She Goes Again,The Velvet Underground & Nico,Velvet Underground & Nico,162.9ø
The Black Angel's Death Song,The Bootleg Series Vol.1 - The Quine Tapes,The Velvet Underground,356.4ø
Run Run Run,The Velvet Underground & Nico,The Velvet Underground,265.4ø
Little Sister,The Velvet Underground & Nico,Nico,268.5ø
Heroin,Live With Lou Reed_ Vol.1,The Velvet Underground | Lou Reed,494.1ø
European Son,The Velvet Underground & Nico,Velvet Underground & Nico,477.0ø
Lay Some Happiness On Me,Country_ My Way,Nancy Sinatra,113.9ø
It's Such A Pretty World Today,Country_ My Way,Nancy Sinatra,168.9ø
Help Stamp Out Loneliness,Country_ My Way,Nancy Sinatra,149.4ø
Get While The Gettin's Good,Country_ My Way,Nancy Sinatra,162.1ø
Freedom Sounds,Stretching Out,The Skatalites,380.9ø
Bridge View,Stretching Out,The Skatalites,190.0ø
The Laughing Apple,New Masters,Cat Stevens,159.8ø
The First Cut Is The Deepest,New Masters,Cat Stevens,183.2ø
Smash Your Heart,New Masters,Cat Stevens,181.8ø
Moonstone,On The Road To Find Out (Repackaged),Cat Stevens,137.8ø
Kitty,New Masters,Cat Stevens,140.9ø
I'm So Sleepy,New Masters,Cat Stevens,145.1ø
I'm Gonna Be King,New Masters,Cat Stevens,149.7ø
Come On Baby (Shift That Log),New Masters,Cat Stevens,231.9ø
Ceylon City,New Masters,Cat Stevens,150.1ø
Blackness Of The Night,New Masters,Cat Stevens,149.3ø
Time Is On My Side (LP Version),The Wicked Pickett,Wilson Pickett,154.8ø
Minor Swing,Accords Parfaits,Django Reinhardt,158.1ø
Homburg,One Eye To The Future,Procol Harum,261.0ø
Conquistador,One Eye To The Future,Procol Harum,278.0ø
A Whiter Shade Of Pale,60's Gold,Procol Harum,243.8ø
Something Within Me [LP Version],The Sound of Wilson Pickett,Wilson Pickett,223.8ø
She Ain't Gonna Do Right (LP Version),The Wicked Pickett,Wilson Pickett,135.7ø
I'm Sorry About That [Single/LP Version],The Sound of Wilson Pickett,Wilson Pickett,186.5ø
I Found The One [LP Version],The Sound of Wilson Pickett,Wilson Pickett,153.3ø
I Found A Love - Part II [Single Version],The Sound of Wilson Pickett,Wilson Pickett,180.0ø
