Ryysyranta meni,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,179.0ø
Tide,The Girl From Ipanema,Antonio Carlos Jobim,224.9ø
Takatanga,The Girl From Ipanema,Antonio Carlos Jobim,273.2ø
Sue Ann,The Girl From Ipanema,Antonio Carlos Jobim,185.5ø
Remember,Bossa Nova,Antonio Carlos Jobim,230.4ø
Choro,Cocktail Classics,Antonio Carlos Jobim,127.9ø
Sing A Song For Freedom,Hibernated - Defrosted,Frijid Pink,179.6ø
I'm On My Way,Hibernated - Frijid Pink,Frijid Pink,272.6ø
I Want To Be Your Lover,Hibernated - Frijid Pink,Frijid Pink,452.1ø
Heartbreak Hotel,Frijid Pink,Frijid Pink,171.1ø
End Of The Line,Hibernated - Frijid Pink,Frijid Pink,247.3ø
Crying Shame,Hibernated - Frijid Pink,Frijid Pink,191.7ø
Bye Bye Blues,Hibernated - Defrosted,Frijid Pink,295.0ø
Boozin' Blues,Hibernated - Frijid Pink,Frijid Pink,363.3ø
