I Walk The Line,At San Quentin (The Complete 1969 Concert),Johnny Cash,209.3ø
I'm Counting On You,Heartbreak Hotel - Re-Mastered 2009,Elvis Presley,142.4ø
Hound Dog,Rock'n'Roll Giants,Elvis Presley,137.3ø
Blue Moon,The King of Rock 'n' Roll: The Complete 50's Masters,Elvis Presley,175.7ø
My Baby Left Me,MY BABY LEFT ME,Elvis Presley,133.4ø
Love Me Tender,Happy Day Collection - Drive In's Love Songs,Elvis Presley,164.4ø
Love Me,Recorded Live In Memphis,Elvis Presley,110.4ø
I Got A Woman,That's All Right,Elvis Presley,187.0ø
First In Line,Elvis,Elvis Presley,201.9ø
Don't Be Cruel,Hound Dog,Elvis Presley,124.6ø
It's Only A Paper Moon,The Unforgettable Voice Of...,Nat King Cole,128.2ø
