I Put The Light On,Reckless,The Sports,254.3ø
Tumba Meri Jaan,Mar Giya Ni Attar Kure,Didar Sandhu,179.5ø
Saun Laga Tolda,Mar Giya Ni Attar Kure,Didar Sandhu,195.9ø
Sachi Muchi Ho Gayi,Mar Giya Ni Attar Kure,Didar Sandhu,173.2ø
Phatiya Kidhar Nu Jawan,Mar Giya Ni Attar Kure,Didar Sandhu,191.9ø
Nachiye Giddhe Wich,Mar Giya Ni Attar Kure,Didar Sandhu,188.0ø
Mar Gaya Ni,Mar Giya Ni Attar Kure,Didar Sandhu,141.1ø
Lak Patle Ton Dardi,Mar Giya Ni Attar Kure,Didar Sandhu,178.7ø
Kalli Nu Lai Ja,Mar Giya Ni Attar Kure,Didar Sandhu,178.1ø
Ik Charha Le Gaya Ni Phar Ke,Mar Giya Ni Attar Kure,Didar Sandhu,187.8ø
Ho Ke Sharabi Aave,Mar Giya Ni Attar Kure,Didar Sandhu,205.6ø
Chal Hun Viah Karvaiye,Mar Giya Ni Attar Kure,Didar Sandhu,169.4ø
Bibi Kiven Tikayei Ni,Mar Giya Ni Attar Kure,Didar Sandhu,189.3ø
