Skin Divers,Euphoria,Insides,212.1ø
A Little Closer,Quick Change World,Ric Ocasek,243.7ø
Hot Rod,Drag,Red Aunts,175.3ø
The Babe Takes A Bow,Drum Boogie (Best Of The Big Bands),Gene Krupa & His Orchestra,178.3ø
No Name Jive,Drum Boogie (Best Of The Big Bands),Gene Krupa & His Orchestra,173.7ø
My Ideal,What's This? - 1946 (Vol. 1),Gene Krupa & His Orchestra,159.7ø
Love's In My Heart,What's This? - 1946 (Vol. 1),Gene Krupa & His Orchestra,159.7ø
How 'Bout That Mess?,Drum Boogie (Best Of The Big Bands),Gene Krupa & His Orchestra,163.7ø
Silly Wasn't I,The Collection,Valerie Simpson,129.6ø
Drip,Ice Cream Headache,Radial Spangle,197.9ø
Will the Fetus Be Aborted,Will The Fetus Be Aborted,Jello Biafra_Mojo Nixon,220.8ø
Drinkin' With Jesus,Will The Fetus Be Aborted,Jello Biafra_Mojo Nixon,189.6ø
Do It (Till The Feelin' Runs Out),Gigolo,Fatback,249.6ø
