Dreaming Of Love,Spring Love - All Time Greatest Hits,Stevie B,240.8ø
Que Le Den Candela,Exitos Eternos,Celia Cruz,231.4ø
Oye Mi Rumba,Cuba Bella,Celia Cruz,163.3ø
Burundanga,Celia Cruz At The Beginning,Celia Cruz,158.6ø
I Know,The Three EP's,The Beta Band,237.5ø
Villeman og Magnhild,Raue Spree 2005,In Extremo,321.3ø
Ai Vis Lo Lop,Am goldenen Rhein,In Extremo,372.9ø
Saturated In Dejection,Conquering The Throne,Hate Eternal,188.4ø
Sacrilege Of Hate,Conquering The Throne,Hate Eternal,142.7ø
Of This Land,Landmarks,Clannad;John McSherry;Ian Parker;Anto Drennan;Deirdre Brennan,283.6ø
Fado,Landmarks,Clannad;Ian Melrose,316.6ø
An Gleann,Landmarks,Clannad,290.4ø
Once Again It's Summertime,The Best Of Maxi Priest,Maxi Priest,175.5ø
Waan Back,Live On The Battlefield,Anthony B,237.2ø
Too Late Now,Shirley,Shirley Bassey,220.8ø
Tom Thumb,The Big Band Leader Vol. 5,Count Basie,187.4ø
One O'Clock Boogie,Jukebox Hits 1940-1952,Count Basie,206.1ø
Swamp Thing,Bible Of Dreams,Juno Reactor,315.9ø
Shark,Bible Of Dreams,Juno Reactor,576.1ø
Komit,The Zwara EP,Juno Reactor,282.5ø
Jardin De Cecile,Bible Of Dreams,Juno Reactor,423.5ø
Haguya Hime,Bible Of Dreams,Juno Reactor,398.1ø
God Is God,God Is God,Juno Reactor,364.6ø
Children Of The Night,Bible Of Dreams,Juno Reactor,476.7ø
Biot Messiah,God Is God,Juno Reactor,477.2ø
New #2,Over The James,Avail,145.2ø
You Know It All,Nothin' But The Taillights,Clint Black,258.0ø
You Don't Need Me Now,Nothin' But The Taillights,Clint Black,220.7ø
What I Feel Inside,Nothin' But The Taillights,Clint Black,267.3ø
The Shoes You're Wearing,Nothin' But The Taillights,Clint Black,209.9ø
That Something In My Life,Nothin' But The Taillights,Clint Black,172.3ø
Something That We Do,Sounds Of Wood & Steel II,Clint Black,168.4ø
Our Kind Of Love,Nothin' But The Taillights,Clint Black featuring Alison Krauss and Union Station,247.2ø
Ode To Chet,Nothin' But The Taillights,Clint Black,224.1ø
Nothin' But The Taillights,Super Hits,Clint Black,234.8ø
Loosen Up My Strings,Nothin' But The Taillights,Clint Black,208.7ø
Bitter Side Of Sweet,Nothin' But The Taillights,Clint Black,270.3ø
Swing,Uptown Saturday Night,Camp Lo,170.9ø
Sparkle,Uptown Saturday Night,Camp Lo,227.7ø
Say Word,Uptown Saturday Night,Camp Lo featuring Jungle Brown,193.9ø
Rockin' It AKA Spanish Harlem,Uptown Saturday Night,Camp Lo,216.5ø
Nicky Barnes AKA It's Alright,Uptown Saturday Night,Camp Lo featuring Jungle Brown,193.4ø
Negro League,Uptown Saturday Night,Camp Lo featuring Bones and Karachi R.A.W.,203.2ø
Killin' Em Softly,Uptown Saturday Night,Camp Lo,223.9ø
Black Connection,Uptown Saturday Night,Camp Lo,247.1ø
B-Side To Hollywood,Uptown Saturday Night,Camp Lo,225.7ø
The Jealous Sun,Of Sculptured Ivy And Stone Flowers,Novembers Doom,368.6ø
For Every Leaf That Falls,Of Sculptured Ivy And Stone Flowers,Novembers Doom,276.8ø
Dawn Breaks,Of Sculptured Ivy And Stone Flowers,Novembers Doom,365.5ø
The Blues (Pt. 3),Vertex,Buck 65,333.0ø
Supper At Sundown,Vertex,Buck 65,133.2ø
Sleep apnea,Vertex,Buck 65,219.2ø
Brown Truck,Vertex,Buck 65,180.0ø
Sincerely,Many Moods Of Moses,Beenie Man,254.8ø
You Can't Hold Us Back,The Future Of War,Atari Teenage Riot,240.7ø
Waves Of Disaster,Redefine The Enemy,Atari Teenage Riot,259.9ø
The Future Of War,The Future Of War,Atari Teenage Riot,225.5ø
Sick To Death,Sick To Death,Atari Teenage Riot,221.8ø
Redefine The Enemy,The Future Of War,Atari Teenage Riot,238.9ø
Paranoid,Destroy 2000 Years Of Culture,Atari Teenage Riot,180.7ø
P.R.E.S.S.,The Future Of War,Atari Teenage Riot,259.1ø
Get Up While You Can,Live In Philadelphia,Atari Teenage Riot,310.3ø
Deutschland (Has Gotta Die),Live In Philadelphia,Atari Teenage Riot,184.0ø
Destroy 2000 Years Of Culture,Destroy 2000 Years Of Culture,Atari Teenage Riot,264.6ø
Delete Yourself,Atari Teenage Riot 1992 - 2000,Atari Teenage Riot,270.1ø
Deathstar,The Future Of War,Atari Teenage Riot,323.5ø
Cheek To Cheek,Let's Face The Music And Dance,Doris Day,162.9ø
Fancy Pants,All Time Greatest Hits,Al Hirt,113.8ø
Don't It Drive You Crazy,Having A Party,The Pointer Sisters,379.5ø
Parasitic Infestation,Human Jerky,Cattle Decapitation,41.5ø
Mad Cow Conspiracy,Human Jerky,Cattle Decapitation,30.9ø
La Vache (Regg & Arkin Mix),Double Cream,Milk Inc.,188.8ø
Underwear,Little Ship,Loudon Wainwright III,91.4ø
So Damn Happy,Little Ship,Loudon Wainwright III,145.4ø
OGM,Little Ship,Loudon Wainwright III,175.6ø
I Can't Stand Myself,Little Ship,Loudon Wainwright III,161.2ø
Four Mirrors,Little Ship,Loudon Wainwright III,175.7ø
