My Mind's Eye,From The Beginning,Small Faces,121.7ø
No One Else But You,Today_ Tomorrow_ Forever/A Touch Of Today,Nancy Wilson,134.9ø
Goin' Out Of My Head,Today_ Tomorrow_ Forever/A Touch Of Today,Nancy Wilson,132.2ø
Before The Rain,Today_ Tomorrow_ Forever/A Touch Of Today,Nancy Wilson,136.6ø
Main Title,Omen 2,Jerry Goldsmith,125.7ø
Le Matin Des Noire,The Impulse Story,Archie Shepp,477.8ø
Transition Theme For Minor Blues Or Little Malcolm Loves His Dad,Alfie,Sonny Rollins,351.9ø
He's Younger Than You Are,Alfie,Sonny Rollins,312.9ø
Marcheta,Wrapped Tight,Coleman Hawkins,186.2ø
And I Still Love You,Wrapped Tight,Coleman Hawkins,192.1ø
This Land Is Your Land,Children's Concert At Town Hall,Pete Seeger,91.3ø
Living in the Country,Pete,Pete Seeger,148.8ø
Steel Rail Blues,United Artists Collection_ The,Gordon Lightfoot,172.6ø
Changes,United Artists Collection_ The,Gordon Lightfoot,151.9ø
No Milk Today,All The Hits Plus More,Hermans Hermits,186.9ø
Dial My Number,The Best Of The EMI Years_Vol One 64-66,Herman's Hermits,115.5ø
Dandy,Greatest Hits,Herman's Hermits,129.5ø
Without You,California Dreaming,Wes Montgomery,185.0ø
Tequila,Bumpin' On Sunset (Jazz Club),Wes Montgomery,200.8ø
More More Amor,California Dreaming,Wes Montgomery,174.2ø
Green Peppers,Roots Of Acid Jazz,Wes Montgomery,175.2ø
California Dreaming,Lifestyle2 - Jazz Grooves Vol 1,Wes Montgomery,186.0ø
Wings,Live at the Folklore Center_ NYC - March 6_ 1967,Tim Buckley,163.9ø
Song for Jainie,Live at the Folklore Center_ NYC - March 6_ 1967,Tim Buckley,181.8ø
I Can't See You,Live at the Folklore Center_ NYC - March 6_ 1967,Tim Buckley,245.1ø
Aren't You the Girl,Live at the Folklore Center_ NYC - March 6_ 1967,Tim Buckley,177.0ø
Secret Agent Man,Am Radio Gold: The Ventures (Remastered),The Ventures,123.3ø
Action Plus,Walk Don't Run - The Best Of The Ventures,The Ventures,161.0ø
Mustang Sally  (Single Version),The Young Rascals,The Young Rascals,241.0ø
I Ain't Gonna Eat Out My Heart Anymore (Single Version),The Young Rascals,The Young Rascals,163.2ø
