Pennies From Heaven,The Best of Louis Prima,Louis Prima,169.4ø
Deep Feeling,All The '50s Hits Vol. 1,Chuck Berry,140.2ø
Flight Of The Foo Birds,Count Basie,Count Basie,202.0ø
Miss Ann ,Little Richard - The Collection,Little Richard,137.0ø
Lucille,50's Mania. Vol. 2,Little Richard,152.3ø
Can't Believe You Wanna Leave,Here's Little Richard,Little Richard,145.4ø
No Bones At All,Go West_ Man,Quincy Jones,239.0ø
London Derriere,Go West_ Man,Quincy Jones,247.5ø
Laura (1997 Digital Remaster),Mingus Three,Charles Mingus,393.2ø
Hamp's New Blues (1997 Digital Remaster),Mingus Three,Charles Mingus,235.0ø
Dizzy Moods (1997 Digital Remaster),Mingus Three,Charles Mingus,414.0ø
Back Home Blues,Trio,Charles Mingus,324.9ø
Words of Love,Everyday,Buddy Holly,114.2ø
When The Saints Go Marching In,An Evening With Belafonte,Harry Belafonte,238.3ø
Shenandoah,Calypso Mento Folk (1954-1957),Harry Belafonte,136.9ø
Once Was,An Evening With Belafonte,Harry Belafonte,308.6ø
Merci Bon Dieu,An Evening With Belafonte,Harry Belafonte,185.6ø
Mary's Boy Child,To Wish You A Merry Christmas,Harry Belafonte,265.4ø
Judy Drownded,Me Say Day O!,Harry Belafonte,210.0ø
Island in the Sun,1957 Radio Hits,Harry Belafonte,207.5ø
Hava Nageela,An Evening With Belafonte,Harry Belafonte,193.1ø
Haiti Cherie,Belafonte Sings Of The Caribbean,Harry Belafonte,196.4ø
Danny Boy,An Evening With Belafonte,Harry Belafonte,378.3ø
Everyday,Buddy Holly Rave On - 25 Greatest Hits,Buddy Holly,125.9ø
Ain't No Wheels On This Ship,Just Out Of Reach,Patsy Cline,118.3ø
Get Set For The Blues,Invitation To The Blues,Julie London,165.6ø
Free and Easy,Julie / Love On The Rocks,Julie London,137.6ø
Bright Moon,The Rhythm Of Jazz,Quincy Jones,319.6ø
True Fine Mama,Rip It Up! - The Hits And More,Little Richard,164.0ø
Send Me Some Lovin',The Best of Setco Vol. 50,Little Richard,144.1ø
Miss Ann,The Best Of Little Richard,Little Richard,137.6ø
