Last Night Of The Year,Gravity,Kenny G,163.0ø
Touching And Caring,Private Collection,Nina Simone,334.6ø
Couldn't Stand The Weather,3 CD Slipcase,Stevie Ray Vaughan And Double Trouble,281.1ø
Slime Creatures From Outer Space,Dare To Be Stupid,Weird Al Yankovic,262.3ø
Hooked On Polkas,Dare To Be Stupid,Weird Al Yankovic,235.0ø
Thou Swell,Ella Fitzgerald Sings The Great Ameriacan Songwriters Vol 9,Ella Fitzgerald,122.7ø
Someone to watch over me,Jazz History - Ella Fitzgerald,Ella Fitzgerald,195.9ø
Let's Kiss and Make Up,Ella Sings The Gershwin Songbook Vol 2 - (Digitally Re-Mastered 2009),Ella Fitzgerald,230.2ø
Just Another Rhumba,I Love Jazz! (Jazz Club),Ella Fitzgerald,334.7ø
If My Heart Could Sing,The Complete Motown Singles_ Volume 4: 1964,Marvin Gaye,201.4ø
I Won't Cry Anymore,Vulnerable,Marvin Gaye,173.3ø
Fly Me To The Moon (In Other Words),Romantically Yours,Marvin Gaye,200.4ø
Ain't It Funny (How Things Turn Around),The Best Of,Marvin Gaye,293.8ø
Southern Accents,Damn The Torpedoes / Southern Accents / Hard Promises,Tom Petty And The Heartbreakers,283.8ø
Rebels,Pack Up The Plantation: Live!,Tom Petty And The Heartbreakers,373.2ø
Mary's New Car,Southern Accents,Tom Petty And The Heartbreakers,223.9ø
Make It Better (Forget About Me),Southern Accents,Tom Petty And The Heartbreakers,263.9ø
It Ain't Nothin' To Me,Southern Accents,Tom Petty And The Heartbreakers,311.1ø
The Lady Don't Mind (Extended Mix),Remixed,Talking Heads,409.5ø
Medusa,Alive 2,Anthrax,299.3ø
Lone Justice,Spreading The Disease,Anthrax,277.0ø
Armed And Dangerous,Anthrology: No Hit Wonders (1985-1991),Anthrax,343.3ø
Aftershock,Spreading The Disease,Anthrax,269.0ø
A.I.R.,Madhouse: The Very Best Of Anthrax,Anthrax,348.0ø
Modern Man,Live at The On Broadway 1982,Black Flag,141.9ø
Rock and Roll Is King,100 Hits Of The '80s,Electric Light Orchestra,225.0ø
Mik's Solo/Orange Blossom Special,The Night The Light Went On (In Long Beach),Electric Light Orchestra,148.1ø
In The Hall Of The Mountain King/Great Balls Of Fire,The Night The Light Went On (In Long Beach),Electric Light Orchestra,515.7ø
Daytripper,The Night The Light Went On (In Long Beach),Electric Light Orchestra,400.3ø
1053 Overture,The Night The Light Went On (In Long Beach),Electric Light Orchestra,344.9ø
Television Man (Extended Mix),Remixed,Talking Heads,480.9ø
Perfect World (2005 Digital Remaster),Little Creatures,Talking Heads,266.9ø
Creatures Of Love (2005 Digital Remaster),Little Creatures,Talking Heads,255.6ø
And She Was,Heat Party Anthems,Talking Heads,218.1ø
If Ever,Love Songs,John Denver,322.6ø
Dreamland Express,The Harbor Lights Concert,John Denver,210.1ø
You Have Placed A Chill In My Heart,Ultimate Collection,Eurythmics,233.1ø
Would I Lie To You?,Be Yourself Tonight,Eurythmics,297.1ø
Wide Eyed Girl,Savage,Eurythmics,213.6ø
Put The Blame On Me,Savage,Eurythmics,225.5ø
Julia (Extended Mix),1984 - For The Love Of Big Brother,Eurythmics,400.6ø
I Need You,Savage,Eurythmics,204.5ø
I Need A Man,Ultimate Collection,Eurythmics,263.7ø
I Love You Like A Ball And Chain,Live 1983-1989,Eurythmics,305.8ø
Conditioned Soul,Be Yourself Tonight,Eurythmics,309.1ø
She's So Good To Me,The Essential Luther Vandross,Luther Vandross,295.1ø
If Only For One Night,The Night I Fell In Love/Give Me The Reason/Power Of Love (3 Pak),Luther Vandross,255.4ø
'Til My Baby Comes Home,The Night I Fell In Love/Give Me The Reason/Power Of Love (3 Pak),Luther Vandross,332.1ø
Talk To Me,Timespace - The Best Of Stevie Nicks,Stevie Nicks,252.0ø
Warrior,Walls Of Jericho,Helloween,240.7ø
The Master's Eyes,A Sense Of Wonder,Van Morrison,240.2ø
If You Only Knew,A Sense Of Wonder,Van Morrison,175.4ø
You Know_ We Know,Flash,Jeff Beck,337.1ø
What She Said,The Sound Of The Smiths,The Smiths,160.6ø
Well I Wonder,How Soon Is Now ?,The Smiths,274.1ø
The Headmaster Ritual,The Sound Of The Smiths [Deluxe Edition],The Smiths,295.0ø
The Boy With The Thorn In His Side,Singles,The Smiths,196.7ø
Stretch Out And Wait,The World Won't Listen,The Smiths,165.6ø
Shakespeare's Sister,The Sound Of The Smiths,The Smiths,129.3ø
Rubber Ring,The World Won't Listen,The Smiths,227.7ø
Oscillate Wildly,The World Won't Listen,The Smiths,204.7ø
Nowhere Fast,The Sound Of The Smiths,The Smiths,159.0ø
Asleep,The Sound Of The Smiths [Deluxe Edition],The Smiths,250.3ø
You're Not The Man,Promise,Sade,310.0ø
War Of The Hearts,Promise,Sade,407.9ø
The Sweetest Taboo,The Best Of Sade,Sade,278.5ø
Tar Baby,Promise,Sade,238.4ø
Punch Drunk,Promise,Sade,325.6ø
Never As Good As The First Time,Promise,Sade,299.5ø
Mr Wrong,Promise,Sade,171.4ø
Jezebel,The Best Of Sade,Sade,331.7ø
Is It A Crime,The Best Of Sade,Sade,383.2ø
Fear,Promise,Sade,249.7ø
Heaven,Savage,Eurythmics,206.3ø
Brand New Day,Savage,Eurythmics,220.3ø
Beethoven,Savage,Eurythmics,272.6ø
Cool Blues,Boston_ 1952,Charlie Parker,456.7ø
Something in blue,The London Collection: Vol. 3,Thelonius Monk,401.5ø
Nutty,Riverside Profiles: Thelonious Monk,Thelonious Monk,325.5ø
Manganese,Piano Solos - From The Archives (Digitally Remastered),Thelonious Monk,155.6ø
Things Ain't What They Used To Be,Duke Ellington,Duke Ellington,177.2ø
The River Of Water,Prisoners of Love: A Smattering of Scintillating  Senescent Songs 1985-2003 PLUS A Smattering of Out,Yo La Tengo,152.2ø
Temptation Inside Your Heart,Rock & Roll - An Introduction To The Velvet Underground,The Velvet Underground,152.5ø
Stephanie Says,The Velvet Underground Story 2CD Set,The Velvet Underground,170.9ø
She's My Best Friend,V.U.,The Velvet Underground,167.1ø
I'm Sticking With You,The Bootleg Series Vol.1 - The Quine Tapes,The Velvet Underground,171.4ø
Foggy Notion,The Bootleg Series Vol.1 - The Quine Tapes,The Velvet Underground,284.8ø
Andy's Chest,V.U.,The Velvet Underground,170.3ø
We Care A Lot,Introduce Yourself,Faith No More,243.6ø
Arabian Disco,This Is It: The Best of Faith No More,Faith No More,196.0ø
Tornadoes,Rembrandt Pussyhorse,Butthole Surfers,156.9ø
Moving To Florida,Rembrandt Pussyhorse,Butthole Surfers,272.1ø
Comb,Rembrandt Pussyhorse,Butthole Surfers,297.5ø
I Wished On The Moon,Sings Standards,Cassandra Wilson,214.9ø
Blue In Green,Sings Standards,Cassandra Wilson,250.5ø
Smokin' (Empty_ Try Another),Dog Eat Dog,Joni Mitchell,103.1ø
Shiny Toys,Dog Eat Dog,Joni Mitchell,207.3ø
Lucky Girl,Dog Eat Dog,Joni Mitchell,239.7ø
Good Friends,Dog Eat Dog,Joni Mitchell,268.4ø
Dog Eat Dog,Dog Eat Dog,Joni Mitchell,282.0ø
White Wedding - Parts 1 And 2 (Shotgun Mix) (24-Bit Digitally Remastered 01),Vital Idol,Billy Idol,505.1ø
Mony Mony (Downtown Mix),Original Hits - Pub Jukebox,Billy Idol,298.7ø
Love Calling (Dub),Vital Idol,Billy Idol,334.3ø
Something To Fall Back On,A Capella,Todd Rundgren,257.4ø
Pretending To Care,A Capella,Todd Rundgren,205.1ø
Miracle In The Bazaar,A Capella,Todd Rundgren,253.3ø
Lost Horizon,A Capella,Todd Rundgren,301.5ø
Blue Orpheus,A Capella,Todd Rundgren,303.4ø
Written In Rock,Calling All Girls - The Romantic Rick Springfield,Rick Springfield,275.6ø
Walking On The Edge,Tao,Rick Springfield,312.7ø
Walk Like A Man,Tao,Rick Springfield,249.2ø
The Tao Of Heaven,Tao,Rick Springfield,89.2ø
The Power Of Love (The Tao Of Love),Tao,Rick Springfield,300.4ø
Stranger In The House,Tao,Rick Springfield,243.5ø
State Of The Heart,The Best Of Rick Springfield,Rick Springfield,230.0ø
Dance This World Away,Tao,Rick Springfield,275.1ø
Celebrate Youth,The Best Of,Rick Springfield,232.4ø
When I Fall In Love,Chet Baker With Fifty Italian Strings,Chet Baker,214.4ø
Reach For The Sky,Run For Cover,Gary Moore,284.4ø
Out Of My System,Run For Cover,Gary Moore,241.3ø
Nothing To Lose,Run For Cover,Gary Moore,281.9ø
Equinoxe_ Pt. 5,The Essential,Jean Michel Jarre,204.6ø
Equinoxe_ Pt. 4,The Essential,Jean Michel Jarre,187.2ø
Riptide,LIVE AT THE APOLLO,Robert Palmer,133.7ø
I Didn't Mean To Turn You On,LIVE AT THE APOLLO,Robert Palmer,214.8ø
Hyperactive,LIVE AT THE APOLLO,Robert Palmer,193.9ø
Flesh Wound,LIVE AT THE APOLLO,Robert Palmer,159.8ø
Addicted To Love,Party Triple Set,Robert Palmer,363.4ø
Swing The Paris,Swing de Paris,Django Reinhardt,182.8ø
Swing Guitars,Django On The Radio - Transcribed Broadcasts (CD B - 1947),Django Reinhardt,182.4ø
September Song,Swing De Paris,Django Reinhardt,217.5ø
Honeysuckle Rose,Honeysuckle Rose,Django Reinhardt,169.3ø
King Of Rock And Roll,Intermission,Dio,223.4ø
Hungry For Heaven,The Collection,Dio,250.7ø
Who's That Girl (She's Got It),The Best Of,A Flock Of Seagulls,255.9ø
Your Fascination,Disconnection,Gary Numan,280.5ø
Tricks,Disconnection,Gary Numan,338.6ø
All Messed Up,Run For Cover,Gary Moore,291.6ø
Single Life,Lost & Found: Cameo,Cameo,267.9ø
Attack Me With Your Love,Gold,Cameo,270.7ø
