Zooropa,Zooropa,U2,391.6ø
You Can't Put Your Arms Around A Memory,The Spaghetti Incident?,Guns N' Roses,215.0ø
Raw Power,The Spaghetti Incident?,Guns N' Roses,191.8ø
New Rose,The Spaghetti Incident?,Guns N' Roses,158.4ø
I Don't Care About You,The Spaghetti Incident?,Guns N' Roses,291.5ø
Human Being,The Spaghetti Incident?,Guns N' Roses,408.3ø
Hair Of The Dog,The Spaghetti Incident?,Guns N' Roses,234.9ø
Buick Makane (Big Dumb Sex),The Spaghetti Incident?,Guns N' Roses,159.8ø
Black Leather,The Spaghetti Incident?,Guns N' Roses,248.5ø
Ain't It Fun,Greatest Hits,Guns N' Roses,306.5ø
Wish I Didn't Know Now,20th Century Masters : The Millennium Collection : Best Of Toby Keith,Toby Keith,205.8ø
Should've Been A Cowboy,Toby Keith 35 Biggest Hits,Toby Keith,208.5ø
He Ain't Worth Missing,Toby Keith 35 Biggest Hits,Toby Keith,184.7ø
A Little Less Talk And A Lot More Action,Toby Keith 35 Biggest Hits,Toby Keith,169.5ø
Mojo Pin,The Grace EP's,Jeff Buckley,317.2ø
Eternal Life,GRACE,Jeff Buckley,292.0ø
Lush Life,Les chansons en or - Nat King Cole,Nat King Cole,200.5ø
Just For The Fun Of It,The Billy May Sessions,Nat King Cole,155.7ø
I Understand,The Collection_ Vol. 1 (Digitally Remastered),Nat King Cole,146.3ø
I Should Care,Ballerina,Nat King Cole,165.0ø
A Cottage For Sale,Just One Of Those Things,"Nat ""King"" Cole",177.5ø
Satellite,Live At Red Rocks 8.15.95,DAVE MATTHEWS BAND,307.9ø
One Sweet World,Remember Two Things,DAVE MATTHEWS BAND,309.5ø
Rubina's Blue Sky Of Happiness,The Beautiful Guitar,Joe Satriani,369.2ø
Far Away Places,Hit Club_ The Hits 1949,Bing Crosby,177.7ø
Rock 'n' Roll Lifestyle,Motorcade of Generosity,Cake,254.1ø
Jolene,Motorcade of Generosity,Cake,319.2ø
