Tres Deseos,Ednita Y Sus Exitos,Ednita Nazario,232.4ø
The Bomb (These Sounds Fall Into My Mind),All In The Mind,The Bucketheads,202.5ø
Dimension Of Drums,Classics,Dave Angel,290.0ø
You've Really Got A Hold On Me,Beggar On A Beach Of Gold,Mike And The Mechanics,208.7ø
Web Of Lies,Beggar On A Beach Of Gold,Mike And The Mechanics,337.2ø
The Ghost Of Sex And You,Beggar On A Beach Of Gold,Mike And The Mechanics,384.0ø
Someone Always Hates Someone,Beggar On A Beach Of Gold,Mike And The Mechanics,222.6ø
Plain And Simple,Beggar On A Beach Of Gold,Mike And The Mechanics,238.8ø
Over My Shoulder,Beggar On A Beach Of Gold,Mike And The Mechanics,216.9ø
Mea Culpa,Beggar On A Beach Of Gold,Mike And The Mechanics,380.0ø
I Believe (When I Fall In Love It Will Be Forever),Beggar On A Beach Of Gold,Mike And The Mechanics,191.1ø
Going Going Home,Beggar On A Beach Of Gold,Mike And The Mechanics,269.7ø
A House Of Many Rooms,Beggar On A Beach Of Gold,Mike And The Mechanics,338.7ø
A Beggar On A Beach Of Gold,Beggar On A Beach Of Gold,Mike And The Mechanics,275.1ø
