Low Land Moan,Lonnie Johnson Vol. 3 (1927 - 1928),Lonnie Johnson,194.6ø
Nobody Knows You When You're Down And Out,Nobody's Blues But Mine,Bessie Smith,180.9ø
He's Got Me Goin',The Complete Recordings Vol. 4,Bessie Smith,195.0ø
Don't Cry Baby,The Complete Recordings Vol. 4,Bessie Smith,191.9ø
Love Changing Blues,Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935,Blind Willie McTell,188.3ø
Drive Away Blues,The Best Of Blind Willie McTell,Blind Willie McTell,198.6ø
Pneumonia Blues,Blind Lemon Jefferson Sings The Blues,Blind Lemon Jefferson,199.9ø
Tom Rushen Blues,Charley Patton Vol. 1 (1929),Charley Patton,188.0ø
Screamin' And Hollerin' The Blues,Complete Recordings_ CD A,Charley Patton,190.9ø
Pony Blues,Charley Patton Vol. 1 (1929),Charley Patton,179.6ø
Mississippi Boweavil Blues,Charley Patton Vol. 1 (1929),Charley Patton,191.1ø
Down The Dirt Road Blues,Pony Blues,Charley Patton,172.2ø
A Spoonful Blues,Roots Of Rock,Charley Patton,190.5ø
Mistreatin' Mamma,Kassie Jones,Furry Lewis,185.2ø
Judge Harsh Blues,The Complete Blue Horizon Sessions,Furry Lewis,277.2ø
I Will Turn Your Money Green,Furry Lewis,Furry Lewis,281.0ø
