Sunshine,The Ultimate Collection,Kenny Rogers & The First Edition,193.9ø
Reuben James,All The Hits And All New Love Songs,Kenny Rogers,167.7ø
Reflections Of My Life,Reflections of My Life,Marmalade,254.5ø
The Weasel Goes Out To Lunch,Score,Randy Brecker,79.4ø
The Marble Sea,Score,Randy Brecker,342.3ø
Score,Score,Randy Brecker,436.8ø
Pipe Dream,Score,Randy Brecker,271.4ø
Name Game,Score,Randy Brecker,312.9ø
Morning Song,Score,Randy Brecker,248.5ø
Bangalore,Score,Randy Brecker,272.0ø
Sweet Home Chicago,The World Don't Owe Me Nothing,"David ""Honeyboy"" Edwards",189.1ø
What Does It Take (To Win Your Love),Motown Legends: What Does It Take (To Win Your Love)?,Jr. Walker & The All Stars,144.6ø
These Eyes,The Definitive Collection,Jr. Walker & The All Stars,214.4ø
I've Got To Find A Way To Win Maria Back,The Complete Motown Singles Vol. 9: 1969,Jr. Walker & The All Stars,189.9ø
Gotta Hold On To This Feeling,The Definitive Collection,Jr. Walker & The All Stars,213.3ø
