Party Claps,Party Claps,Exposure,324.5ø
For All We Know,The Orioles 1947-1955,The Orioles,169.2ø
Todo Lo Tuyo,Serie Verde- Myrian Hernandez,Myriam Hernandez,208.2ø
Quiero Saber,Serie Verde- Myrian Hernandez,Myriam Hernandez,199.7ø
Mio,Los Romanticos- Myriam Hernandez,Myriam Hernandez,207.9ø
Eres,Myriam Hernandez (Album),Myriam Hernandez,235.2ø
Freedom of Expression,Freedom of Expression,Arpeggiators,520.7ø
You Can't Judge A Book By The Cover,When The Blues Comes To Call,Dave Kelly,215.8ø
The Duisberg Blues,When The Blues Comes To Call,Dave Kelly,245.7ø
Oklahoma,When The Blues Comes To Call,Dave Kelly,127.5ø
Let's Talk It Over,When The Blues Comes To Call,Dave Kelly,207.5ø
Jim Canaan,When The Blues Comes To Call,Dave Kelly,149.9ø
Hoodoo Lady,When The Blues Comes To Call,Dave Kelly,186.4ø
32-20,When The Blues Comes To Call,Dave Kelly,219.3ø
Wobbly Blood,Hunger of a Thin Man,Theo Hakola,587.1ø
Waiting for Rain,Hunger of a Thin Man,Theo Hakola,220.6ø
The Artificial Rose,Hunger of a Thin Man,Theo Hakola,265.2ø
That Kind of Light,Hunger of a Thin Man,Theo Hakola,243.5ø
Tanks Painted Pink,Hunger of a Thin Man,Theo Hakola,364.6ø
Liberate Me for New Year's Eve,Hunger of a Thin Man,Theo Hakola,245.7ø
La peste porcine,Hunger of a Thin Man,Theo Hakola,276.5ø
Goddamn Song,Hunger of a Thin Man,Theo Hakola,320.9ø
En attendant la pluie,La chanson du Zorro andalou,Theo Hakola,185.1ø
Berceuse,La chanson du Zorro andalou,Theo Hakola,203.1ø
Anarchy for The...,Hunger of a Thin Man,Theo Hakola,293.5ø
