Remember (Walkin' In the Sand),100 Love Evergreen,The Shangri-Las,136.0ø
Mood Indigo,Ellington Indigos,Duke Ellington And His Orchestra,186.0ø
Blue Monk,Thelonious In Action,Thelonious Monk Quartet,511.1ø
Cafe,El Rumbero Del Piano,Eddie Palmieri,383.6ø
I Wish I Could Dance,Do You Love Me,Brian Poole & The Tremeloes,131.0ø
Candy Man,Do You Love Me,Brian Poole & The Tremeloes,141.2ø
The Best Is Yet To Come,Alexandria The Great,Lorez Alexandria,165.4ø
Show Me,Alexandria The Great,Lorez Alexandria,242.5ø
Satin Doll,Alexandria The Great,Lorez Alexandria,165.9ø
Over The Rainbow,Alexandria The Great,Lorez Alexandria,238.6ø
My One And Only Love,Alexandria The Great,Lorez Alexandria,269.5ø
I've Never Been In Love Before,Alexandria The Great,Lorez Alexandria,139.4ø
I've Grown Accustomed To His Face,Alexandria The Great,Lorez Alexandria,244.9ø
I'm Through With Love,Jazz For Broken Hearts (Jazz Club),Lorez Alexandria,324.3ø
Give Me The Simple Life,Alexandria The Great,Lorez Alexandria,141.6ø
Get Me To The Church On Time,Jazz For Weddings (Jazz Club),Lorez Alexandria,239.2ø
