I And I,Infidels,Bob Dylan,311.4ø
My Love For The Rose,Original Album Classics,Willie Nelson,39.2ø
Who Do You Love,Havana Moon,Carlos Santana,173.6ø
Mudbone,Havana Moon,Carlos Santana,352.0ø
Lightnin',Havana Moon,Carlos Santana,232.1ø
There She Goes Again,Dead Letter Office,R.E.M.,170.9ø
Talk About The Passion,The Best Of R.E.M.,R.E.M.,202.4ø
Perfect Circle,Murmur - Deluxe Edition,R.E.M.,211.1ø
Catapult,Murmur:  The I.R.S. Years Vintage 1983,R.E.M.,235.6ø
9-Sep,Murmur - Deluxe Edition,R.E.M.,195.8ø
Changing Skies,Original Album Classics,Willie Nelson,181.9ø
You Are So Beautiful,Love Songs Volume II,Kenny Rogers,173.8ø
Pilgrimage,Murmur - Deluxe Edition,R.E.M.,248.4ø
Laughing,Murmur - Deluxe Edition,R.E.M.,237.6ø
The Kids Are Back,You Can't Stop Rock 'N' Roll,Twisted Sister,196.2ø
Like A Knife In The Back,You Can't Stop Rock 'N' Roll,Twisted Sister,184.0ø
House Of Pain (Album Version),1984,Van Halen,199.7ø
Top Jimmy (Album Version),1984,Van Halen,180.7ø
Jump,Jump / House Of Pain [Digital 45],Van Halen,243.8ø
I'll Wait (Album Version),1984,Van Halen,282.0ø
House Of Pain,Jump / House Of Pain [Digital 45],Van Halen,199.1ø
Girl Gone Bad (Album Version),1984,Van Halen,274.4ø
Drop Dead Legs (Album Version),1984,Van Halen,254.7ø
1984 (Album Version),1984,Van Halen,66.7ø
Melancholia,Think Of One...,Wynton Marsalis,169.0ø
All In The Run Of A Day,Under The Influence Of Love,Barry White,164.4ø
Younger Girls,Next Position Please,Cheap Trick,192.8ø
Next Position Please,Next Position Please - The Authorized Version,Cheap Trick,174.9ø
Invaders Of The Heart,Next Position Please - The Authorized Version,Cheap Trick,239.8ø
I Can't Take It,Authorized Greatest Hits,Cheap Trick,211.9ø
Heaven's Falling,Next Position Please,Cheap Trick,226.0ø
Don't Make Our Love A Crime,Next Position Please - The Authorized Version,Cheap Trick,224.5ø
I Wish it Would Rain,Get It Right,Aretha Franklin,278.6ø
Sitting At The Wheel,Gold,The Moody Blues,335.2ø
I Am,The Present,The Moody Blues,99.3ø
Run For Cover,Metal Health,Quiet Riot,218.4ø
Metal Health,Live & Rare Vol. 1,Quiet Riot,410.7ø
Love's A Bitch,Metal Health,Quiet Riot,250.4ø
Let's Get Crazy,Metal Health,Quiet Riot,248.2ø
Cum On Feel The Noize,Cum On Feel The Noize,Quiet Riot,282.1ø
Hole In The World,The Present,The Moody Blues,114.4ø
Knecht Ruprecht's letzte Fahrt,Opel-Gang,Die Toten Hosen,226.1ø
Hip Hop Bommi Bop,Unter falscher Flagge,Die Toten Hosen,266.0ø
Yeah Yeah,Original Album Classics,Cyndi Lauper,196.4ø
Witness,Original Album Classics,Cyndi Lauper,220.3ø
She Bop,Discover Cyndi Lauper,Cyndi Lauper,231.8ø
Money Changes Everything,Twelve Deadly Cyns...And Then Some,Cyndi Lauper,303.5ø
Girls Just Want To Have Fun,The Best Of The 80's,Cyndi Lauper,228.9ø
TFS,Future Shock,Herbie Hancock,348.8ø
Rough,Future Shock,Herbie Hancock,418.9ø
Rockit,100 Hits Of The '80s,Herbie Hancock,219.6ø
Mega Mix (Includes: Rockit_ Autodrive_ Future Shock_ TFS_ Rough_ & Chameleon),Future Shock,Herbie Hancock,380.6ø
I'll Kiss You,She's So Unusual/True Colors/Hat Full Of Stars (3 Pak),Cyndi Lauper,252.6ø
All Through The Night,She's So Unusual,Cyndi Lauper,288.2ø
Turn Me On,Balls To The Wall,Accept,312.1ø
Love Child,Balls To The Wall,Accept,297.6ø
Losers and Winners,Balls To The Wall,Accept,260.2ø
London Leatherboys,Balls To The Wall,Accept,237.9ø
Head Over Heels,Balls To The Wall,Accept,352.3ø
Fight It Back,Balls To The Wall,Accept,214.1ø
Livin' Lovin' Wreck,The Epic Masters Box Set,Shakin' Stevens,132.3ø
I Cry Just A Little Bit,The Epic Masters Box Set,Shakin' Stevens,192.9ø
We Will Not,Live at CBGB 1982,Bad Brains,103.0ø
The Meek (1991 Digital Remaster),Rock For Light,Bad Brains,217.7ø
Sailin' On (1991 Digital Remaster),Rock For Light,Bad Brains,105.4ø
Rock For Light (1991 Digital Remaster),Rock For Light,Bad Brains,96.1ø
