No Expectations,Gone Girl,Johnny Cash,191.6ø
(There'll Be) Peace In The Valley (For Me),A Christmas Collection,Johnny Cash;The Carter Family,168.0ø
In These Arms,Keep The Faith,Bon Jovi,321.2ø
Bed Of Roses,This Left Feels Right,Bon Jovi,337.9ø
It's Alright,Live Era '87-'93,Guns N' Roses,187.3ø
Attitude,The Spaghetti Incident?,Guns N' Roses,87.0ø
For You,Time3,Journey,238.4ø
Natural Thing,Time3,Journey,226.5ø
See See Rider,Aloha From Hawaii Via Satellite,Elvis Presley,179.4ø
(Such An) Easy Question,Can't Help Falling In Love - The Hollywood Hits,Elvis Presley,140.3ø
You Gave Me A Mountain,Elvis In Concert,Elvis Presley,208.1ø
Oh! What A Performance,All Of Us,Nirvana,187.6ø
Alone Too Long (1992 Digital Remaster),Ballads Of The Day,Nat King Cole,176.8ø
The Extremist/Interview,The Extremist,Joe Satriani,223.6ø
New Blues,Original Album Classics,Joe Satriani,420.0ø
Motorcycle Driver,The Extremist,Joe Satriani,298.2ø
Please,A Centennial Anthology Of His Decca Recordings,Bing Crosby,184.3ø
O Come All Ye Faithful,Happy Holidays,Bing Crosby,189.7ø
I've Got The World On A String,Blue Hawaii,Bing Crosby,182.3ø
Cookie Duster,TIME3,Journey,261.6ø
All That Really Matters,Time3,Journey,236.2ø
