Talking Bout My Baby,First Impressions,The Impressions,152.4ø
Nya Perspektiv,Nya Perspektiv,Ola Magnell,210.8ø
Lyckan Kommer Ju En Dag,Nya Perspektiv,Ola Magnell,200.4ø
Kliff,Nya Perspektiv,Ola Magnell,195.0ø
Kalabaliken,Nya Perspektiv,Ola Magnell,198.6ø
Zimba Ku (LP Version),Keep On Runnin',Black Heat,278.6ø
Something Extra (Album Version),Keep On Runnin',Black Heat,240.2ø
Questions And Conclusions (Album Version),Keep On Runnin',Black Heat,256.8ø
Prince Duval (Album Version),Keep On Runnin',Black Heat,263.5ø
Love (Album Version),Keep On Runnin',Black Heat,194.6ø
Live Together (Album Version),Keep On Runnin',Black Heat,169.6ø
Last Dance (Album Version),Keep On Runnin',Black Heat,169.4ø
Keep On Runnin' (Album Version),Keep On Runnin',Black Heat,349.9ø
Feel Like A Child (Album Version),Keep On Runnin',Black Heat,231.0ø
Drive My Car (LP Version),Keep On Runnin',Black Heat,193.6ø
Baby You'll See (Album Version),Keep On Runnin',Black Heat,250.3ø
Mor Tid,Jan Eggum,Jan Eggum,195.1ø
De Skulle Begrave En Konge Stor,Jan Eggum,Jan Eggum,195.6ø
I'm On Fire,True 70s,5000 Volts,168.3ø
Wait,Genuine Bull,Bintangs,172.5ø
Traveling Mood,Genuine Bull,Bintangs,220.4ø
Open And Busted,Genuine Bull,Bintangs,214.3ø
New Orleans_ New Orleans,Genuine Bull,Bintangs,182.1ø
Insight Inside Out,Genuine Bull,Bintangs,223.6ø
I Been Hoodood,Genuine Bull,Bintangs,254.1ø
Hobo Man,Genuine Bull,Bintangs,193.4ø
Handmade High-Heeled Fleshcoloured Boots,Genuine Bull,Bintangs,205.3ø
Gone Dead Train,Genuine Bull,Bintangs,209.1ø
Do John,Genuine Bull,Bintangs,330.7ø
Biyou Woman,Genuine Bull,Bintangs,254.3ø
Niin,Finnhits 5,Fredi,216.4ø
