Till You Love Me,Moments & Memories: The Best Of Reba,Reba McEntire,230.1ø
Just One More Chance,Smooth & Easy,Dean Martin,193.7ø
Come Running Back,Greatest Hits Vol. 1,Dean Martin,127.2ø
Blue Tail Fly,Children's Favourites,Burl Ives,164.4ø
Our Chain Of Love,Willie Nelson And Friends,Willie Nelson|Shirley Collie,161.6ø
All The Things You Are,Healing Hands Of Time,Willie Nelson,171.2ø
With a Little Help From My Friends,Soul Sacrafice,Carlos Santana,248.5ø
Travelin' Blues,Soul Sacrafice,Carlos Santana,294.4ø
Persuasion,Soul Sacrafice,Carlos Santana,316.9ø
You Was,100 Hits Legends - Dean Martin,Dean Martin,166.5ø
Let Me Go Lover,100 Hits Legends - The Rat Pack,Dean Martin,181.1ø
Monty Got A Raw Deal (Live),What's The Frequency_ Kenneth?,R.E.M.,262.4ø
Losing My Religion (Live) (Athens 1992) (Applause Faded),Bang And Blame,R.E.M.,282.5ø
Circus Envy (Album Version),Monster,R.E.M.,255.9ø
Rainy Day Blues,Milk Cow Blues,Willie Nelson | Jonny Lang,309.2ø
Today I Started Loving You Again,Love Songs,Kenny Rogers,186.9ø
Country Feedback (Live) (Athens 1992) (Applause Faded),Bang And Blame,R.E.M.,258.6ø
Sothis,Xxv,Vader,206.7ø
Open Fire,Strategies Against Architecture III,Einstuerzende Neubauten,268.0ø
Millennium Theme,Millennium (Re-Issue),Hans Zimmer,186.3ø
X-Ray Man,Whip-Smart,Liz Phair,133.6ø
Whip-Smart,Whip-Smart,Liz Phair,258.6ø
Support System (Explicit),Whip-Smart,Liz Phair,178.5ø
Supernova (Explicit),Whip-Smart,Liz Phair,168.9ø
Shane,Whip-Smart,Liz Phair,252.7ø
Nashville,Whip-Smart,Liz Phair,282.7ø
May Queen,Whip-Smart,Liz Phair,162.2ø
Jealousy,Whip-Smart,Liz Phair,217.5ø
Go West,Whip-Smart,Liz Phair,198.0ø
Dogs Of L.A.,Whip-Smart,Liz Phair,141.3ø
Crater Lake,Whip-Smart,Liz Phair,126.6ø
Cinco De Mayo,Whip-Smart,Liz Phair,163.9ø
Chopsticks (Explicit),Whip-Smart,Liz Phair,125.6ø
Alice Springs,Whip-Smart,Liz Phair,110.7ø
Honolulu,25 Nejvetsich hitu,Kamelot,180.4ø
Heaven In The Real World (Heaven In The Real Wolrd Album Version),Heaven in the Real World,Steven Curtis Chapman,290.8ø
Facts Are Facts (Heaven In The Real World Album Version),Heaven in the Real World,Steven Curtis Chapman,210.6ø
Consider It Done (Real Life Album Version),Real Life Conversations,Steven Curtis Chapman,224.9ø
Burn The Ships (Heaven In The Real World Album Version),Heaven in the Real World,Steven Curtis Chapman,296.4ø
