I Got It Bad and That Ain't Good,Memories Are Made of This,Kay Starr,195.8ø
Stars Fell On Alabama,Columbia Jazz,Toots Thielemans,194.6ø
Sophisticated Lady,Columbia Jazz,Toots Thielemans,183.7ø
Sonny Boy,Columbia Jazz,Toots Thielemans,268.6ø
Skylark,Columbia Jazz,Toots Thielemans,125.3ø
Don't Be That Way,Columbia Jazz,Toots Thielemans,280.9ø
Diga Diga Doo,Columbia Jazz,Toots Thielemans,274.5ø
Cocktails For Two,Columbia Jazz,Toots Thielemans,135.9ø
The Great Pretender,The Platters (Twilight Time),The Platters,203.0ø
Piney Brown Blues,The Johnny And Shuggie Otis Sessions,Big Joe Turner,231.2ø
Unchained Melody,The Very Best of the 50s,Les Baxter,151.0ø
Temptation,Tamboo!,Les Baxter,143.4ø
Sway (Quien Era),Caribbean Moonlight,Les Baxter,134.7ø
Out Of This World,Caribbean Moonlight,Les Baxter,247.1ø
Nightingale,Tamboo!,Les Baxter,109.6ø
Julie,Kaleidoscope,Les Baxter,174.8ø
Invitation,Kaleidoscope,Les Baxter,170.0ø
Deep Night,Caribbean Moonlight,Les Baxter,190.5ø
Atlantis,Kaleidoscope,Les Baxter,134.0ø
Here I Am,Country Boy,Jerry Reed,131.0ø
Too Late,Little Walter's Juke,Little Walter,155.0ø
Roller Coaster,Rhythm & Blues Vol. 3,Little Walter,167.9ø
My Babe,Blues! Blues! Blues!,Little Walter,155.9ø
I Got To Go,Little Walter's Juke,Little Walter,162.8ø
What's New,Jazz Legends - Strike Up the Band/Blue Moods/Blowing My Horn,Helen Merrill | Clifford Brown,205.0ø
Memories Of You,Ultimate Clifford Brown,Clifford Brown | Max Roach,215.6ø
Laura,Clifford Brown With Strings,Clifford Brown | Max Roach,208.3ø
Blue Moon,Clifford Brown With Strings,Clifford Brown | Max Roach,196.3ø
Vecchio Frack,Canzoniere '56 - Canzoni Originali Del 1956,Domenico Modugno,191.8ø
See You Later Alligator,Rock Around The Clock & Other Favorites (Digitally Remastered),Bill Haley_ The Comets,167.1ø
Rudy's Rock,Rock 'n' Roll And Pop Hits_ The 50s_ Vol.9,Bill Haley & His Comets,162.8ø
Rockin' Chair On The Moon,Rockabilly Original Masters,Bill Haley & His Comets,172.6ø
Rock The Joint,Rock & Roll Legenden (Chuck Berry vs. Bill Haley & His Comets),Bill Haley & His Comets,138.1ø
I'll Be True,Rockabilly Original Masters,Bill Haley & His Comets,127.1ø
Hook_ Line And Sinker,Shake Rattle And Roll,Bill Haley and his Comets,154.1ø
Happy Baby,Shake Rattle And Roll,Bill Haley and his Comets,156.0ø
Burn That Candle,Rock & Roll Legenden (Chuck Berry vs. Bill Haley & His Comets),Bill Haley & His Comets,165.5ø
Sixteen Tons,Schellackstars Vol. 5,Tennessee Ernie Ford,146.0ø
Lotus Flower,Afro Cuban,Kenny Dorham,258.1ø
La Villa,Jazz Contrasts,Kenny Dorham,421.1ø
Your Cheatin' Heart,I Believe,Frankie Laine,143.6ø
Granada,Fankie Laine Remembered,Frankie Laine,170.5ø
You Go To My Head,Oakland_ 1955,Sonny Clark,352.2ø
Willow Weep For Me,Oakland_ 1955,Sonny Clark,389.8ø
There Will Never Be You,Oakland_ 1955,Sonny Clark,410.1ø
Theme,Oakland_ 1955,Sonny Clark,191.4ø
Ow,Oakland_ 1955,Sonny Clark,371.1ø
