Don't Stand So Close To Me '86,Every Breath You Take : The Classics,The Police,291.5ø
Take A Chance (Album Version),August,Eric Clapton,294.1ø
Run (Album Version),August,Eric Clapton,219.9ø
Holy Mother (Album Version),August,Eric Clapton,295.5ø
Behind The Mask (Album Version),August,Eric Clapton,287.8ø
A Matter Of Trust,Kohuept,Billy Joel,309.2ø
Living In The Promiseland,Super Hits,Willie Nelson,202.4ø
BELLA,Blues For Salvador,Carlos Santana,268.7ø
Shot In The Dark,Live & Loud,Ozzy Osbourne,397.6ø
Secret Loser,Diary of a madman / Bark at the moon / The ultimate sin,Ozzy Osbourne,248.4ø
West End Blues,Columbia Original Masters,Louis Armstrong & His Hot Five,198.5ø
They Killed Him,Knocked Out Loaded,Bob Dylan,240.4ø
Shadow of a Doubt,Live at the Continental Club_ Texas 1986,Sonic Youth,218.1ø
Green Light,Live at the Continental Club_ Texas 1986,Sonic Youth,206.9ø
Expressway To Yr Skull,Screaming Fields Of Sonic Love,Sonic Youth,428.5ø
Echo Canyon,Bad Moon Rising,Sonic Youth,69.0ø
Death to our Friends,Live at the Continental Club_ Texas 1986,Sonic Youth,245.3ø
Potato Head Blues,Louis Armstrong: Hot Fives & Sevens - Vol. 2,Louis Armstrong,178.4ø
Trains Brains And Rain (Album Version),Hear It Is,The Flaming Lips,219.4ø
Staring At Sound/With You (reprise) (Album Version),Hear It Is,The Flaming Lips,308.6ø
The World Needs Guts,Constrictor,Alice Cooper,236.1ø
Teenage Frankenstein,Constrictor,Alice Cooper,214.5ø
Give It Up,Constrictor,Alice Cooper,251.6ø
The Great American Success Story,Constrictor,Alice Cooper,208.8ø
Reborn,Reign In Blood,Slayer,131.1ø
Raining Blood,Live  Decade Of Aggression,Slayer,152.0ø
Postmortem,Live  Decade Of Aggression,Slayer,244.7ø
Necrophobic,Reign In Blood,Slayer,100.5ø
Jesus Saves,Live  Decade Of Aggression,Slayer,174.5ø
Epidemic,Reign In Blood,Slayer,142.8ø
Criminally Insane,Reign In Blood,Slayer,143.0ø
Angel Of Death,Live  Decade Of Aggression,Slayer,320.1ø
Altar Of Sacrifice,Reign In Blood,Slayer,170.3ø
The Snake,Not Of This Earth,Joe Satriani,279.8ø
Stripped,For The Masses,Rammstein,284.5ø
Sometimes,Black Celebration,Depeche Mode,114.0ø
It Doesn't Matter Two,Black Celebration,Depeche Mode,170.8ø
Black Celebration (Black Tulip Mix),DMBX3 (Part 2),Depeche Mode,392.6ø
A Question Of Time (Extended Remix),DMBX3 (Part 2),Depeche Mode,399.6ø
