The Doug McComb Over,Joan of Arc Presents: Don't Mind Control,A Tundra,271.3ø
I Wonder,WolfWolfWolfSheepWolf,Bacon Caravan Creek,247.6ø
Toc H,Slow As An Eyeball,Quack Quack,354.2ø
Three,Slow As An Eyeball,Quack Quack,222.1ø
Phonehenge,Slow As An Eyeball,Quack Quack,268.2ø
Perpetual Spinach,Slow As An Eyeball,Quack Quack,236.5ø
Jack Of None,Slow As An Eyeball,Quack Quack,177.3ø
D Motherfucker D,Slow As An Eyeball,Quack Quack,263.7ø
Cakes Are Easy,Slow As An Eyeball,Quack Quack,189.5ø
Bird Parliament,Slow As An Eyeball,Quack Quack,316.7ø
Big Sounds,Slow As An Eyeball,Quack Quack,190.0ø
As Slow As An Eyeball,Slow As An Eyeball,Quack Quack,147.4ø
