Let's Do It,That Bad Eartha,Eartha Kitt,184.6ø
Solamente Una Vez,Viva!,Percy Faith & His Orchestra,188.0ø
La Golondrina,Viva!,Percy Faith & His Orchestra,229.2ø
Guadalajara,Viva!,Percy Faith & His Orchestra,182.2ø
Granada,Viva!,Percy Faith & His Orchestra,203.1ø
El Rancho Grande,Viva!,Percy Faith & His Orchestra,183.6ø
Cuanto La Gusta,Viva!,Percy Faith & His Orchestra,173.1ø
Mexican Hat Dance,Viva!,Percy Faith & His Orchestra,163.3ø
La Cucaracha,Viva!,Percy Faith & His Orchestra,178.0ø
Estrellita,Viva!,Percy Faith & His Orchestra,151.8ø
Chiapanecas,Viva!,Percy Faith & His Orchestra,139.4ø
