Vunja Mifupa,The Great East African Trip,Samba Mapangala,335.2ø
Zona negativa,1985-1990,Los Vegetales,97.1ø
Vampirela,1985-1990,Los Vegetales,212.0ø
Soy una bomba,1985-1990,Los Vegetales,127.1ø
Sol de california,1985-1990,Los Vegetales,100.8ø
Reloj de cuco,1985-1990,Los Vegetales,177.6ø
Odio el verano,1985-1990,Los Vegetales,194.6ø
Mi novia es una zombi,1985-1990,Los Vegetales,241.5ø
Marte exige carne,1985-1990,Los Vegetales,131.2ø
Lo prometido es deuda,1985-1990,Los Vegetales,219.7ø
La pastilla roja,1985-1990,Los Vegetales,197.1ø
La ciencia avanza,1985-1990,Los Vegetales,125.8ø
Hasta que la muerte nos separe,1985-1990,Los Vegetales,248.8ø
Gallinas gigantes con metralletas,1985-1990,Los Vegetales,127.9ø
Estela plateada,1985-1990,Los Vegetales,173.5ø
El verdugo de rocafort,1985-1990,Los Vegetales,150.4ø
El sol no es para tanto,1985-1990,Los Vegetales,161.6ø
Chico sencillo,1985-1990,Los Vegetales,140.4ø
2 amores,1985-1990,Los Vegetales,151.6ø
Special Delivery,Knights Like This,Peter Blegvad,244.6ø
Meet The Rain,Knights Like This,Peter Blegvad,347.4ø
Let It Soak,L. Ron,Barkmarket,194.4ø
C'est La Vie,The Soul and R&B Archives - Patti Labelle and the Bluebelles,Patti Labelle & The Bluebelles,165.1ø
Personal World,Personal World,Loves Ugly Children,162.4ø
Did You Boogie (With Your Baby),Sons of the Beaches,Flash Cadillac_ The Continental Kids,166.1ø
Under Your Spell Again,Wanted! - The Outlaws,Waylon Jennings & Jessi Colter,172.0ø
I Ain't The One,Wanted! - The Outlaws,Waylon Jennings & Jessi Colter,130.0ø
Tell 'Em I'm Surfin',Ultra-Surf Presents: Hit The Surf!,The Fantastic Baggys,128.7ø
Soon This Morning No. 2,Charlie Spand (1929-1931),Charlie Spand,179.0ø
Soon This Morning Blues,Dreaming The Blues,Charlie Spand,179.7ø
Rudolph The Red-Nosed Reindeer,Jazz At The North Pole,Rickey Woodard,271.4ø
The Stranded,The Island of Dr. Moreau,Gary Chang,161.1ø
The Serum,The Island of Dr. Moreau,Gary Chang,158.3ø
The Island,The Island of Dr. Moreau,Gary Chang,143.5ø
The Funeral,The Island of Dr. Moreau,Gary Chang,126.1ø
The Colony,The Island of Dr. Moreau,Gary Chang,312.8ø
The Button,The Island of Dr. Moreau,Gary Chang,87.9ø
Moreau's Demise,The Island of Dr. Moreau,Gary Chang,165.4ø
Dr. Moreau,The Island of Dr. Moreau,Gary Chang,114.1ø
Aissa's Death,The Island of Dr. Moreau,Gary Chang,164.2ø
When I Believe It,Speak,Dogs Of Peace,302.6ø
Thrown Away,Speak,Dogs Of Peace,253.9ø
The Burning Bush,Speak,Dogs Of Peace,186.0ø
Pray To God,Speak,Dogs Of Peace,319.1ø
In The Event,Speak,Dogs Of Peace,244.5ø
I Wanna Know,Speak,Dogs Of Peace,185.3ø
Dogs Of Peace,Speak,Dogs Of Peace,286.7ø
Which Side are You On?,Talking Union and Other Union Songs,The Almanac Singers,131.5ø
Union Train,Talking Union and Other Union Songs,The Almanac Singers,140.6ø
Union Maid,Talking Union and Other Union Songs,The Almanac Singers,132.5ø
The Golden Vanity,Which Side Are You On?,Almanac Singers,187.9ø
Talking Union,Talking Union and Other Union Songs,The Almanac Singers,179.1ø
State Of Arkansas,Which Side Are You On?,Almanac Singers,165.9ø
I Ride An Old Paint,Which Side Are You On?,Almanac Singers,153.9ø
House Of The Rising Sun,Which Side Are You On?,Almanac Singers,173.4ø
Detroit Rocks,The Excellence Of - Piano Blues,Arthur Montana Taylor,202.1ø
Make It With You,The Legend,Ralfi Pagan,280.5ø
Welcome Back To Earth,Tone Capsule,Soul Oddity,411.0ø
Soul Communication,Tone Capsule,Soul Oddity,350.7ø
People Party,Tone Capsule,Soul Oddity,467.3ø
Mezzo Modular,Tone Capsule,Soul Oddity,64.5ø
Little Alien,Tone Capsule,Soul Oddity,397.8ø
Fugue,Tone Capsule,Soul Oddity,507.8ø
Freq Shift,Tone Capsule,Soul Oddity,362.5ø
DJ Tokyo,Tone Capsule,Soul Oddity,379.9ø
Cruxx,Tone Capsule,Soul Oddity,422.9ø
Clipped,Tone Capsule,Soul Oddity,469.2ø
September In Rio,Latin On Impulse!,Danilo Perez,237.0ø
Strange,Watermelon,Driver Eight,258.8ø
Carousel,Watermelon,Driver Eight,288.6ø
Oop Shoop,Fountain Doowop 4 - Doowop Dreams,Shirley Gunter and The Queens,137.7ø
Comme Un Petit Coquelicot,Comme Un P'tit Coquelicot,Marcel Mouloudji,215.8ø
Every Once And A While,Pop American Style,Holiday Flyer,205.3ø
Let's Fall In Love,As Time Goes By,Arthur Tracy,180.5ø
These Days,A Big Love,Lester Quitzau,261.6ø
Joe's Song,A Big Love,Lester Quitzau,112.3ø
Joe Six Pack,A Big Love,Lester Quitzau,352.1ø
Going Downtown,A Big Love,Lester Quitzau,404.1ø
Feel the Way I Do,A Big Love,Lester Quitzau,373.1ø
A Big Love - Reprise,A Big Love,Lester Quitzau,381.1ø
A Big Love,A Big Love,Lester Quitzau,219.1ø
Gartan Mother's Lullaby,Celtic Twilight 3: Lullabies,Linda Arnold,281.7ø
Where Have You Been?,Barbara Lea,Barbara Lea,211.7ø
My Honey's Lovin' Arms,Barbara Lea,Barbara Lea,166.6ø
I'm Coming Virginia,Barbara Lea,Barbara Lea,203.0ø
I Had Myself A True Love,Barbara Lea,Barbara Lea,225.2ø
I Feel At Home With You,Barbara Lea,Barbara Lea,154.0ø
Honey In The Honeycomb,Barbara Lea,Barbara Lea,168.0ø
Baltimore Oriole,Barbara Lea,Barbara Lea,232.2ø
Whiskey Terror,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,72.1ø
The Latin King,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,148.0ø
The Enemy Mancini,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,159.8ø
Sissy Bar,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,91.0ø
Radio To Saturn Vs. Hackamore Brick,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,171.6ø
Plate In My Head,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,115.0ø
Mexico,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,113.7ø
Earth Vs. Thee Hydrogen Terrors,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,89.7ø
Casino Night,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,97.1ø
All Hail the Panamanian Subversive,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,126.5ø
All Andy Warhol Weekend,Terror Diplomacy & Public Relations,Thee Hydrogen Terrors,45.2ø
X-tasy,Beat Planet X,Bass Trip,282.7ø
Tripnotic,Beat Planet X,Bass Trip,297.2ø
Space Funk,Beat Planet X,Bass Trip,297.4ø
Roll the Nitemare,Beat Planet X,Bass Trip,267.5ø
Retro Electro,Beat Planet X,Bass Trip,258.1ø
Rave Alert,Beat Planet X,Bass Trip,298.5ø
Hypnotize,Beat Planet X,Bass Trip,233.0ø
Fuzzbuster,Beat Planet X,Bass Trip,176.3ø
Crunchie F#@!,Beat Planet X,Bass Trip,197.3ø
Bass Kinetix,Beat Planet X,Bass Trip,306.2ø
