Starting Over Again,Starting Over,Reba McEntire,251.8ø
Pat A Pan,Mannheim Steamroller Christmas 25th Anniversary Collection,Mannheim Steamroller,290.0ø
Christmas Lullaby,Christmas In The Aire,Mannheim Steamroller,246.5ø
Time After Time,For Lovers Only,The Temptations,301.6ø
Life Is But A Dream,For Lovers Only,The Temptations,267.8ø
I'm Glad There Is You,For Lovers Only,The Temptations,318.3ø
Turn Me Loose And Let Me Swing,All The Songs I've Loved Before,Willie Nelson,171.6ø
South Of The Border,Country Roads Volume 4,Willie Nelson,279.9ø
Trying Just As Hard,The Way It Used To Be,Kenny Rogers,143.5ø
Sunshine,Country boxset,Kenny Rogers,190.3ø
Me In Honey (Live),Crush With Eyeliner,R.E.M.,256.2ø
Funtime (Live) (1992),Strange Currencies,R.E.M.,136.0ø
Crush With Eyeliner (Album Version),Monster,R.E.M.,278.7ø
I Didn't Sleep A Wink,Amercian Legend_ Volume 2,Willie Nelson,133.5ø
Slow Down Blues,Joe Satriani,Joe Satriani,446.1ø
Sittin' 'Round,Joe Satriani,Joe Satriani,216.2ø
Look My Way,Original Album Classics,Joe Satriani,243.4ø
Cool #9,Live in Paris: I Just Wanna Rock,Joe Satriani,366.4ø
A Tout Le Monde (Radio Edit),Hidden Treasures,Megadeth,268.1ø
Church Without A Name,Anthology,Kenny Rogers & The First Edition,197.9ø
Loving Her Was Easier (Than Anything I'll Ever Do Again),Revolutions Of Time...The Journey 1975-1993,Willie Nelson,349.3ø
I Found A Reason,A Classic Collection ,Kenny Rogers,212.8ø
Flood,Jars Of Clay,Jars Of Clay,211.7ø
Finest Worksong (Live),Crush With Eyeliner,R.E.M.,251.0ø
Fall On Me (Live),Crush With Eyeliner,R.E.M.,203.1ø
No Good Way Of Saying Good-bye,Something Special,Dolly Parton,177.1ø
Night Train To Memphis,DOLLY - HEARTSONGS,Dolly Parton,162.1ø
Change,Something Special,Dolly Parton,220.3ø
Reborn In Flames,Xxv,Vader,292.2ø
Incarnation,Xxv,Vader,185.1ø
Blood Of Kingu,Xxv,Vader,272.9ø
Make It Hot,Mr. Smith,LL Cool J,271.8ø
Say I,Platinum & Gold Collection,Alabama,190.0ø
Just Don't Care,Live At The Roxy_ London (1977) / Live At CBGB Theatre_ New York (1978),Wire,87.6ø
Time To Go,I Should Coco,Supergrass,116.4ø
Time,Supergrass Is 10 - The Best Of 94-04,Supergrass,192.5ø
Mansize Rooster,The Albums Collection,Supergrass,154.4ø
Lose It,The Albums Collection,Supergrass,157.5ø
It's A Boy,Good Morning_ America!,Hans Zimmer,562.4ø
You,Peter Frampton,Peter Frampton,308.2ø
More Ways Than One (Live),Frampton Comes Alive II,Peter Frampton,330.5ø
Hang On To A Dream (Live),Frampton Comes Alive II,Peter Frampton,193.3ø
Almost Said Goodbye (Live),Frampton Comes Alive II,Peter Frampton,300.2ø
Kinda High_ Kinda Drunk (LP Version),Gangsta's Paradise,Coolio,224.7ø
Crusin' (LP Version),Gangsta's Paradise,Coolio,275.5ø
Could It Be I'm In Love,The Early Years,The Bee Gees,129.6ø
These Strange Times (Album Version),Time,Fleetwood Mac,428.1ø
My Baby's Sweet,Fleetwood Mac Live,Fleetwood Mac,210.3ø
I Wonder Why (Album Version),Time,Fleetwood Mac,269.8ø
I Got It In For You (Album Version),Time,Fleetwood Mac,250.7ø
I Do (Album Version),Time,Fleetwood Mac,268.0ø
The wings of the hydra,Crowning Of Atlantis,THERION,201.5ø
Let the new day begin,Lepaca kliffoth,THERION,215.5ø
Lepaca kliffoth,Lepaca kliffoth,THERION,266.8ø
Darkness eve,Lepaca kliffoth,THERION,319.5ø
Winds Of Change (Album Version),Time,Fleetwood Mac,268.4ø
Buzz Me,Fleetwood Mac Live,Fleetwood Mac,238.3ø
Blow By Blow (Album Version),Time,Fleetwood Mac,267.5ø
All Over Again (Album Version),Time,Fleetwood Mac,216.5ø
Street Struck,Lifestylez Ov Da Poor & Dangerous,Big L,250.4ø
Put It On,Lifestylez Ov Da Poor & Dangerous,Big L,219.6ø
No Endz_ No Skinz,Lifestylez Ov Da Poor & Dangerous,Big L,209.1ø
MVP,Lifestylez Ov Da Poor & Dangerous,Big L,219.2ø
Lifestylez Ov Da Poor & Dangerous,Lifestylez Ov Da Poor & Dangerous,Big L,201.2ø
"Let 'Em Have It ""L",Lifestylez Ov Da Poor & Dangerous,Big L,237.8ø
I Don't Understand It,Lifestylez Ov Da Poor & Dangerous,Big L,260.2ø
Fed Up Wit The Bullshit,Lifestylez Ov Da Poor & Dangerous,Big L,232.4ø
Danger Zone,Lifestylez Ov Da Poor & Dangerous,Big L,216.8ø
Da Graveyard,Lifestylez Ov Da Poor & Dangerous,Big L,324.0ø
All Black,Lifestylez Ov Da Poor & Dangerous,Big L,260.8ø
8 Iz Enuff,Lifestylez Ov Da Poor & Dangerous,Big L,299.3ø
Worlds Apart,Greatest Hits,Jars Of Clay,318.6ø
Little Drummer Boy (Grinch Mix),Drummer Boy,Jars Of Clay,293.1ø
Boy On A String,Jars Of Clay,Jars Of Clay,211.5ø
The Edge Of Forever,The Damnation Game,Symphony X,537.1ø
Dave's Gone Skiing,Livefields,Toto,69.0ø
Rosealia (Single Remix),Greatest Hits,Better Than Ezra,241.9ø
Everyday People,What You See Is What You Sweat,Aretha Franklin,247.5ø
XXX's And OOO's (An American Girl),Thinkin' About You,Trisha Yearwood,168.9ø
Those Words We Said,Thinkin' About You,Trisha Yearwood,183.9ø
Thinkin' About You,Love Songs,Trisha Yearwood,203.0ø
O Mexico,Thinkin' About You,Trisha Yearwood,217.3ø
