Umbrella,Umbrella,Rihanna | Jay-Z,239.1ø
Shut Up And Drive,Good Girl Gone Bad: The Remixes,Rihanna,219.0ø
Question Existing,Good Girl Gone Bad: The Remixes,Rihanna,220.4ø
Hate That I Love You,Live Lounge 3,Rihanna,226.9ø
I'm Only Me When I'm With You,Taylor Swift,Taylor Swift,213.0ø
Pour Me (Live At The Hollywood Bowl),Fix You,Coldplay,300.7ø
Say It,Good Girl Gone Bad: The Remixes,Rihanna,260.4ø
Haunted,Def Jam Sessions_ Vol. 1,Rihanna,249.0ø
Good Girl Gone Bad,Good Girl Gone Bad: Reloaded,Rihanna,213.3ø
Breakin' Dishes,Good Girl Gone Bad: The Remixes,Rihanna,199.6ø
Dapper Dan,Hello World - The Motown Solo Collection,Michael Jackson,192.5ø
A Perfectly Good Heart,Taylor Swift,Taylor Swift,220.1ø
