Trouble,thrall-demonsweatlive,Danzig,201.7ø
Pretty Vacant (Live),The Sex Pistols,Sex Pistols,188.4ø
Holidays in the Sun (Live),Filthy Lucre (Live),Sex Pistols,209.8ø
The Mood That I'm In,40 Timeless Classics,Billie Holiday,181.1ø
I Can't Pretend,Lady Day From A To Z Vol.7,Billie Holiday,183.8ø
Guilty,The Complete Original American Decca Recordings,Billie Holiday,173.6ø
Gimme A Pigfoot (And A Bottle Of Beer),The Essential Collection,Billie Holiday,165.9ø
Easy Living,One Hour Holiday,Billie Holiday,193.3ø
Big Stuff,BIG STUFF,Billie Holiday,151.6ø
You're Gonna Love It,The Force Behind The Power,Diana Ross,309.1ø
When You Tell Me That You Love Me,Love And Life: The Very Best Of Diana Ross,Diana Ross,251.1ø
Vibeology,Spellbound,Paula Abdul,316.4ø
U,Spellbound,Paula Abdul,245.7ø
To You,Spellbound,Paula Abdul,211.6ø
"The Promise Of A New Day (7"" Edit)",Greatest Hits,Paula Abdul,256.7ø
The Promise Of A New Day,Spellbound,Paula Abdul,273.0ø
Spellbound,Spellbound,Paula Abdul,288.7ø
Rock House,Spellbound,Paula Abdul,251.1ø
My Foolish Heart,Spellbound,Paula Abdul,251.0ø
Blowing Kisses In The Wind,Spellbound,Paula Abdul,281.9ø
Alright Tonight,Spellbound,Paula Abdul,268.8ø
Put It To Me Straight (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,154.4ø
Psychobilly Freakout (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,159.3ø
Love Whip (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,224.0ø
It's A Dark Day (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,304.7ø
I'm Mad (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,196.9ø
D For Dangerous (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,245.2ø
Bad Reputation (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,145.7ø
Baby You Know Who (Album),Smoke 'em If You Got 'em,Reverend Horton Heat,159.5ø
White Christmas,Merry Christmas Everyone,Shakin' Stevens,147.8ø
I'll Be Home This Christmas,Merry Christmas Everyone,Shakin' Stevens,168.9ø
The Southernmost Voyage,The Astral Sleep (re-issue + Bonus Tracks),Tiamat,192.1ø
On Golden Wings,Commandments,Tiamat,298.5ø
I Am The King (of Dreams),The Astral Sleep,Tiamat,272.7ø
Angels Far Beyond,The Sleeping Beauty / Live In Israel,Tiamat,529.7ø
Ancient Entity,The Sleeping Beauty / Live In Israel,Tiamat,392.5ø
The Very First Lasting Love,Country Love,Shelby Lynne (duet with Les Taylor),213.2ø
Stop Me,Epic Recordings,Shelby Lynne,223.3ø
Soft Talk,Epic Recordings,Shelby Lynne,221.7ø
It Might Be Me,Epic Recordings,Shelby Lynne,263.3ø
A Lighter Shade Of Blue,Epic Recordings,Shelby Lynne,230.0ø
Walking And Crying,Everyday I Have the Blues,B.B. King,198.7ø
Three O Clock Morning Blues,Everyday I Have the Blues,B.B. King,182.2ø
The Other Night Blues,Best of The Big Boss Blues,B.B. King,216.4ø
B.B. Boogie,Woke Up This Morning,B.B. King,191.9ø
We're Gonna Have It All,Put Me In Your Mix,Barry White,354.2ø
Put Me In Your Mix,Gold,Barry White,270.7ø
Never Never Gonna Give You Up,Barry White Hit Pac - 5 Series,Barry White,238.7ø
I'm Qualified To Satisfy You,All-Time Greatest Hits,Barry White,192.2ø
Can't Get Enough of Your Love Baby,You're the First_ the Last_ My Everything,Barry White,266.4ø
Break It Down With You,Put Me In Your Mix,Barry White,384.9ø
St. Louis Blues,Louis Prima Plays The Standards,Louis Prima,176.3ø
Sexy Fancy (LP Version),Nature Of A Sista',Queen Latifah,236.1ø
One Mo' Time (LP Version),Nature Of A Sista',Queen Latifah,289.9ø
Nuff' Of The Ruff Stuff (LP Version),Nature Of A Sista',Queen Latifah,230.6ø
Latifah's Had It Up To Here (Amended LP Version),Nature Of A Sista',Queen Latifah,267.1ø
If You Don't Know (LP Version),Nature Of A Sista',Queen Latifah,298.9ø
Give Your Love To Me (LP Version),Nature Of A Sista',Queen Latifah,230.3ø
Your Lick,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,153.9ø
Vacation Time,Roll Over Beethoven,Chuck Berry,165.8ø
Talkin' About My Buddy,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,416.0ø
Sweet Little Rock'n'Roller,Rock 'n Roll Music,Chuck Berry,142.2ø
My Babe,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,148.4ø
I'm Just A Name,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,218.3ø
Down Bound Train,Rock 'N' Roll Days,Chuck Berry,168.8ø
Ain't That Just Like A Woman,You Came A Long Way From St. Louis: The Many Sides Of,Chuck Berry,133.6ø
Aimlessly Driftin',Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,342.3ø
A Deuce,You Came A Long Way From St. Louis: The Many Sides Of,Chuck Berry,155.4ø
Sin Ella (Without Her),Este Mundo,Gipsy Kings,238.6ø
No Volvere,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,230.3ø
Habla Me,Live,Gipsy Kings,343.6ø
Furia,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,157.6ø
Este Mundo,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,252.7ø
El Mauro,Live,Gipsy Kings,305.0ø
Baila Me,La Bamba,Gypsy Kings,273.2ø
Anorexia Spiritual,In Memoriam,Living Sacrifice,281.8ø
With The Wave Of Your Hand,True At Heart,Doro,294.2ø
I'll Make It On My Own,True At Heart,Doro,247.3ø
I Know You By Heart,True At Heart,Doro,303.8ø
Twins Theme,Twin Sons Of Different Mothers,Dan Fogelberg;Tim Weisberg,82.2ø
Intimidation,Twin Sons Of Different Mothers,Dan Fogelberg;Tim Weisberg,209.0ø
A Cry In The Forest,Dan Fogelberg Live: Greetings From The West,Dan Fogelberg,342.3ø
Rotting Ways To Misery,Shadows Of The Past (re-issue + Bonus Tracks),Sentenced,349.0ø
Yesterday's News,Rock The Night - The Very Best Of Europe,Europe,326.9ø
Talk To Me,Prisoners In Paradise,Europe,246.9ø
Little Bit Of Lovin',Prisoners In Paradise,Europe,287.3ø
I'll Cry For You,Prisoners In Paradise,Europe,321.3ø
Halfway To Heaven,Rock The Night - The Very Best Of Europe,Europe,247.6ø
Girl From Lebanon,Prisoners In Paradise,Europe,260.5ø
Break Free,Definitive Collection,Europe,245.6ø
Bad Blood,Prisoners In Paradise,Europe,258.6ø
All Or Nothing,Prisoners In Paradise,Europe,236.7ø
'Til My Heart Beats Down Your Door,Prisoners In Paradise,Europe,227.9ø
X's We Share,Forever My Lady,Jodeci,270.8ø
U And I,Forever My Lady,Jodeci,246.0ø
Stay,Forever My Lady,Jodeci,314.3ø
Play Thang,Forever My Lady,Jodeci,285.7ø
My Phone,Forever My Lady,Jodeci,350.9ø
It's Alright,Forever My Lady,Jodeci,276.4ø
Interlude (553 - Nasty) (Jodeci / Forever My Lady),Forever My Lady,Jodeci,108.4ø
I'm Still Waiting,Forever My Lady,Jodeci,262.5ø
Gotta Love,Forever My Lady,Jodeci,284.8ø
Come & Talk To Me,Forever My Lady,Jodeci,277.2ø
Make It Easy,90125 [Expanded],Yes,370.0ø
Born To Be Together,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,The Ronettes,178.1ø
Apollo XI,Sugar Tax,Orchestral Manoeuvres In The Dark,252.6ø
Where Cold Winds Blow,Preparing For War,Darkthrone,458.0ø
Paragon Belial,A Blaze In The Northern Sky,Darkthrone,324.6ø
In The Shadow Of The Horns,Preparing For War,Darkthrone,406.7ø
A Blaze In The Northern Sky,A Blaze In The Northern Sky,Darkthrone,298.0ø
Mustang Sally,Playlist: The Very Best Of Buddy Guy,Buddy Guy,279.5ø
Five Long Years,Damn Right_ I've Got The Blues,Buddy Guy,504.6ø
Waiting To Happen,The Best Of Both Worlds,Marillion,294.4ø
This Town (1998 Digital Remaster),Holidays In Eden,Marillion,197.8ø
How Can It Hurt (1998 Digital Remaster),Holidays In Eden,Marillion,250.7ø
Palisades Park (Live),Loco Live,The Ramones,132.3ø
Nena,Salamandra,Miguel Bose,292.0ø
This State Of Mind,Diamond Rio,Diamond Rio,162.6ø
They Don't Make Hearts (Like They Used To),Diamond Rio,Diamond Rio,212.4ø
"The Ballad Of Conley And Billy (The Proof's In The Pickin"")",Diamond Rio,Diamond Rio,300.2ø
Poultry Promenade,Diamond Rio,Diamond Rio,206.2ø
Norma Jean Riley,Greatest Hits,Diamond Rio,183.0ø
Mirror Mirror,Greatest Hits,Diamond Rio,191.2ø
