Almost But Not Quite There,The Complete Pye Collection,Traffic Jam,165.6ø
Bringing On Back The Good Times,The Love Affair Superhits,Love Affair,203.0ø
Caballo De Paso,Ellas Cantan Asi,Maria Dolores Pradera,172.3ø
Storia di una polena,Raccolta,Grazia Di Michele,230.0ø
Solo i pazzi sanno amare,Raccolta,Grazia Di Michele,220.5ø
Sha la la,Raccolta,Grazia Di Michele,226.1ø
Non lasciarmi mai,Raccolta,Grazia Di Michele,227.2ø
Le ragazze di Gauguin,Raccolta,Grazia Di Michele,249.3ø
Le donne e la vita,Raccolta,Grazia Di Michele,226.0ø
Il segreto,Raccolta,Grazia Di Michele,248.7ø
Bahia,Raccolta,Grazia Di Michele,212.8ø
