Jackson,At Folsom Prison (Legacy Edition),Johnny Cash;June Carter,207.8ø
God Part II,Rattle And Hum,U2,195.7ø
I'll Be There For You,This Left Feels Right,Bon Jovi,261.5ø
Born To Be My Baby,New Jersey: Special Edition,Bon Jovi,347.1ø
Bad Medicine,One Wild Night 1985-2001,Bon Jovi,258.5ø
Used To Love Her,G N' R Lies,Guns N' Roses,193.1ø
Patience,G N' R Lies,Guns N' Roses,356.3ø
One In A Million,G N' R Lies,Guns N' Roses,370.9ø
Unforgettable,The Great Nat King Cole_ Vol. 3 (Remastered),Nat King Cole,188.0ø
Straighten Up And Fly Right,Unforgettable,Nat King Cole,144.8ø
Lover Come Back To Me,The Essence of Nat King Cole,Nat King Cole,150.6ø
Everyday Is Like Sunday,Bona Drag,Morrissey,213.0ø
Let it Snow! Let it Snow! Let it Snow!,Three Christmas Kings,Bing Crosby,125.3ø
Do You Hear What I Hear? (1999 Digital Remaster),Bing Crosby's Christmas Classics,Bing Crosby,165.0ø
Christmas Dinner Country Style (24-Bit Digitally Remastered 99),Bing Crosby's Christmas Classics,Bing Crosby,148.2ø
Alexander's Ragtime Band,A Centennial Anthology Of His Decca Recordings,Bing Crosby | Al Jolson | Morris Stoloff & His Orchestra,178.8ø
